% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,374.8,221.4,1.0,1,1,1
6000,374.9,225.1,1.0,1,1,1
10000,375.1,225.0,1.0,1,1,1
14000,375.1,224.8,1.0,1,1,1
18000,375.1,224.6,1.0,1,1,1
22000,375.3,224.5,1.0,1,1,1
26000,375.7,221.4,1.0,1,1,1
30000,376.3,220.3,1.0,1,1,1
34000,376.7,219.9,1.0,1,1,1
36000,377.7,219.4,1.0,1,1,1
40000,378.4,216.8,1.0,1,1,1
44000,379.4,216.3,1.0,1,1,1
48000,379.6,216.4,1.0,1,1,1
52000,380.8,216.8,1.0,1,1,1
56000,381.9,216.3,1.0,1,1,1
69000,382.5,216.7,1.0,1,1,1
73000,383.7,217.0,1.0,1,1,1
77000,385.1,217.8,1.0,1,1,1
81000,386.7,218.4,1.0,1,1,1
85000,387.7,218.7,1.0,1,1,1
89000,388.3,218.8,1.0,1,1,1
102000,389.2,220.7,1.0,1,1,1
106000,390.2,222.6,1.0,1,1,1
110000,391.3,223.4,1.0,1,1,1
114000,391.7,224.0,1.0,1,1,1
118000,392.1,224.7,1.0,1,1,1
122000,394.5,226.1,1.0,1,1,1
126000,395.1,227.5,1.0,1,1,1
130000,396.4,230.1,1.0,1,1,1
135000,396.9,230.3,1.0,1,1,1
139000,397.7,230.6,1.0,1,1,1
143000,398.7,231.8,1.0,1,1,1
147000,398.7,232.7,1.0,1,1,1
151000,398.7,233.6,1.0,1,1,1
155000,400.3,235.0,1.0,1,1,1
159000,400.9,235.3,1.0,1,1,1
169000,401.4,236.1,1.0,1,1,1
173000,401.9,236.8,1.0,1,1,1
177000,402.3,237.4,1.0,1,1,1
181000,402.6,238.1,1.0,1,1,1
185000,402.5,238.8,1.0,1,1,1
189000,402.5,239.6,1.0,1,1,1
193000,402.5,240.2,1.0,1,1,1
203000,402.1,240.7,1.0,1,1,1
207000,402.4,241.3,1.0,1,1,1
211000,402.7,241.9,1.0,1,1,1
215000,403.0,241.8,1.0,1,1,1
219000,403.3,242.1,1.0,1,1,1
223000,404.0,242.3,1.0,1,1,1
227000,403.8,242.5,1.0,1,1,1
231000,404.2,242.9,1.0,1,1,1
235000,404.7,243.6,1.0,1,1,1
239000,404.6,252.6,1.0,2,2,2
240000,411.9,281.9,1.0,2,2,2
241000,432.1,324.2,1.0,2,2,2
245000,451.7,362.7,1.0,2,2,2
249000,461.2,397.5,1.0,2,2,2
253000,479.0,420.5,1.0,2,2,2
257000,498.0,442.4,1.0,2,2,2
268000,513.4,471.4,1.0,2,2,2
272000,533.4,481.3,1.0,2,2,2
276000,550.4,499.5,1.0,2,2,2
280000,548.9,499.0,1.0,2,2,2
284000,547.4,498.6,1.0,1,1,1
288000,546.0,496.9,1.0,1,1,1
292000,545.6,498.0,1.0,1,1,1
296000,547.5,499.2,1.0,1,1,1
303000,549.1,501.8,1.0,1,1,1
307000,549.5,502.5,1.0,1,1,1
311000,549.6,503.3,1.0,1,1,1
315000,549.5,503.8,1.0,1,1,1
319000,549.5,504.3,1.0,1,1,1
323000,549.4,504.3,1.0,1,1,1
327000,549.3,504.4,1.0,1,1,1
334000,549.0,505.3,1.0,1,1,1
338000,548.2,506.2,1.0,1,1,1
342000,547.8,506.2,1.0,1,1,1
346000,547.8,506.4,1.0,1,1,1
350000,547.6,506.5,1.0,1,1,1
354000,547.5,507.6,1.0,1,1,1
358000,547.6,507.7,1.0,1,1,1
362000,548.1,507.8,1.0,1,1,1
370000,548.0,508.1,1.0,1,1,1
374000,548.1,508.1,1.0,1,1,1
378000,548.2,508.2,1.0,1,1,1
382000,548.3,508.2,1.0,1,1,1
386000,548.3,508.2,1.0,1,1,1
390000,548.3,508.2,1.0,1,1,1
394000,548.4,508.0,1.0,1,1,1
398000,548.4,507.9,1.0,1,1,1
401000,548.5,507.3,1.0,1,1,1
405000,548.5,507.1,1.0,1,1,1
409000,548.5,507.2,1.0,1,1,1
413000,548.4,507.2,1.0,1,1,1
417000,546.9,507.4,1.0,1,1,1
421000,546.7,507.5,1.0,1,1,1
425000,546.4,507.5,1.0,1,1,1
429000,546.2,507.6,1.0,1,1,1
433000,546.5,507.5,1.0,1,1,1
434000,546.8,507.5,1.0,1,1,1
438000,546.8,507.5,1.0,1,1,1
442000,546.9,507.6,1.0,1,1,1
446000,546.6,507.7,1.0,1,1,1
450000,546.3,508.4,1.0,1,1,1
454000,545.9,509.1,1.0,1,1,1
469000,545.8,509.1,1.0,1,1,1
473000,546.6,509.1,1.0,1,1,1
477000,547.4,509.1,1.0,1,1,2
481000,554.6,508.9,1.0,2,2,2
485000,579.2,504.9,1.0,2,2,2
489000,616.7,492.6,1.0,2,2,2
503000,656.9,488.2,1.0,2,2,2
507000,690.8,483.5,1.0,2,2,2
511000,717.0,479.2,1.0,2,2,2
515000,744.3,478.8,1.0,2,2,2
519000,755.7,480.5,1.0,2,2,2
523000,760.7,483.3,1.0,2,2,2
527000,760.3,482.6,1.0,2,2,2
536000,760.7,481.8,1.0,2,1,1
540000,761.1,480.4,1.0,2,1,1
544000,762.1,481.0,1.0,1,1,1
548000,764.1,481.7,1.0,1,1,1
552000,765.0,481.8,1.0,1,1,1
556000,764.4,481.7,1.0,1,1,1
569000,763.8,481.8,1.0,1,1,1
573000,763.3,482.0,1.0,1,1,1
577000,761.4,485.5,1.0,1,1,1
581000,761.3,485.9,1.0,1,1,1
585000,759.1,485.6,1.0,1,1,1
589000,758.7,485.6,1.0,1,1,1
601000,758.3,486.0,1.0,1,1,1
605000,758.1,486.2,1.0,1,1,1
609000,757.9,486.2,1.0,1,1,1
613000,757.8,486.3,1.0,1,1,1
617000,757.7,486.6,1.0,1,1,1
621000,757.2,486.5,1.0,1,1,1
625000,757.1,486.4,1.0,1,1,1
629000,757.0,486.5,1.0,1,1,1
633000,756.7,486.2,1.0,1,1,1
634000,756.4,486.2,1.0,1,1,1
638000,756.1,486.2,1.0,1,1,1
642000,755.8,486.1,1.0,1,1,1
646000,755.3,486.1,1.0,1,1,1
650000,755.3,486.1,1.0,1,1,1
654000,755.2,485.9,1.0,1,1,1
670000,754.9,485.8,1.0,1,1,1
674000,754.5,485.6,1.0,1,1,1
678000,754.2,485.8,1.0,1,1,1
682000,752.9,485.9,1.0,1,1,1
686000,752.7,486.4,1.0,1,1,1
690000,752.7,486.7,1.0,1,1,1
703000,752.6,487.1,1.0,1,1,1
707000,752.6,487.4,1.0,1,1,1
711000,752.6,487.1,1.0,1,1,1
715000,752.5,487.0,1.0,1,1,1
719000,752.7,486.9,1.0,1,1,1
723000,752.6,486.8,1.0,1,1,1
734000,753.0,486.8,1.0,1,1,1
738000,753.3,486.8,1.0,1,1,1
742000,753.2,486.9,1.0,1,1,1
746000,753.2,487.0,1.0,1,1,1
750000,753.2,487.0,1.0,1,1,1
754000,753.4,487.2,1.0,1,1,1
758000,753.6,487.4,1.0,1,1,1
770000,753.6,487.9,1.0,1,1,1
774000,753.7,488.1,1.0,1,1,1
778000,753.7,488.6,1.0,1,1,1
782000,753.8,489.0,1.0,1,1,1
