% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,436.0,266.6,1.0,1,0,1
5000,436.0,266.7,1.0,1,1,1
9000,436.0,267.0,1.0,1,1,1
13000,436.0,267.3,1.0,1,1,1
17000,435.9,267.8,1.0,1,1,1
21000,436.2,267.9,1.0,1,1,1
25000,436.4,268.0,1.0,1,1,1
29000,436.4,268.2,1.0,1,1,1
33000,436.3,268.1,1.0,1,1,1
35000,436.2,268.1,1.0,1,1,1
39000,436.3,268.1,1.0,1,1,1
43000,436.4,268.2,1.0,1,1,1
47000,436.4,268.3,1.0,1,1,1
51000,436.5,268.4,1.0,1,1,1
55000,436.6,268.9,1.0,1,1,1
68000,436.0,269.2,1.0,1,1,1
72000,435.8,269.5,1.0,1,1,1
76000,435.7,269.3,1.0,1,1,1
80000,436.5,269.2,1.0,1,1,1
84000,436.4,269.9,1.0,1,1,1
88000,437.0,270.0,1.0,1,1,1
102000,437.5,269.7,1.0,1,1,1
106000,437.6,269.7,1.0,1,1,1
110000,437.2,269.7,1.0,1,1,1
114000,437.1,269.7,1.0,1,1,1
118000,437.3,269.9,1.0,1,1,1
122000,437.5,270.1,1.0,1,1,1
126000,437.6,271.0,1.0,1,1,1
133000,437.7,271.1,1.0,1,1,1
137000,437.5,271.3,1.0,1,1,1
141000,437.7,271.4,1.0,1,1,1
145000,437.7,271.4,1.0,1,1,1
149000,437.7,272.2,1.0,1,1,1
153000,437.7,272.5,1.0,1,1,1
157000,437.8,272.7,1.0,1,1,1
161000,438.0,272.7,1.0,1,1,1
167000,438.3,272.7,1.0,1,1,1
171000,438.3,272.6,1.0,1,1,1
175000,438.2,272.5,1.0,1,1,1
179000,438.2,272.4,1.0,1,1,1
183000,438.1,272.2,1.0,1,1,1
187000,438.1,272.2,1.0,1,1,1
191000,437.9,272.1,1.0,1,1,1
195000,438.6,272.0,1.0,1,1,1
203000,439.2,272.1,1.0,1,1,1
207000,439.2,271.9,1.0,1,1,1
211000,439.2,272.1,1.0,1,1,1
215000,439.2,272.2,1.0,1,1,1
219000,439.3,272.2,1.0,1,1,1
223000,439.0,272.2,1.0,1,1,1
227000,438.7,272.4,1.0,1,1,1
231000,438.4,273.1,1.0,1,1,1
235000,438.2,273.3,1.0,1,1,1
239000,438.2,273.5,1.0,1,1,1
240000,438.2,273.8,1.0,1,1,1
241000,438.1,273.7,1.0,1,1,1
244000,438.3,273.8,1.0,1,1,1
248000,438.1,273.8,1.0,1,1,1
252000,437.9,274.0,1.0,1,1,1
256000,437.7,274.3,1.0,1,1,1
269000,438.0,274.4,1.0,1,1,1
273000,438.2,274.5,1.0,1,1,1
277000,438.1,274.6,1.0,1,1,1
281000,438.3,274.7,1.0,1,1,1
285000,438.3,275.8,1.0,1,1,1
289000,438.4,275.9,1.0,1,1,1
302000,438.6,275.9,1.0,1,1,1
306000,438.6,275.9,1.0,1,1,1
310000,438.6,275.9,1.0,1,1,1
314000,438.6,275.8,1.0,1,1,1
318000,438.6,275.6,1.0,1,1,1
322000,438.4,275.2,1.0,1,1,1
326000,438.7,275.0,1.0,1,1,1
333000,438.9,275.0,1.0,1,1,1
337000,438.7,275.0,1.0,1,1,1
341000,438.5,275.0,1.0,1,1,1
345000,438.6,275.4,1.0,1,1,1
349000,438.7,275.8,1.0,1,1,1
353000,438.6,276.1,1.0,1,1,1
357000,439.0,276.2,1.0,1,1,1
361000,438.9,276.3,1.0,1,1,1
369000,438.9,276.5,1.0,1,1,1
373000,438.8,276.5,1.0,1,1,1
377000,438.8,276.2,1.0,1,1,1
381000,438.6,276.3,1.0,1,1,1
385000,438.7,276.1,1.0,1,1,1
389000,438.7,276.2,1.0,1,1,1
393000,438.9,276.3,1.0,1,1,1
397000,439.1,276.4,1.0,1,1,1
404000,439.6,277.2,1.0,1,1,1
408000,440.1,278.1,1.0,1,1,1
412000,440.1,279.0,1.0,1,1,1
416000,440.2,279.0,1.0,1,1,1
420000,440.4,279.1,1.0,1,1,1
424000,440.8,281.5,1.0,2,2,2
428000,448.6,283.8,1.0,2,2,2
432000,469.2,291.7,1.0,2,2,2
436000,499.1,309.6,1.0,2,2,2
440000,534.0,319.5,1.0,2,2,2
444000,568.8,333.6,1.0,2,2,2
445000,593.0,340.2,1.0,2,2,2
446000,608.4,355.8,1.0,2,2,2
447000,622.5,364.8,1.0,2,2,2
448000,636.3,368.7,1.0,2,2,2
452000,643.5,370.5,1.0,2,2,2
467000,646.3,371.9,1.0,2,2,2
471000,647.2,373.6,1.0,2,1,1
475000,647.4,375.1,1.0,2,1,1
479000,647.6,376.0,1.0,2,1,1
483000,648.2,381.8,1.0,2,1,1
487000,648.8,384.4,1.0,2,1,1
502000,651.0,384.6,1.0,1,1,1
506000,651.0,384.7,1.0,1,1,1
510000,651.1,385.2,1.0,1,1,1
514000,651.1,385.0,1.0,1,1,1
518000,650.9,384.8,1.0,1,1,1
522000,650.8,384.3,1.0,1,1,1
526000,650.8,384.1,1.0,1,1,1
535000,650.9,384.2,1.0,1,1,1
539000,650.9,384.4,1.0,1,1,1
543000,651.2,385.0,1.0,1,1,1
547000,651.1,385.0,1.0,1,1,1
551000,651.2,384.9,1.0,1,1,1
555000,651.2,385.2,1.0,1,1,1
568000,651.3,385.5,1.0,1,1,1
572000,651.1,385.5,1.0,1,1,1
576000,651.5,385.6,1.0,1,1,1
580000,651.9,386.5,1.0,1,1,1
584000,651.8,387.4,1.0,1,1,1
588000,652.1,387.9,1.0,1,1,1
601000,652.5,388.4,1.0,1,1,1
605000,652.5,388.4,1.0,1,1,1
609000,652.5,388.4,1.0,1,1,1
613000,652.4,389.7,1.0,1,1,1
617000,652.2,390.9,1.0,1,1,1
621000,651.9,391.2,1.0,1,1,1
625000,651.7,391.2,1.0,1,1,1
629000,651.5,391.2,1.0,1,1,1
633000,651.7,392.0,1.0,1,1,1
634000,651.6,392.8,1.0,1,1,1
638000,651.6,393.1,1.0,1,1,1
642000,651.7,393.3,1.0,1,1,1
646000,651.8,393.6,1.0,1,1,1
650000,652.4,393.8,1.0,1,1,1
654000,652.7,394.1,1.0,1,1,1
669000,653.1,394.3,1.0,1,1,1
673000,653.4,395.3,1.0,1,1,1
677000,653.1,395.5,1.0,1,1,1
681000,652.8,395.4,1.0,1,1,1
685000,652.6,395.5,1.0,1,1,1
689000,652.5,395.5,1.0,1,1,1
703000,652.2,395.6,1.0,1,1,1
707000,652.2,395.6,1.0,1,1,1
711000,652.3,396.9,1.0,1,1,1
715000,652.3,397.0,1.0,1,1,1
719000,652.4,396.6,1.0,1,1,1
723000,652.3,396.9,1.0,1,1,1
734000,652.3,397.2,1.0,1,1,1
