% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,57.3,289.6,1.0,1,0,1
5000,57.5,290.0,1.0,1,1,1
9000,57.5,290.4,1.0,1,1,1
13000,57.2,290.9,1.0,1,1,1
17000,57.7,290.7,1.0,1,1,1
21000,57.8,291.7,1.0,1,1,1
25000,57.7,292.7,1.0,1,1,1
29000,57.9,292.6,1.0,1,1,1
33000,58.0,292.4,1.0,1,1,1
37000,58.2,292.2,1.0,1,1,1
38000,58.4,292.1,1.0,1,1,1
40000,58.6,292.9,1.0,1,1,1
44000,58.8,293.7,1.0,1,1,1
48000,61.6,298.7,1.0,1,1,1
52000,63.0,300.3,1.0,1,1,1
66000,63.0,300.5,1.0,1,1,1
70000,63.0,300.1,1.0,1,1,1
74000,63.3,300.7,1.0,1,1,1
78000,63.8,300.6,1.0,1,1,1
82000,63.9,300.3,1.0,1,1,1
86000,64.0,300.2,1.0,1,1,1
90000,63.9,300.6,1.0,1,1,1
101000,63.9,300.9,1.0,1,1,1
105000,64.0,300.6,1.0,1,1,1
109000,63.9,300.7,1.0,1,1,1
113000,63.8,300.7,1.0,1,1,1
117000,63.3,300.3,1.0,1,1,1
121000,63.0,300.9,1.0,1,1,1
125000,62.4,301.4,1.0,1,1,1
129000,62.2,301.8,1.0,1,1,1
133000,62.0,301.7,1.0,1,1,1
136000,62.0,301.7,1.0,1,1,1
140000,62.4,301.7,1.0,1,1,1
144000,62.0,302.1,1.0,1,1,1
148000,62.0,301.6,1.0,1,1,1
152000,62.0,301.7,1.0,1,1,1
156000,62.3,301.2,1.0,1,1,1
160000,62.2,301.9,1.0,1,1,1
169000,63.0,302.8,1.0,1,1,1
173000,63.7,303.6,1.0,1,1,1
177000,63.7,303.4,1.0,1,1,1
181000,63.8,304.0,1.0,1,1,1
185000,63.6,302.9,1.0,1,1,1
189000,63.7,302.8,1.0,1,1,1
201000,63.7,303.1,1.0,1,1,1
205000,64.1,303.6,1.0,1,1,1
209000,64.3,302.6,1.0,1,1,1
213000,65.1,301.7,1.0,1,1,1
217000,65.6,301.9,1.0,1,1,1
221000,67.4,301.8,1.0,1,1,1
225000,71.7,303.7,1.0,2,2,2
229000,93.2,309.2,1.0,2,2,2
233000,128.2,319.0,1.0,2,2,2
234000,165.2,328.2,1.0,2,2,2
237000,198.5,333.2,1.0,2,2,2
241000,222.5,336.2,1.0,2,2,2
245000,249.6,341.3,1.0,2,2,2
249000,262.0,343.5,1.0,2,2,2
253000,267.8,344.3,1.0,2,2,2
266000,268.2,345.7,1.0,2,2,2
270000,268.6,344.7,1.0,2,0,1
274000,270.9,344.1,1.0,2,0,1
278000,273.2,343.0,1.0,2,1,1
282000,280.7,344.4,1.0,1,1,1
286000,284.6,345.1,1.0,1,1,1
290000,284.6,345.1,1.0,1,1,1
302000,284.2,345.0,1.0,1,1,1
306000,284.3,345.0,1.0,1,1,1
310000,284.2,345.9,1.0,1,1,1
314000,284.0,346.7,1.0,1,1,1
318000,283.6,349.5,1.0,1,1,1
322000,284.3,349.4,1.0,1,1,1
326000,284.6,349.3,1.0,1,1,1
334000,284.7,349.1,1.0,1,1,1
338000,283.2,345.3,1.0,1,1,1
