Index	Time	X_coord	Y_coord	Confidence
1	2000	295.3	311.7	1
2	6000	295.2	311.5	1
3	10000	295.3	311.3	1
4	14000	294.9	311.5	1
5	18000	294.6	311.6	1
6	22000	294.8	311.7	1
7	26000	294.6	311.9	1
8	30000	294.6	312.0	1
9	34000	294.3	312.2	1
10	35000	294.0	312.3	1
11	37000	293.3	312.5	1
12	41000	293.2	312.6	1
13	45000	293.0	312.7	1
14	49000	292.7	312.8	1
15	53000	292.4	312.7	1
16	67000	292.6	312.9	1
17	71000	292.8	313.0	1
18	75000	292.7	313.0	1
19	79000	292.5	312.9	1
20	83000	292.3	312.7	1
21	87000	292.2	312.7	1
22	100000	292.2	312.7	1
23	104000	292.1	312.8	1
24	108000	292.3	312.8	1
25	112000	292.2	312.9	1
26	116000	292.5	312.9	1
27	120000	292.5	312.9	1
28	124000	292.5	313.3	1
29	128000	292.5	313.0	1
30	134000	292.4	312.7	1
31	138000	292.5	312.6	1
32	142000	292.6	312.7	1
33	146000	292.6	312.7	1
34	150000	292.7	312.7	1
35	154000	293.1	312.2	1
36	158000	293.6	311.7	1
37	168000	293.6	311.8	1
38	172000	293.7	311.8	1
39	176000	293.7	311.9	1
40	180000	293.9	312.1	1
41	184000	294.1	312.1	1
42	188000	294.0	312.0	1
43	192000	293.9	312.2	1
44	203000	294.2	312.3	1
45	207000	294.4	312.0	1
46	211000	294.4	312.3	1
47	215000	294.6	312.5	1
48	219000	294.7	313.2	1
49	223000	294.9	313.4	1
50	227000	295.2	313.3	1
51	231000	295.0	313.5	1
52	235000	294.8	313.7	1
53	236000	294.9	313.8	1
54	238000	295.1	313.7	1
55	242000	295.2	314.2	1
56	246000	295.3	314.7	1
57	250000	295.4	314.7	1
58	254000	295.3	314.9	1
59	267000	295.3	314.8	1
60	271000	295.3	314.9	1
61	275000	295.5	315.0	1
62	279000	295.4	315.3	1
63	283000	295.4	315.3	1
64	287000	295.4	315.4	1
65	291000	295.5	316.3	1
66	303000	295.4	316.4	1
67	307000	295.1	316.6	1
68	311000	295.0	317.9	1
69	315000	294.7	318.0	1
70	319000	294.7	318.1	1
71	323000	294.7	318.2	1
72	327000	294.8	318.4	1
73	333000	294.6	318.6	1
74	337000	294.5	319.0	1
75	341000	294.6	319.9	1
76	345000	294.3	320.5	1
77	349000	294.3	320.5	1
78	353000	297.5	320.3	1
79	357000	300.8	321.0	1
80	368000	307.2	321.6	1
81	372000	338.3	333.2	1
82	376000	391.0	343.6	1
83	380000	437.1	359.0	1
84	384000	483.8	371.8	1
85	388000	521.6	372.8	1
86	392000	559.4	372.1	1
87	401000	563.6	374.6	1
88	405000	564.0	376.0	1
89	409000	564.4	377.3	1
90	413000	570.4	377.2	1
91	417000	575.8	377.0	1
92	421000	579.6	378.2	1
93	425000	580.3	380.7	1
94	429000	580.9	383.1	1
95	433000	581.3	384.6	1
96	435000	581.3	385.1	1
97	439000	581.6	385.3	1
98	443000	581.5	385.3	1
99	447000	581.4	385.3	1
100	451000	581.3	385.4	1
101	455000	581.3	385.7	1
102	469000	581.4	385.9	1
103	473000	581.5	386.0	1
104	477000	581.6	386.2	1
105	481000	582.0	387.3	1
106	485000	582.1	387.5	1
107	489000	582.4	387.7	1
108	504000	582.5	388.7	1
109	508000	582.6	389.3	1
110	512000	582.7	389.5	1
111	516000	582.9	389.4	1
112	520000	583.2	389.2	1
113	524000	583.4	388.9	1
114	533000	583.6	388.5	1
115	537000	584.9	388.2	1
116	541000	585.1	388.1	1
117	545000	585.3	388.0	1
118	549000	585.7	387.9	1
119	553000	585.8	387.9	1
120	557000	586.1	387.9	1
121	570000	586.3	387.8	1
122	574000	586.4	387.8	1
123	578000	586.6	387.6	1
124	582000	586.6	387.1	1
125	586000	586.2	386.2	1
126	590000	586.3	385.7	1
127	602000	586.3	385.3	1
128	606000	586.4	385.1	1
129	610000	586.4	385.1	1
130	614000	586.6	385.0	1
131	618000	586.5	385.2	1
132	622000	586.9	385.3	1
133	626000	587.2	385.5	1
134	630000	587.3	385.8	1
135	634000	587.4	386.0	1
136	636000	587.4	386.2	1
137	640000	587.4	386.5	1
138	644000	587.5	386.9	1
139	648000	587.4	387.0	1
140	652000	587.3	387.1	1
141	667000	587.0	387.2	1
142	671000	586.9	387.2	1
143	675000	586.8	387.6	1
144	679000	586.7	387.6	1
145	683000	586.6	387.5	1
146	687000	586.4	388.1	1
147	691000	586.6	388.3	1
148	701000	586.8	388.6	1
149	705000	587.6	390.2	1
150	709000	593.4	390.7	1
151	713000	614.1	390.2	1
152	717000	661.5	383.7	1
153	721000	714.9	381.5	1
154	725000	751.8	386.1	1
155	729000	782.4	384.7	1
156	733000	784.2	387.3	1
157	736000	782.8	388.3	1
158	740000	781.4	389.3	1
159	744000	775.1	391.3	1
160	748000	773.4	391.8	1
161	752000	777.3	391.0	1
162	756000	780.1	396.8	1
163	760000	780.4	397.0	1
164	764000	779.7	398.1	1
165	769000	779.1	399.1	1
166	773000	779.1	400.3	1
167	777000	779.0	401.1	1
168	781000	778.9	402.0	1
169	785000	778.8	402.0	1
170	789000	777.7	402.2	1
171	793000	778.0	402.2	1
172	797000	777.9	402.3	1
173	800000	778.0	403.3	1
174	804000	777.9	403.7	1
175	808000	777.5	404.1	1
176	812000	777.3	404.3	1
177	816000	776.4	404.4	1
178	820000	776.3	404.3	1
179	824000	776.2	404.4	1
180	828000	775.4	404.7	1
181	832000	774.6	405.5	1
182	837000	774.4	405.8	1
183	841000	774.2	405.9	1
184	845000	773.9	406.0	1
185	849000	773.8	406.8	1
186	853000	773.2	407.8	1
187	857000	772.5	408.3	1
188	861000	772.4	408.4	1
189	865000	772.3	408.5	1
190	868000	772.1	409.1	1
191	872000	772.1	409.5	1
192	876000	772.3	409.7	1
193	880000	771.9	410.1	1
194	884000	772.0	412.9	1
195	888000	770.8	413.3	1
196	892000	764.1	424.5	1
197	896000	754.3	448.9	1
198	900000	751.5	485.4	1
