Index	Time	X_coord	Y_coord	Confidence
1	2000	449.7	264.0	1
2	6000	450.1	267.4	1
3	10000	449.9	268.1	1
4	14000	450.2	269.9	1
5	18000	450.5	270.7	1
6	22000	450.2	270.1	1
7	26000	449.8	269.4	1
8	30000	448.5	265.9	1
9	34000	447.9	264.8	1
10	35000	445.2	262.3	1
11	37000	441.2	261.5	1
12	41000	435.7	260.6	1
13	45000	435.6	260.5	1
14	49000	432.5	256.8	1
15	53000	431.0	256.5	1
16	67000	427.9	256.7	1
17	71000	427.7	257.1	1
18	75000	427.2	257.0	1
19	79000	426.3	257.1	1
20	83000	425.4	257.2	1
21	87000	424.4	257.7	1
22	91000	423.4	258.9	1
23	103000	423.5	262.7	1
24	107000	423.4	263.3	1
25	111000	423.3	264.3	1
26	115000	423.2	264.5	1
27	119000	423.4	264.7	1
28	123000	423.6	265.4	1
29	127000	424.2	266.2	1
30	133000	425.0	267.4	1
31	137000	425.3	268.6	1
32	141000	425.6	268.6	1
33	145000	426.9	269.0	1
34	149000	427.1	269.3	1
35	153000	426.6	269.4	1
36	157000	426.5	269.5	1
37	167000	426.6	270.1	1
38	171000	426.8	270.0	1
39	175000	427.1	270.8	1
40	179000	427.2	271.6	1
41	183000	427.2	272.1	1
42	187000	427.3	272.7	1
43	191000	427.4	273.1	1
44	201000	427.6	273.5	1
45	205000	437.3	283.4	1
46	209000	450.4	312.9	1
47	213000	475.4	351.5	1
48	217000	506.6	403.6	1
49	221000	524.7	438.3	1
50	225000	552.6	466.4	1
51	229000	580.6	489.7	1
52	233000	604.1	502.3	1
53	234000	610.6	504.1	1
54	238000	613.3	505.3	1
55	242000	610.0	505.8	1
56	246000	610.4	506.5	1
57	250000	611.1	512.0	1
58	254000	615.5	517.7	1
59	258000	620.3	522.3	1
60	268000	621.2	522.0	1
61	272000	621.4	521.7	1
62	276000	621.5	521.0	1
63	280000	621.3	520.8	1
64	284000	621.8	520.8	1
65	288000	622.3	520.9	1
66	292000	622.2	520.9	1
67	304000	622.2	520.8	1
68	308000	621.8	521.1	1
69	312000	621.4	521.4	1
70	316000	621.3	521.3	1
71	320000	621.2	521.5	1
72	324000	621.2	521.8	1
73	328000	621.2	522.4	1
74	335000	621.3	522.9	1
75	339000	621.3	522.8	1
76	343000	621.2	523.2	1
77	347000	621.3	523.7	1
78	351000	621.4	523.8	1
79	355000	621.7	524.0	1
80	359000	621.7	524.1	1
81	369000	621.7	524.1	1
82	373000	621.8	524.6	1
83	377000	621.9	524.6	1
84	381000	622.2	524.7	1
85	385000	622.5	524.7	1
86	389000	622.8	525.0	1
87	393000	623.1	525.1	1
88	402000	623.4	525.1	1
89	406000	623.5	525.1	1
90	410000	623.7	526.0	1
91	414000	625.5	526.1	1
92	418000	626.8	525.9	1
93	422000	632.5	525.9	1
94	426000	655.7	526.7	1
95	430000	685.6	526.6	1
96	434000	697.4	526.1	1
97	435000	700.9	525.4	1
98	438000	692.5	525.1	1
99	442000	684.0	524.4	1
100	446000	685.8	523.6	1
101	450000	687.6	524.0	1
102	454000	692.0	522.8	1
103	470000	692.9	521.7	1
104	474000	692.6	521.5	1
105	478000	692.4	522.0	1
106	482000	692.4	522.5	1
107	486000	692.4	523.1	1
108	490000	692.6	523.3	1
109	504000	692.5	522.8	1
110	508000	692.4	522.6	1
111	512000	692.6	522.6	1
112	516000	692.8	522.5	1
113	520000	692.8	521.6	1
114	524000	692.7	521.6	1
115	528000	692.7	521.5	1
116	536000	692.4	521.3	1
117	540000	692.1	521.1	1
118	544000	691.1	520.5	1
119	548000	691.1	519.8	1
120	552000	690.4	520.3	1
121	556000	690.7	520.8	1
122	569000	691.1	522.7	1
123	573000	690.8	521.9	1
124	577000	690.8	522.2	1
125	581000	690.5	520.5	1
126	585000	690.3	518.8	1
127	589000	690.3	518.8	1
128	601000	690.4	518.8	1
129	605000	690.4	518.2	1
130	609000	690.8	518.1	1
131	613000	690.8	518.3	1
132	617000	690.8	518.4	1
133	621000	690.7	518.9	1
134	625000	690.8	519.9	1
135	629000	690.8	519.9	1
136	633000	691.0	522.4	1
137	635000	691.1	523.3	1
138	639000	691.7	524.2	1
139	643000	692.2	524.8	1
140	647000	692.3	525.1	1
141	651000	692.5	525.2	1
142	655000	692.7	525.3	1
143	670000	693.0	525.2	1
144	674000	693.3	525.5	1
145	678000	693.6	525.8	1
146	682000	694.0	526.5	1
147	686000	694.1	526.4	1
148	700000	693.9	526.7	1
149	704000	693.7	527.0	1
150	708000	690.9	527.7	1
151	712000	684.8	543.3	1
152	716000	674.7	563.8	1
153	720000	671.3	566.7	1
154	724000	669.6	567.4	1
155	728000	668.0	567.7	1
156	732000	667.9	568.0	1
157	736000	668.1	568.9	1
158	740000	667.5	569.8	1
159	744000	667.2	573.3	1
160	748000	665.8	573.4	1
161	752000	665.6	573.4	1
162	756000	665.3	573.9	1
163	760000	664.4	573.7	1
164	764000	664.0	573.7	1
165	768000	663.7	573.8	1
166	771000	663.2	573.2	1
167	775000	663.0	573.1	1
168	779000	663.0	573.2	1
169	783000	663.0	573.4	1
170	787000	662.4	574.4	1
171	791000	661.9	575.3	1
172	795000	661.2	575.8	1
173	799000	660.5	575.9	1
174	803000	660.5	576.1	1
175	807000	660.7	577.5	1
176	811000	659.8	577.7	1
177	815000	658.9	577.9	1
178	819000	658.4	577.9	1
179	823000	657.8	577.5	1
180	827000	657.1	577.1	1
181	831000	657.0	577.3	1
182	835000	656.8	577.5	1
183	839000	656.4	577.8	1
184	843000	656.0	578.2	1
185	847000	655.2	578.4	1
186	851000	655.0	578.6	1
187	855000	654.1	578.7	1
188	859000	653.7	578.9	1
189	863000	653.6	579.0	1
190	867000	653.4	579.2	1
191	871000	652.6	579.4	1
192	875000	649.1	579.9	1
193	879000	648.3	579.9	1
194	883000	647.6	579.9	1
195	887000	647.2	579.3	1
196	891000	647.1	579.2	1
197	895000	646.9	579.1	1
198	899000	646.7	579.1	1
199	903000	646.7	579.9	1
200	907000	647.1	580.7	1
201	911000	647.1	581.0	1
202	915000	647.0	581.4	1
203	919000	646.9	581.7	1
204	923000	646.9	581.6	1
205	927000	646.6	581.5	1
206	931000	646.5	581.1	1
207	935000	646.7	581.1	1
208	939000	646.9	581.8	1
209	943000	646.5	581.4	1
210	947000	646.2	581.1	1
211	951000	645.6	580.8	1
212	955000	645.4	580.5	1
213	959000	645.2	580.2	1
214	963000	645.1	580.2	1
215	967000	644.9	579.7	1
216	971000	644.9	579.6	1
217	975000	644.9	579.4	1
218	979000	644.8	579.9	1
219	983000	644.6	579.5	1
220	987000	644.2	579.1	1
221	991000	643.8	578.6	1
222	995000	643.4	578.2	1
