% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,634.3,266.7,1.0,1,1,1
4000,634.7,266.4,1.0,1,1,1
8000,635.2,266.5,1.0,1,1,1
12000,635.6,266.3,1.0,1,1,1
16000,635.5,266.1,1.0,1,1,1
20000,635.5,266.0,1.0,1,1,1
24000,635.4,266.1,1.0,1,1,1
28000,635.5,266.1,1.0,1,1,1
32000,635.6,266.3,1.0,1,1,1
33000,635.7,267.3,1.0,1,1,1
37000,635.7,267.3,1.0,1,1,1
41000,635.8,267.5,1.0,1,1,1
45000,635.8,267.7,1.0,1,1,1
49000,637.1,269.0,1.0,2,2,2
53000,644.1,268.2,1.0,2,2,2
67000,661.3,265.7,1.0,2,2,2
71000,694.9,260.8,1.0,2,2,2
75000,701.8,259.6,1.0,2,2,2
79000,702.2,256.2,1.0,2,2,2
83000,699.8,253.4,1.0,2,2,2
87000,700.0,252.1,1.0,2,2,2
101000,700.3,251.6,1.0,1,1,1
105000,703.3,252.5,1.0,1,1,1
109000,706.9,253.2,1.0,1,1,1
113000,707.6,254.0,1.0,1,1,1
117000,707.9,254.4,1.0,1,1,1
121000,707.3,254.9,1.0,1,1,1
125000,706.7,255.3,1.0,1,1,1
129000,706.2,255.8,1.0,1,1,1
136000,706.1,256.5,1.0,1,1,1
140000,706.0,256.8,1.0,1,1,1
144000,706.3,257.0,1.0,1,1,1
148000,706.3,257.7,1.0,1,1,1
152000,706.3,257.8,1.0,1,1,1
156000,706.2,257.8,1.0,1,1,1
167000,706.0,257.8,1.0,1,1,1
171000,705.9,257.8,1.0,1,1,1
175000,705.9,257.8,1.0,1,1,1
179000,705.8,257.7,1.0,1,1,1
183000,705.2,257.7,1.0,1,1,1
187000,705.3,258.2,1.0,1,1,1
191000,705.4,258.1,1.0,1,1,1
201000,705.2,257.9,1.0,1,1,1
205000,705.0,258.2,1.0,1,1,1
209000,705.9,258.2,1.0,1,1,1
213000,706.8,258.4,1.0,1,1,1
217000,706.9,258.7,1.0,1,1,1
221000,707.0,259.3,1.0,1,1,1
225000,707.2,261.1,1.0,1,1,1
229000,707.4,261.1,1.0,1,1,1
233000,707.6,261.0,1.0,1,1,1
234000,707.5,261.3,1.0,1,1,1
237000,707.3,261.6,1.0,1,1,1
241000,707.4,261.9,1.0,1,1,1
245000,707.2,262.1,1.0,1,1,1
249000,707.1,262.3,1.0,1,1,1
253000,706.9,261.7,1.0,1,1,1
257000,706.7,261.8,1.0,1,1,1
269000,706.5,262.1,1.0,1,1,1
273000,706.2,262.1,1.0,1,1,1
277000,706.0,262.1,1.0,1,1,1
281000,706.3,262.5,1.0,1,1,1
285000,706.2,262.3,1.0,1,1,1
289000,706.1,263.2,1.0,1,1,1
302000,705.7,264.1,1.0,1,1,1
306000,705.7,266.0,1.0,2,2,2
310000,700.6,277.7,1.0,2,2,2
314000,683.5,300.1,1.0,2,2,2
318000,671.9,343.2,1.0,2,2,2
322000,672.2,371.9,1.0,2,2,2
326000,672.3,382.8,1.0,2,2,2
330000,673.5,384.4,1.0,2,2,2
335000,674.0,386.2,1.0,2,2,2
339000,674.1,386.6,1.0,1,1,1
343000,674.0,387.0,1.0,1,1,1
347000,674.1,388.9,1.0,1,1,1
351000,669.3,391.6,1.0,1,1,1
355000,669.2,400.5,1.0,1,1,1
359000,669.9,404.8,1.0,1,1,1
367000,670.3,406.8,1.0,1,1,1
371000,671.0,406.3,1.0,1,1,1
375000,672.1,405.8,1.0,1,1,1
379000,672.4,405.6,1.0,1,1,1
383000,672.6,405.4,1.0,1,1,1
387000,672.6,405.4,1.0,1,1,1
391000,672.6,404.8,1.0,1,1,1
401000,672.5,404.3,1.0,1,1,1
405000,672.5,404.7,1.0,1,1,1
409000,673.2,404.6,1.0,1,1,1
413000,673.4,404.6,1.0,1,1,1
417000,673.5,404.5,1.0,1,1,1
421000,673.5,404.5,1.0,1,1,1
425000,673.6,406.0,1.0,1,1,1
429000,673.7,406.6,1.0,1,1,1
433000,673.7,406.6,1.0,1,1,1
435000,673.3,406.7,1.0,1,1,1
439000,673.3,407.1,1.0,1,1,1
443000,673.3,407.2,1.0,1,1,1
447000,672.7,407.3,1.0,1,1,1
451000,672.4,407.3,1.0,1,1,1
467000,672.3,407.2,1.0,1,1,1
471000,672.3,407.2,1.0,1,1,1
475000,672.3,406.8,1.0,1,1,1
479000,672.3,406.6,1.0,1,1,1
483000,672.4,406.4,1.0,1,1,1
487000,672.6,406.5,1.0,1,1,1
500000,672.6,406.4,1.0,1,1,1
504000,672.7,406.9,1.0,1,1,1
508000,673.2,407.4,1.0,1,1,1
512000,673.2,407.5,1.0,1,1,1
516000,673.0,407.2,1.0,1,1,1
520000,673.2,407.6,1.0,1,1,1
524000,673.4,407.4,1.0,1,1,1
533000,673.5,407.2,1.0,1,1,1
537000,673.7,407.7,1.0,1,1,1
541000,674.8,407.8,1.0,1,1,1
545000,674.8,407.9,1.0,1,1,1
549000,674.7,408.0,1.0,1,1,1
553000,674.6,407.9,1.0,1,1,1
557000,674.5,407.9,1.0,1,1,1
571000,674.3,407.9,1.0,1,1,1
575000,674.3,407.9,1.0,1,1,1
579000,674.2,407.8,1.0,1,1,1
583000,674.2,408.0,1.0,1,1,1
587000,674.5,408.3,1.0,1,1,1
591000,674.9,409.0,1.0,1,1,1
603000,686.9,416.5,1.0,2,2,2
607000,710.1,427.4,1.0,2,2,2
611000,720.0,424.4,1.0,2,2,2
615000,724.7,422.3,1.0,2,2,2
619000,717.6,419.0,1.0,2,2,2
623000,715.8,417.5,1.0,2,2,2
627000,716.4,415.6,1.0,2,2,2
631000,717.3,416.3,1.0,2,2,2
635000,724.3,415.9,1.0,1,1,1
636000,726.4,416.9,1.0,1,1,1
640000,726.9,418.2,1.0,1,1,1
644000,727.0,419.5,1.0,1,1,1
648000,726.9,420.1,1.0,1,1,1
652000,727.0,420.8,1.0,1,1,1
668000,727.2,420.8,1.0,1,1,1
672000,727.4,420.7,1.0,1,1,1
676000,727.3,421.0,1.0,1,1,1
680000,727.4,421.3,1.0,1,1,1
684000,727.0,422.2,1.0,1,1,1
688000,726.7,422.0,1.0,1,1,1
692000,726.7,422.2,1.0,1,1,1
696000,726.6,422.5,1.0,1,1,1
703000,726.4,423.2,1.0,1,1,1
707000,726.6,424.2,1.0,1,1,1
711000,726.6,424.3,1.0,1,1,1
715000,726.6,424.5,1.0,1,1,1
719000,726.5,424.7,1.0,1,1,1
723000,726.5,425.4,1.0,1,1,1
727000,726.5,426.2,1.0,1,1,1
731000,726.6,426.3,1.0,1,1,1
736000,726.7,426.4,1.0,1,1,1
740000,726.6,426.5,1.0,1,1,1
744000,727.3,426.5,1.0,1,1,1
748000,727.6,426.5,1.0,1,1,1
752000,727.8,426.6,1.0,1,1,1
756000,727.8,426.8,1.0,1,1,1
760000,727.7,426.6,1.0,1,1,1
764000,727.7,426.7,1.0,1,1,1
768000,727.6,426.9,1.0,1,1,1
772000,727.5,426.9,1.0,1,1,1
776000,727.4,427.0,1.0,1,1,1
780000,727.4,427.3,1.0,1,1,1
784000,727.4,427.6,1.0,1,1,1
788000,727.4,427.3,1.0,1,1,1
