% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,574.7,308.6,1.0,1,1,1
6000,574.8,309.0,1.0,1,1,1
10000,574.8,309.3,1.0,1,1,1
14000,574.7,309.6,1.0,1,1,1
18000,574.7,309.8,1.0,1,1,1
22000,574.7,310.0,1.0,1,1,1
26000,574.7,310.2,1.0,1,1,1
30000,574.3,310.1,1.0,1,1,1
34000,574.0,310.0,1.0,1,1,1
35000,573.0,309.6,1.0,1,1,1
37000,560.1,308.3,1.0,2,2,2
41000,536.5,307.2,1.0,2,2,2
45000,502.7,298.7,1.0,2,2,2
49000,468.3,300.5,1.0,2,2,2
53000,433.4,297.3,1.0,2,2,2
67000,405.0,300.3,1.0,2,2,2
71000,380.5,301.2,1.0,2,2,2
75000,358.7,290.0,1.0,2,2,2
79000,354.7,289.9,1.0,2,2,2
83000,354.6,289.4,1.0,2,2,2
87000,354.5,289.0,1.0,1,2,1
91000,354.3,288.3,1.0,1,2,1
104000,354.3,288.0,1.0,1,2,1
108000,351.1,288.1,1.0,1,2,1
112000,350.3,287.2,1.0,1,1,1
116000,350.5,287.4,1.0,1,1,1
120000,350.7,287.4,1.0,1,1,1
124000,351.2,287.4,1.0,1,1,1
128000,351.3,287.4,1.0,1,1,1
135000,351.5,287.3,1.0,1,1,1
139000,351.4,287.3,1.0,1,1,1
143000,352.9,286.9,1.0,1,1,1
147000,354.2,285.6,1.0,1,1,1
151000,357.2,284.5,1.0,1,1,1
155000,369.9,279.9,1.0,1,1,1
159000,368.0,276.7,1.0,4,1,4
170000,367.0,273.4,1.0,4,1,4
174000,365.0,262.4,1.0,4,1,4
178000,364.8,260.2,1.0,4,1,4
182000,368.8,258.6,1.0,4,1,4
186000,370.8,257.8,1.0,4,1,4
190000,372.8,257.0,1.0,4,1,4
201000,379.0,292.2,1.0,4,1,4
205000,379.8,300.9,1.0,4,1,4
209000,380.7,309.7,1.0,4,1,4
213000,381.6,318.4,1.0,4,1,4
217000,382.2,327.5,1.0,4,2,4
221000,382.2,327.5,1.0,4,2,4
225000,0.0,0.0,0.0,4,4,4
229000,0.0,0.0,0.0,4,4,4
233000,0.0,0.0,0.0,4,4,4
236000,0.0,0.0,0.0,4,4,4
240000,0.0,0.0,0.0,4,4,4
244000,0.0,0.0,0.0,4,4,4
248000,0.0,0.0,0.0,4,4,4
252000,0.0,0.0,0.0,4,4,4
256000,0.0,0.0,0.0,4,4,4
269000,0.0,0.0,0.0,4,4,4
273000,0.0,0.0,0.0,4,4,4
277000,751.6,524.1,1.0,4,2,4
281000,751.7,524.1,1.0,4,2,4
285000,750.4,517.2,1.0,4,2,4
289000,749.2,510.2,1.0,4,2,4
302000,746.8,496.0,1.0,4,2,4
306000,741.7,467.1,1.0,4,2,4
310000,737.4,439.8,1.0,4,1,4
314000,738.3,415.5,1.0,4,1,4
318000,742.9,395.8,1.0,4,1,4
322000,742.8,378.3,1.0,4,1,4
326000,740.9,364.5,1.0,4,1,4
330000,739.9,361.9,1.0,4,1,4
336000,739.3,360.7,1.0,4,1,4
340000,738.3,360.6,1.0,4,1,4
344000,738.1,360.8,1.0,4,1,4
348000,737.8,361.0,1.0,4,1,4
352000,737.5,361.7,1.0,4,1,4
356000,737.2,362.5,1.0,4,1,4
360000,737.4,363.7,1.0,4,1,4
364000,737.6,364.6,1.0,4,1,4
371000,737.7,365.4,1.0,4,1,4
375000,737.6,366.8,1.0,4,1,4
379000,736.9,367.4,1.0,4,1,4
383000,736.9,367.8,1.0,4,1,4
387000,736.9,367.9,1.0,4,1,4
391000,737.0,368.2,1.0,4,1,4
400000,737.3,368.8,1.0,4,2,4
404000,737.5,368.8,1.0,4,2,4
408000,737.6,369.3,1.0,4,2,4
412000,737.7,369.6,1.0,4,2,4
416000,615.4,437.7,1.0,4,2,4
420000,616.3,441.1,1.0,4,2,4
424000,618.0,447.7,1.0,4,2,4
428000,619.2,450.1,1.0,1,1,1
432000,619.3,454.3,1.0,1,1,1
433000,619.0,456.3,1.0,1,1,1
437000,617.2,457.6,1.0,1,1,1
441000,617.4,458.0,1.0,1,1,1
445000,617.5,458.2,1.0,1,1,1
449000,618.5,458.2,1.0,1,1,1
453000,618.6,458.6,1.0,1,1,1
468000,618.7,459.0,1.0,1,1,1
472000,618.9,459.3,1.0,1,1,1
476000,619.2,459.6,1.0,1,1,1
480000,619.6,459.8,1.0,1,1,1
484000,621.8,459.6,1.0,1,1,1
488000,622.2,459.6,1.0,1,1,1
502000,623.5,459.3,1.0,1,1,1
506000,624.9,458.1,1.0,1,1,1
510000,625.3,457.2,1.0,1,1,1
514000,625.8,456.7,1.0,1,1,1
518000,626.8,456.4,1.0,1,1,1
522000,627.4,456.3,1.0,1,1,1
526000,627.9,456.2,1.0,1,1,1
535000,628.2,456.1,1.0,1,1,1
539000,628.6,456.6,1.0,1,1,1
543000,630.3,456.7,1.0,1,1,1
547000,636.5,458.1,1.0,2,2,2
551000,654.4,473.1,1.0,2,2,2
555000,677.2,489.3,1.0,2,2,2
568000,693.5,501.7,1.0,2,2,2
572000,706.0,504.1,1.0,2,2,2
576000,716.5,503.4,1.0,2,2,2
580000,716.6,503.4,1.0,2,2,2
584000,716.1,503.5,1.0,1,1,1
588000,716.3,503.3,1.0,1,1,1
592000,716.5,503.3,1.0,1,1,1
603000,717.4,503.3,1.0,1,1,1
607000,718.6,504.2,1.0,1,1,1
611000,719.9,504.6,1.0,1,1,1
615000,720.1,505.9,1.0,1,1,1
619000,720.1,506.5,1.0,1,1,1
623000,719.9,506.7,1.0,1,1,1
627000,719.8,506.6,1.0,1,1,1
631000,719.8,506.6,1.0,1,1,1
633000,719.7,506.5,1.0,1,1,1
637000,719.4,505.2,1.0,1,1,1
641000,719.4,505.2,1.0,1,1,1
645000,719.3,505.0,1.0,1,1,1
649000,718.9,504.1,1.0,1,1,1
653000,718.7,504.0,1.0,1,1,1
669000,718.2,504.1,1.0,1,1,1
673000,717.9,503.7,1.0,1,1,1
677000,717.8,503.6,1.0,1,1,1
681000,717.8,503.3,1.0,1,1,1
685000,717.3,503.3,1.0,1,1,1
689000,716.7,503.5,1.0,1,1,1
700000,716.1,503.7,1.0,1,1,1
704000,716.1,503.6,1.0,1,1,1
708000,716.1,503.8,1.0,1,1,1
712000,716.0,503.8,1.0,1,1,1
716000,714.4,504.1,1.0,1,1,1
720000,714.1,504.3,1.0,1,1,1
724000,713.8,504.4,1.0,1,1,1
728000,713.6,504.5,1.0,1,1,1
732000,713.4,504.6,1.0,1,1,1
735000,712.6,504.9,1.0,1,1,1
739000,712.3,505.0,1.0,1,1,1
743000,712.1,504.9,1.0,1,1,1
747000,711.9,504.9,1.0,1,1,1
751000,711.7,504.8,1.0,1,1,1
755000,710.3,505.0,1.0,1,1,1
759000,710.0,504.8,1.0,1,1,1
763000,709.7,504.7,1.0,1,1,1
767000,709.0,504.7,1.0,1,1,1
771000,708.4,505.0,1.0,1,1,1
775000,708.3,505.1,1.0,1,1,1
779000,707.7,505.2,1.0,1,1,1
783000,707.6,505.2,1.0,1,1,1
787000,707.2,505.2,1.0,1,1,1
791000,706.7,504.6,1.0,1,1,1
795000,704.7,504.4,1.0,2,2,2
799000,697.2,504.2,1.0,2,2,2
803000,679.8,505.6,1.0,2,2,2
807000,658.5,507.4,1.0,2,2,2
