% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,586.7,337.4,1.0,1,0,1
4000,587.5,337.2,1.0,1,1,1
8000,587.6,336.5,1.0,1,1,1
12000,587.4,336.1,1.0,1,1,1
16000,587.2,336.0,1.0,1,1,1
20000,587.0,335.9,1.0,1,1,1
24000,586.9,336.6,1.0,1,1,1
28000,586.1,336.7,1.0,1,1,1
32000,585.3,336.4,1.0,1,1,1
36000,583.7,336.2,1.0,1,1,1
37000,577.7,335.4,1.0,1,1,1
39000,572.9,332.5,1.0,1,1,1
43000,572.8,331.9,1.0,1,1,1
47000,572.6,331.8,1.0,1,1,1
51000,572.8,332.0,1.0,1,1,1
55000,572.9,332.0,1.0,1,1,1
68000,573.3,332.1,1.0,1,1,1
72000,573.7,332.5,1.0,1,1,1
76000,573.7,332.6,1.0,1,1,1
80000,573.9,332.6,1.0,1,1,1
84000,573.8,332.5,1.0,1,1,1
88000,573.9,333.2,1.0,1,1,1
102000,574.0,333.8,1.0,1,1,1
106000,573.9,334.4,1.0,1,1,1
110000,573.8,334.9,1.0,1,1,1
114000,573.4,335.7,1.0,1,1,1
118000,573.0,335.5,1.0,1,1,1
122000,572.8,335.4,1.0,1,1,1
126000,572.8,334.9,1.0,1,1,1
133000,572.7,335.3,1.0,1,1,1
137000,572.7,335.6,1.0,1,1,1
141000,572.4,335.9,1.0,1,1,1
145000,572.2,336.0,1.0,1,1,1
149000,572.1,335.5,1.0,1,1,1
153000,572.1,335.1,1.0,1,1,1
157000,571.9,335.2,1.0,1,1,1
166000,571.9,335.1,1.0,1,1,1
170000,571.7,335.0,1.0,1,1,1
174000,571.5,334.7,1.0,1,1,1
178000,571.4,335.0,1.0,1,1,1
182000,571.3,334.9,1.0,1,1,1
186000,571.1,334.8,1.0,1,1,1
190000,571.0,334.7,1.0,1,1,1
200000,571.0,334.7,1.0,1,1,1
204000,571.0,334.8,1.0,1,1,1
208000,570.6,335.2,1.0,1,1,1
212000,570.2,335.6,1.0,1,1,1
216000,570.2,334.9,1.0,1,1,1
220000,570.1,334.2,1.0,1,1,1
224000,569.5,333.5,1.0,1,1,1
228000,569.4,333.4,1.0,1,1,1
232000,569.4,333.5,1.0,1,1,1
233000,569.5,333.3,1.0,1,1,1
237000,569.6,333.3,1.0,1,1,1
241000,569.7,333.1,1.0,1,1,1
245000,569.6,333.2,1.0,1,1,1
249000,569.5,333.2,1.0,1,1,1
253000,569.3,332.7,1.0,1,1,1
257000,569.2,332.7,1.0,1,1,1
268000,569.1,332.6,1.0,1,1,1
272000,568.9,332.6,1.0,1,1,1
276000,569.0,332.6,1.0,1,1,1
280000,569.0,332.3,1.0,1,1,1
284000,569.1,331.9,1.0,1,1,1
288000,569.2,331.5,1.0,1,1,1
292000,569.0,333.6,1.0,1,1,1
303000,569.6,335.7,1.0,1,1,1
307000,570.3,340.0,1.0,2,2,2
311000,571.7,356.3,1.0,2,2,2
315000,582.9,395.3,1.0,2,2,2
319000,593.5,450.0,1.0,2,2,2
323000,596.1,501.2,1.0,2,2,2
327000,599.2,547.3,1.0,2,2,2
334000,606.6,563.8,1.0,2,2,2
338000,616.6,572.9,1.0,2,2,2
342000,616.4,573.7,1.0,2,2,2
346000,616.1,572.6,1.0,1,2,1
350000,615.6,574.9,1.0,1,2,1
354000,615.6,577.2,1.0,1,1,1
358000,616.1,582.9,1.0,1,1,1
369000,616.7,592.4,1.0,1,1,1
373000,618.1,595.5,1.0,1,1,1
377000,618.2,596.6,1.0,1,1,1
381000,618.3,596.5,1.0,1,1,1
385000,618.7,596.4,1.0,1,1,1
389000,618.7,596.4,1.0,1,1,1
393000,618.5,596.6,1.0,1,1,1
403000,618.4,596.6,1.0,1,1,1
407000,618.4,596.6,1.0,1,1,1
411000,618.3,596.8,1.0,1,1,1
415000,618.3,596.9,1.0,1,1,1
419000,618.7,597.1,1.0,1,1,1
423000,619.1,597.1,1.0,1,1,1
427000,620.0,597.2,1.0,1,1,1
431000,619.9,597.1,1.0,1,1,1
435000,620.1,597.5,1.0,1,1,1
436000,620.2,597.9,1.0,1,1,1
440000,620.2,598.0,1.0,1,1,1
444000,620.1,598.0,1.0,1,1,1
448000,620.1,599.3,1.0,1,1,1
452000,620.4,599.8,1.0,1,1,1
468000,620.8,600.1,1.0,1,1,1
472000,621.1,600.6,1.0,1,1,1
476000,621.5,601.1,1.0,1,1,1
480000,621.6,601.5,1.0,1,1,1
484000,621.8,601.8,1.0,1,1,1
488000,622.1,602.0,1.0,1,1,1
502000,622.5,602.7,1.0,1,1,1
506000,623.2,602.7,1.0,1,1,1
510000,623.2,602.6,1.0,1,1,1
514000,623.3,602.9,1.0,1,1,1
518000,623.7,602.9,1.0,1,1,1
522000,623.8,603.1,1.0,1,1,1
526000,623.8,603.3,1.0,1,1,1
535000,624.1,602.8,1.0,1,1,1
539000,624.5,603.4,1.0,1,1,1
543000,625.2,602.2,1.0,1,1,1
547000,625.4,601.0,1.0,1,1,1
551000,625.7,600.3,1.0,1,1,1
555000,625.5,599.7,1.0,1,1,1
568000,625.3,598.2,1.0,1,1,1
572000,625.1,596.2,1.0,1,1,1
576000,625.0,595.4,1.0,1,1,1
580000,625.5,594.7,1.0,1,1,1
584000,625.9,594.1,1.0,1,1,1
588000,626.3,594.0,1.0,1,1,1
592000,626.5,593.8,1.0,1,1,1
604000,626.7,593.8,1.0,1,1,1
608000,627.1,593.8,1.0,1,1,1
612000,627.5,594.0,1.0,1,1,1
616000,627.8,594.0,1.0,1,1,1
620000,628.0,594.0,1.0,1,1,1
624000,628.1,593.9,1.0,1,1,1
628000,628.3,594.1,1.0,1,1,1
632000,629.3,593.9,1.0,1,1,1
634000,629.4,593.6,1.0,1,1,1
638000,629.5,593.5,1.0,1,1,1
642000,629.4,593.3,1.0,1,1,1
646000,629.4,593.0,1.0,1,1,1
650000,629.4,593.0,1.0,1,1,1
654000,629.6,593.0,1.0,1,1,1
670000,629.4,592.9,1.0,1,1,1
674000,629.4,592.8,1.0,1,1,1
678000,629.4,593.0,1.0,1,1,1
682000,629.5,592.5,1.0,1,1,1
686000,630.2,592.4,1.0,1,1,1
690000,630.2,592.4,1.0,1,1,1
694000,630.3,592.4,1.0,1,1,1
701000,630.9,591.8,1.0,1,1,1
705000,631.2,591.6,1.0,1,1,1
709000,631.5,592.2,1.0,1,1,1
713000,632.0,592.3,1.0,1,1,1
717000,632.6,592.2,1.0,1,1,1
721000,632.8,592.0,1.0,1,1,1
725000,633.2,591.8,1.0,1,1,1
729000,633.1,591.6,1.0,1,1,1
734000,633.5,591.4,1.0,1,1,1
738000,633.8,590.8,1.0,1,1,1
742000,634.1,590.7,1.0,1,1,1
746000,634.3,590.7,1.0,1,1,1
750000,634.2,590.0,1.0,1,1,1
754000,634.4,589.7,1.0,1,1,1
758000,634.4,589.5,1.0,1,1,1
762000,634.7,589.6,1.0,1,1,1
766000,635.0,589.0,1.0,1,1,1
769000,635.2,588.8,1.0,1,1,1
773000,635.1,588.6,1.0,1,1,1
777000,635.2,588.0,1.0,1,1,1
