Index	Time	X_coord	Y_coord	Confidence
1	1000	518.6	313.2	1
2	4000	518.6	313.3	1
3	8000	518.6	313.3	1
4	12000	518.5	313.4	1
5	16000	518.3	313.5	1
6	20000	518.1	313.6	1
7	24000	517.9	313.8	1
8	28000	518.2	314.1	1
9	32000	518.2	314.3	1
10	35000	518.2	314.5	1
11	39000	517.9	314.6	1
12	43000	518.2	315.0	1
13	47000	518.5	315.9	1
14	51000	518.8	315.9	1
15	55000	519.1	315.9	1
16	68000	519.3	316.8	1
17	72000	519.4	317.7	1
18	76000	520.1	317.7	1
19	80000	520.7	317.7	1
20	84000	521.9	317.8	1
21	88000	521.8	317.9	1
22	100000	522.6	318.6	1
23	104000	522.8	319.4	1
24	108000	522.8	319.5	1
25	112000	522.9	321.1	1
26	116000	523.1	322.7	1
27	120000	522.3	322.7	1
28	124000	521.6	322.6	1
29	128000	521.8	322.7	1
30	135000	522.0	322.4	1
31	139000	522.2	322.2	1
32	143000	522.3	322.4	1
33	147000	521.3	322.0	1
34	151000	521.1	321.9	1
35	155000	520.8	321.8	1
36	166000	520.7	321.8	1
37	170000	520.9	322.0	1
38	174000	520.9	322.1	1
39	178000	521.1	322.0	1
40	182000	520.9	321.8	1
41	186000	521.1	321.4	1
42	190000	521.5	321.6	1
43	202000	521.5	321.7	1
44	206000	521.2	321.9	1
45	210000	521.3	321.8	1
46	214000	521.2	321.8	1
47	218000	521.2	322.1	1
48	222000	521.3	322.1	1
49	226000	521.2	322.0	1
50	230000	521.1	321.8	1
51	234000	520.8	321.8	1
52	235000	520.5	321.8	1
53	239000	520.3	321.8	1
54	243000	520.3	321.8	1
55	247000	520.1	321.6	1
56	251000	520.2	321.9	1
57	255000	520.3	321.9	1
58	267000	519.7	322.5	1
59	271000	520.0	322.5	1
60	275000	520.4	322.3	1
61	279000	521.1	322.3	1
62	283000	520.3	322.3	1
63	287000	520.6	322.1	1
64	301000	520.4	322.4	1
65	305000	520.3	322.0	1
66	309000	520.3	321.7	1
67	313000	520.5	322.1	1
