% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,358.6,-100.4,1.0,4,4,4
7000,358.9,-100.8,1.0,4,4,4
11000,358.9,-101.3,1.0,4,4,4
15000,358.9,-101.8,1.0,4,4,4
19000,359.0,-102.7,1.0,4,4,4
23000,359.0,-103.1,1.0,4,4,4
27000,359.1,-103.1,1.0,4,4,4
31000,360.5,-103.8,1.0,4,4,4
35000,364.2,-104.1,1.0,4,4,4
39000,387.5,-101.2,1.0,4,4,4
40000,413.0,-97.6,1.0,4,4,4
41000,443.7,-103.3,1.0,4,4,4
44000,483.7,-97.9,1.0,4,4,4
48000,549.8,-91.0,1.0,4,4,4
52000,597.2,-86.5,1.0,4,4,4
67000,651.5,-83.8,1.0,4,4,4
71000,700.7,-85.4,1.0,4,4,4
75000,759.5,-84.5,1.0,4,4,4
79000,801.3,-82.2,1.0,4,4,4
83000,844.2,-79.9,1.0,4,4,4
87000,863.7,-79.0,1.0,4,4,4
101000,868.7,-76.5,1.0,4,4,4
105000,869.3,-74.2,1.0,4,4,4
109000,870.2,-74.7,1.0,4,4,4
113000,869.9,-74.9,1.0,4,4,4
117000,870.3,-74.8,1.0,4,4,4
121000,870.4,-74.8,1.0,4,4,4
125000,870.2,-73.1,1.0,4,4,4
129000,870.0,-72.1,1.0,4,4,4
134000,869.3,-71.1,1.0,4,4,4
138000,868.5,-68.1,1.0,4,4,4
142000,869.1,-68.1,1.0,4,4,4
146000,868.8,-68.1,1.0,4,4,4
150000,868.6,-68.5,1.0,4,4,4
154000,869.0,-68.8,1.0,4,4,4
158000,868.6,-68.6,1.0,4,4,4
170000,868.3,-69.3,1.0,4,4,4
174000,867.9,-69.9,1.0,4,4,4
