% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,546.8,374.4,1.0,1,1,1
6000,546.6,374.2,1.0,1,1,1
10000,546.5,374.2,1.0,1,1,1
14000,546.5,374.2,1.0,1,1,1
18000,546.5,374.2,1.0,1,1,1
22000,546.7,374.3,1.0,1,1,1
26000,545.7,375.0,1.0,1,1,1
30000,544.6,375.1,1.0,1,1,1
34000,542.3,375.3,1.0,2,1,1
37000,521.5,377.3,1.0,2,2,2
41000,488.6,378.7,1.0,2,2,2
45000,458.6,379.9,1.0,2,2,2
49000,434.8,374.0,1.0,2,2,2
53000,413.4,369.3,1.0,2,2,2
57000,397.7,367.4,1.0,2,2,2
69000,380.1,367.8,1.0,2,2,2
73000,375.1,367.1,1.0,2,2,2
77000,373.7,365.3,1.0,2,2,2
81000,377.8,364.2,1.0,2,2,2
85000,378.3,364.0,1.0,2,2,2
89000,377.0,364.0,1.0,1,1,1
103000,375.7,363.9,1.0,1,1,1
107000,371.6,363.4,1.0,1,1,1
111000,370.7,362.5,1.0,1,1,1
115000,369.0,361.7,1.0,1,1,1
119000,369.1,360.7,1.0,1,1,1
123000,369.5,360.5,1.0,1,1,1
127000,370.0,359.2,1.0,1,1,1
133000,370.0,359.1,1.0,1,1,1
137000,370.0,359.0,1.0,1,1,1
141000,370.0,358.4,1.0,1,1,1
145000,369.9,357.5,1.0,1,1,1
149000,370.1,357.5,1.0,1,1,1
153000,372.1,357.0,1.0,1,1,1
157000,372.1,356.7,1.0,1,1,1
169000,372.2,357.4,1.0,1,1,1
173000,372.1,358.2,1.0,1,1,1
177000,372.1,358.5,1.0,1,1,1
181000,372.2,358.7,1.0,1,1,1
185000,372.1,358.8,1.0,1,1,1
189000,372.1,358.7,1.0,1,1,1
201000,371.5,358.9,1.0,1,1,1
205000,371.6,359.1,1.0,1,1,1
209000,371.6,359.6,1.0,1,1,1
213000,371.8,360.3,1.0,1,1,1
217000,372.0,361.1,1.0,1,1,1
221000,372.2,361.1,1.0,1,1,1
225000,372.4,361.0,1.0,1,1,1
229000,372.8,360.9,1.0,1,1,1
233000,372.9,360.8,1.0,1,1,1
237000,373.1,360.7,1.0,1,1,1
241000,374.0,361.6,1.0,1,1,1
242000,374.1,361.6,1.0,1,1,1
243000,374.1,361.3,1.0,1,1,1
244000,374.1,361.1,1.0,1,1,1
247000,374.2,361.0,1.0,1,1,1
251000,374.2,360.9,1.0,1,1,1
267000,374.4,360.9,1.0,1,1,1
271000,374.6,360.9,1.0,1,1,1
275000,375.1,361.0,1.0,1,1,1
279000,377.0,360.5,1.0,2,2,2
283000,387.0,360.6,1.0,2,2,2
287000,418.7,358.6,1.0,2,2,2
302000,469.4,355.5,1.0,2,2,2
306000,521.4,352.8,1.0,2,2,2
310000,565.9,349.7,1.0,2,2,2
314000,598.5,353.8,1.0,2,2,2
318000,616.8,356.7,1.0,2,2,2
322000,623.5,365.4,1.0,2,2,2
