% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,672.9,230.9,1.0,1,1,1
6000,672.9,230.9,1.0,2,1,1
10000,672.9,230.9,1.0,2,1,1
14000,673.2,230.6,1.0,2,1,1
18000,673.1,230.9,1.0,2,1,1
22000,673.1,231.0,1.0,2,1,1
26000,672.8,231.0,1.0,2,1,1
30000,672.8,231.0,1.0,2,1,1
34000,672.7,231.6,1.0,2,1,1
38000,670.7,232.2,1.0,2,2,2
39000,668.6,233.7,1.0,2,2,2
40000,660.3,235.1,1.0,2,2,2
44000,642.4,236.4,1.0,2,2,2
48000,631.3,237.0,1.0,2,2,2
52000,626.5,237.2,1.0,2,2,2
67000,626.6,237.5,1.0,2,2,2
71000,626.8,237.6,1.0,2,1,1
75000,627.1,237.6,1.0,2,1,1
79000,626.9,237.6,1.0,1,1,1
83000,626.6,238.8,1.0,1,1,1
87000,625.9,239.9,1.0,1,1,1
101000,626.0,241.2,1.0,1,1,1
105000,625.8,241.3,1.0,1,1,1
109000,625.5,242.2,1.0,1,1,1
113000,625.5,242.5,1.0,1,1,1
117000,625.4,242.8,1.0,1,1,1
121000,625.2,243.1,1.0,1,1,1
125000,625.4,243.1,1.0,1,1,1
129000,625.6,243.0,1.0,1,1,1
137000,625.4,243.2,1.0,1,1,1
141000,625.9,243.4,1.0,1,1,1
145000,625.7,243.5,1.0,1,1,1
149000,625.6,243.3,1.0,1,1,1
153000,625.5,243.2,1.0,1,1,1
166000,625.4,243.5,1.0,1,1,1
170000,625.0,243.3,1.0,1,1,1
174000,624.7,243.2,1.0,1,1,1
178000,624.0,243.2,1.0,1,1,1
182000,623.9,243.0,1.0,1,1,1
186000,623.7,242.9,1.0,1,1,1
190000,623.2,243.1,1.0,1,1,1
201000,623.2,242.5,1.0,1,1,1
205000,623.3,241.9,1.0,1,1,1
209000,623.4,241.6,1.0,1,1,1
213000,623.4,241.4,1.0,1,1,1
217000,623.7,241.6,1.0,1,1,1
221000,623.9,241.6,1.0,1,1,1
225000,624.1,241.6,1.0,1,1,1
229000,624.1,241.3,1.0,1,1,1
233000,624.2,240.1,1.0,1,1,1
237000,624.2,239.6,1.0,1,1,1
238000,624.2,239.6,1.0,1,1,1
239000,624.2,239.5,1.0,1,1,1
243000,624.0,240.9,1.0,1,1,1
247000,623.8,242.2,1.0,1,1,1
251000,623.4,245.6,1.0,2,2,2
267000,619.2,258.4,1.0,2,2,2
271000,612.4,271.6,1.0,2,2,2
275000,604.8,294.0,1.0,2,2,2
279000,603.9,325.3,1.0,2,2,2
283000,604.2,331.7,1.0,2,2,2
287000,604.7,335.7,1.0,2,2,2
302000,604.7,339.7,1.0,2,2,2
306000,604.5,339.7,1.0,1,1,1
310000,604.2,339.8,1.0,1,1,1
314000,603.5,339.9,1.0,1,1,1
318000,603.5,340.2,1.0,1,1,1
322000,603.5,342.9,1.0,1,1,1
326000,603.1,343.6,1.0,1,1,1
336000,603.0,344.5,1.0,1,1,1
340000,603.1,344.4,1.0,1,1,1
344000,602.4,344.7,1.0,1,1,1
348000,602.4,344.9,1.0,1,1,1
352000,602.4,345.0,1.0,1,1,1
356000,601.3,344.6,1.0,1,1,1
370000,601.1,344.6,1.0,1,1,1
374000,601.0,344.5,1.0,1,1,1
378000,600.9,344.6,1.0,1,1,1
382000,600.9,344.6,1.0,1,1,1
386000,600.9,344.6,1.0,1,1,1
390000,600.8,344.5,1.0,1,1,1
401000,600.7,344.6,1.0,1,1,1
405000,600.8,344.6,1.0,1,1,1
409000,600.4,344.8,1.0,1,1,1
413000,600.1,345.0,1.0,1,1,1
417000,600.2,345.5,1.0,1,1,1
421000,600.3,345.4,1.0,1,1,1
425000,601.0,345.4,1.0,1,1,1
429000,600.9,345.4,1.0,1,1,1
433000,600.9,345.4,1.0,1,1,1
435000,601.1,345.3,1.0,1,1,1
439000,601.3,345.2,1.0,1,1,1
443000,601.4,345.2,1.0,1,1,1
447000,601.8,345.5,1.0,1,1,1
451000,602.2,345.8,1.0,1,1,1
468000,602.3,346.2,1.0,1,1,1
472000,602.3,346.4,1.0,1,1,1
476000,602.5,346.3,1.0,1,1,1
480000,602.7,346.2,1.0,1,1,1
484000,602.6,346.2,1.0,1,1,1
488000,602.9,346.2,1.0,1,1,1
502000,603.1,346.1,1.0,1,1,1
506000,603.6,346.1,1.0,1,1,1
510000,604.6,345.9,1.0,1,1,1
514000,604.7,346.1,1.0,1,1,1
518000,604.6,346.1,1.0,1,1,1
522000,604.6,346.1,1.0,1,1,1
533000,605.1,345.9,1.0,1,1,1
537000,605.6,345.5,1.0,1,1,1
541000,605.7,345.5,1.0,1,1,1
545000,605.7,345.4,1.0,1,1,1
549000,605.9,344.9,1.0,1,1,1
553000,606.2,344.6,1.0,1,1,1
557000,606.3,344.4,1.0,1,1,1
570000,606.4,344.1,1.0,1,1,1
574000,607.5,344.1,1.0,1,1,1
578000,607.9,344.1,1.0,1,1,1
582000,608.0,343.0,1.0,1,1,1
586000,607.9,342.9,1.0,1,1,1
590000,607.7,342.8,1.0,1,1,1
601000,607.7,342.4,1.0,1,1,1
605000,607.7,342.0,1.0,1,1,1
609000,607.7,342.3,1.0,1,1,1
613000,607.7,342.7,1.0,1,1,1
617000,607.7,343.5,1.0,1,1,1
621000,615.1,344.2,1.0,2,2,2
625000,626.1,344.6,1.0,2,2,2
629000,652.7,352.0,1.0,2,2,2
633000,674.3,371.5,1.0,2,2,2
635000,691.2,385.6,1.0,2,2,2
639000,698.6,390.8,1.0,2,2,2
643000,699.3,389.6,1.0,2,2,2
647000,700.0,388.3,1.0,3,3,3
651000,700.8,387.1,1.0,3,3,3
655000,701.6,386.8,1.0,3,3,3
659000,702.3,386.8,1.0,3,3,3
667000,703.1,386.8,1.0,3,3,3
671000,704.2,386.7,1.0,3,3,3
675000,704.9,386.7,1.0,3,3,3
679000,705.6,386.2,1.0,3,3,3
683000,706.5,385.9,1.0,3,3,3
687000,706.7,386.3,1.0,3,3,3
691000,708.2,386.4,1.0,3,3,3
695000,708.5,386.5,1.0,3,3,3
699000,708.6,386.5,1.0,3,3,3
703000,708.7,386.6,1.0,3,3,3
707000,710.1,386.4,1.0,3,3,3
711000,711.4,386.2,1.0,3,3,3
