Index	Time	X_coord	Y_coord	Confidence
1	2000	287.8	318.0	1
2	6000	287.9	318.4	1
3	10000	288.2	318.7	1
4	14000	288.2	318.7	1
5	18000	288.2	318.8	1
6	22000	288.3	319.9	1
7	26000	288.5	319.9	1
8	30000	288.8	319.8	1
9	34000	288.8	319.9	1
10	38000	288.8	320.1	1
11	39000	289.1	320.0	1
12	40000	289.1	319.5	1
13	44000	289.0	319.0	1
14	48000	288.7	318.8	1
15	52000	288.4	318.6	1
16	67000	288.1	318.2	1
17	71000	287.9	318.0	1
18	75000	287.8	318.0	1
19	79000	287.7	318.0	1
20	83000	287.6	318.0	1
21	87000	287.8	318.3	1
22	101000	287.5	318.6	1
23	105000	287.5	319.1	1
24	109000	287.5	319.1	1
25	113000	287.4	319.1	1
26	117000	287.4	319.5	1
27	121000	287.8	319.5	1
28	125000	287.7	319.6	1
29	129000	288.0	319.4	1
30	134000	288.0	319.3	1
31	138000	287.9	319.4	1
32	142000	287.9	319.3	1
33	146000	288.2	320.4	1
34	150000	287.9	320.4	1
35	154000	287.9	320.2	1
36	158000	288.0	320.0	1
37	170000	287.8	319.9	1
38	174000	287.9	319.7	1
39	178000	287.6	318.8	1
40	182000	287.6	318.0	1
41	186000	287.6	318.1	1
42	190000	287.6	317.5	1
43	202000	287.9	317.3	1
44	206000	288.2	317.1	1
45	210000	288.7	317.0	1
46	214000	288.6	317.0	1
47	218000	288.5	317.1	1
48	222000	288.5	317.2	1
49	226000	288.7	316.8	1
50	230000	288.8	316.7	1
51	234000	288.9	316.7	1
52	238000	289.2	316.9	1
53	239000	289.4	316.9	1
54	240000	289.9	316.9	1
55	243000	289.7	316.9	1
56	247000	289.5	316.9	1
57	251000	289.6	317.2	1
58	267000	289.7	317.3	1
59	271000	289.7	317.2	1
60	275000	290.0	317.1	1
61	279000	290.3	317.2	1
62	283000	290.4	317.2	1
63	287000	290.2	317.3	1
64	301000	290.3	316.6	1
65	305000	290.4	317.0	1
66	309000	290.4	317.4	1
67	313000	290.5	317.5	1
68	317000	290.7	317.6	1
69	321000	290.7	317.7	1
70	325000	290.7	317.8	1
71	334000	300.2	318.9	1
72	338000	321.7	320.1	1
73	342000	362.9	318.4	1
74	346000	406.3	312.5	1
75	350000	449.8	306.8	1
76	354000	488.3	306.3	1
77	368000	526.1	305.9	1
78	372000	555.2	305.8	1
79	376000	580.9	304.0	1
80	380000	586.8	304.9	1
81	384000	587.7	304.9	1
82	388000	588.8	306.8	1
83	400000	591.5	309.5	1
84	404000	596.3	310.0	1
85	408000	600.3	310.6	1
86	412000	601.1	311.4	1
87	416000	601.5	312.3	1
88	420000	601.6	312.8	1
89	424000	601.6	313.4	1
90	428000	602.0	314.0	1
91	432000	602.3	314.7	1
92	433000	602.4	315.4	1
93	437000	602.8	317.3	1
94	441000	603.0	317.5	1
95	445000	603.3	317.6	1
96	449000	603.8	317.6	1
97	453000	604.2	317.9	1
98	470000	604.9	318.0	1
99	474000	605.7	318.8	1
100	478000	606.8	318.7	1
101	482000	607.6	318.7	1
102	486000	608.2	318.9	1
103	500000	608.8	319.1	1
104	504000	609.4	319.4	1
105	508000	610.0	319.5	1
106	512000	611.7	319.4	1
107	516000	613.6	319.1	1
108	520000	614.2	319.0	1
109	524000	614.6	318.6	1
110	534000	615.2	318.3	1
111	538000	615.8	318.1	1
112	542000	616.6	318.0	1
113	546000	617.3	317.9	1
114	550000	618.7	317.7	1
115	554000	618.6	317.1	1
116	567000	618.6	316.4	1
117	571000	621.4	315.4	1
118	575000	622.4	314.7	1
119	579000	622.9	314.5	1
120	583000	623.7	314.5	1
121	587000	623.9	314.6	1
122	591000	624.9	314.8	1
123	600000	630.1	315.9	1
124	604000	645.4	314.5	1
125	608000	662.4	309.5	1
126	612000	675.3	304.9	1
127	616000	678.0	303.5	1
128	620000	679.3	303.2	1
129	624000	680.7	303.0	1
130	628000	681.3	303.0	1
131	632000	681.7	302.9	1
132	636000	682.8	304.0	1
133	640000	684.6	304.3	1
134	644000	685.5	304.4	1
135	648000	686.1	304.6	1
136	652000	687.5	304.7	1
137	656000	688.5	304.7	1
138	660000	690.6	305.4	1
139	664000	691.1	306.3	1
140	669000	691.5	306.2	1
141	673000	692.5	306.1	1
142	677000	692.9	306.0	1
143	681000	692.8	305.2	1
144	685000	692.8	305.0	1
145	689000	693.8	305.0	1
146	693000	694.2	305.2	1
147	697000	695.6	305.7	1
148	701000	696.6	305.9	1
149	705000	696.8	306.1	1
150	709000	697.2	304.2	1
