Index	Time	X_coord	Y_coord	Confidence
1	2000	446.2	-92.0	0
2	6000	454.0	-105.8	0
3	10000	443.2	-98.9	0
4	14000	440.0	-93.4	0
5	18000	433.7	-82.1	0
6	22000	410.1	-81.0	0
7	26000	370.3	-74.2	0
8	30000	384.5	-82.4	0
9	34000	398.6	-90.5	0
10	38000	413.3	-88.8	0
11	39000	418.1	-87.5	0
12	40000	423.9	-83.7	0
13	44000	426.1	-82.4	0
14	48000	426.8	-81.1	0
15	52000	427.2	-80.5	0
16	66000	427.5	-79.9	0
17	70000	427.7	-79.7	0
18	74000	427.6	-79.4	0
19	78000	429.4	-75.2	0
20	82000	429.5	-74.9	0
21	86000	429.5	-75.0	0
22	101000	429.4	-75.1	0
23	105000	429.1	-75.1	0
24	109000	428.9	-75.2	0
25	113000	428.9	-75.0	0
26	117000	429.0	-74.8	0
27	121000	429.2	-74.5	0
28	125000	430.1	-72.8	0
29	134000	431.6	-72.5	0
30	138000	431.6	-72.2	0
31	142000	431.9	-71.1	0
32	146000	432.1	-70.9	0
33	150000	432.1	-70.8	0
34	154000	432.4	-70.7	0
35	158000	432.3	-70.7	0
36	168000	432.4	-70.3	0
37	172000	433.9	-69.9	0
38	176000	434.3	-69.1	0
39	180000	434.3	-68.9	0
40	184000	434.5	-68.7	0
41	188000	434.5	-68.6	0
42	201000	435.2	-67.8	0
43	205000	435.5	-67.0	0
44	209000	435.3	-67.0	0
45	213000	435.1	-67.0	0
46	217000	435.0	-66.4	0
47	221000	435.1	-65.2	0
48	225000	434.6	-64.0	0
49	229000	436.6	-55.3	0
50	233000	441.5	-21.5	0
51	237000	455.0	36.8	0
52	238000	466.4	113.2	0
53	240000	467.6	193.0	0
54	244000	481.6	276.1	0
55	248000	492.2	335.9	0
56	252000	501.8	391.4	0
57	266000	510.7	444.2	0
58	270000	513.8	462.9	0
59	274000	515.4	482.0	0
60	278000	514.4	482.5	0
61	282000	511.8	483.3	0
62	286000	508.7	492.9	0
63	301000	512.7	523.6	0
64	305000	513.9	528.5	0
65	309000	514.6	530.3	0
66	313000	516.2	530.5	0
67	317000	517.8	530.7	0
68	321000	518.8	531.1	0
69	325000	519.8	531.5	0
70	333000	523.9	533.5	0
71	337000	524.0	537.7	0
72	341000	524.4	538.5	0
73	345000	525.7	546.1	0
74	349000	525.7	547.4	0
75	353000	525.9	548.5	0
76	357000	526.0	550.5	0
77	369000	527.4	552.1	0
78	373000	528.6	552.0	0
79	377000	529.0	552.1	0
80	381000	529.2	551.3	0
81	385000	531.5	550.3	0
82	389000	535.0	546.5	0
83	393000	538.9	545.5	0
84	404000	540.0	544.8	0
85	408000	538.3	546.0	0
86	412000	536.6	547.3	0
87	416000	529.0	550.6	0
88	420000	526.2	550.8	0
89	424000	523.1	552.7	0
90	428000	520.7	553.4	0
91	432000	521.0	553.2	0
92	436000	520.1	553.2	0
93	437000	519.3	553.2	0
94	440000	517.2	553.5	0
95	444000	516.5	553.4	0
96	448000	514.4	553.3	0
97	452000	513.5	552.9	0
98	469000	512.8	553.4	0
99	473000	512.2	552.6	0
100	477000	511.8	553.4	0
101	481000	510.1	554.5	0
102	485000	508.3	554.5	0
103	489000	508.7	554.5	0
104	503000	509.2	554.5	0
105	507000	512.9	545.8	0
106	511000	538.8	533.0	0
107	515000	648.5	507.9	0
108	519000	660.8	463.3	0
109	523000	656.2	446.2	0
110	527000	657.8	439.6	0
111	536000	652.4	440.7	0
112	540000	647.0	442.3	0
113	544000	642.4	443.7	0
114	548000	642.5	445.3	0
115	552000	646.9	445.9	0
116	556000	651.1	445.7	0
117	560000	651.4	445.0	0
118	570000	651.5	444.2	0
119	574000	651.6	444.6	0
120	578000	650.6	445.2	0
121	582000	649.7	446.6	0
122	586000	649.6	446.9	0
123	590000	649.5	447.2	0
124	594000	647.9	449.2	0
125	598000	646.2	450.4	0
126	602000	644.7	451.5	0
127	606000	644.2	452.0	1
128	610000	643.7	452.4	1
129	614000	643.2	454.5	1
130	618000	642.8	455.1	1
131	622000	642.6	455.6	1
132	626000	642.5	456.8	1
133	630000	641.6	457.0	1
134	634000	641.6	457.1	1
135	636000	641.8	457.9	1
136	640000	642.1	458.2	1
137	644000	642.1	458.6	1
138	648000	642.2	460.1	1
139	652000	641.6	460.4	1
140	656000	641.6	460.5	1
141	660000	641.5	462.0	1
142	664000	641.2	460.8	1
143	669000	641.2	460.5	1
144	673000	641.5	460.6	1
145	677000	641.2	459.5	1
146	681000	642.1	458.2	1
147	685000	642.4	458.1	1
148	689000	642.7	458.0	1
149	693000	644.3	458.1	1
150	697000	645.9	458.3	1
151	701000	646.8	458.4	1
152	705000	648.3	458.1	1
153	709000	649.0	458.1	1
154	713000	649.7	457.9	1
155	717000	650.4	457.8	1
156	721000	652.4	458.3	1
157	725000	652.7	458.2	1
158	729000	654.5	457.9	1
159	734000	654.6	457.0	1
160	738000	654.7	456.4	1
161	742000	655.9	456.1	1
162	746000	656.1	455.2	1
163	750000	656.4	455.0	1
164	754000	656.6	454.8	1
165	758000	656.9	454.9	1
166	762000	659.4	454.4	1
167	766000	659.9	455.1	1
168	769000	659.6	455.4	1
169	773000	659.9	455.4	1
170	777000	659.9	455.0	1
171	781000	659.9	454.6	1
172	785000	660.3	454.8	1
173	789000	660.4	455.1	1
174	793000	660.5	455.7	1
175	797000	665.8	455.2	1
176	801000	690.4	461.1	1
177	805000	742.4	469.8	1
178	809000	808.6	478.6	1
179	813000	870.5	469.7	1
180	817000	930.6	468.7	1
181	821000	978.7	457.7	1
182	825000	1032.7	454.2	1
183	829000	1081.7	456.3	1
184	834000	1123.0	453.9	1
185	838000	1126.7	462.7	1
186	842000	1127.3	462.9	1
187	846000	1127.9	463.1	1
188	850000	1133.5	466.3	1
189	854000	1139.8	473.8	1
190	858000	1144.1	472.9	1
191	862000	1145.7	473.0	1
192	866000	1145.8	472.8	1
193	870000	1145.1	473.3	1
194	874000	1144.4	473.8	1
195	878000	1142.8	474.5	1
196	882000	1142.0	474.2	1
197	886000	1142.0	475.0	1
198	890000	1141.9	475.8	1
199	894000	1141.7	476.5	1
200	898000	1141.1	476.9	1
201	901000	1140.6	477.3	1
202	905000	1140.6	477.7	1
203	909000	1140.1	477.6	1
204	913000	1140.0	477.5	1
205	917000	1139.9	477.1	1
206	921000	1139.6	477.1	1
207	925000	1139.3	477.2	1
208	929000	1139.4	476.3	1
209	934000	1139.6	476.4	1
210	938000	1139.6	476.4	1
211	942000	1139.5	476.4	1
212	946000	1139.6	477.7	1
213	950000	1139.5	478.0	1
214	954000	1139.1	478.4	1
215	958000	1138.9	478.9	1
216	962000	1139.1	478.3	1
217	966000	1139.3	477.7	1
218	969000	1139.1	476.4	1
219	973000	1138.9	475.6	1
220	977000	1139.2	475.1	1
221	981000	1139.2	475.2	1
222	985000	1139.2	475.5	1
223	989000	1140.0	475.0	1
224	993000	1140.2	475.1	1
225	997000	1140.5	475.2	1
226	1002000	1145.4	474.2	1
227	1006000	1153.9	478.2	1
228	1010000	1168.7	473.8	1
229	1014000	1170.4	473.5	1
230	1018000	1169.5	472.7	1
231	1022000	1168.6	472.0	1
232	1026000	1168.8	471.2	1
233	1030000	1169.1	470.8	1
234	1034000	1170.6	470.1	1
235	1038000	1170.9	470.9	1
236	1042000	1171.5	471.6	1
237	1046000	1171.8	472.7	1
238	1050000	1171.9	473.0	1
239	1054000	1171.9	473.0	1
240	1058000	1171.5	473.2	1
241	1062000	1171.3	472.3	1
242	1066000	1171.4	472.9	1
243	1069000	1171.8	473.1	1
244	1073000	1171.8	473.1	1
245	1077000	1171.8	473.1	1
246	1081000	1171.3	472.3	1
247	1085000	1171.5	472.1	1
248	1089000	1171.6	471.9	1
249	1093000	1171.8	471.5	1
250	1097000	1171.9	471.1	1
251	1103000	1171.7	469.6	1
252	1107000	1171.5	468.2	1
253	1111000	1171.3	467.5	1
254	1115000	1171.0	466.9	1
255	1119000	1171.3	466.4	1
256	1123000	1171.2	466.0	1
257	1127000	1172.1	464.9	1
258	1131000	1172.2	464.7	1
259	1135000	1172.3	464.5	1
260	1138000	1172.4	464.6	1
261	1142000	1172.1	464.9	1
262	1146000	1172.0	466.7	1
263	1150000	1171.7	466.9	1
264	1154000	1171.4	466.6	1
265	1158000	1171.1	466.2	1
266	1162000	1170.9	465.1	1
267	1166000	1171.0	465.1	1
268	1170000	1171.7	465.3	1
269	1174000	1171.6	465.4	1
270	1178000	1171.5	465.5	1
271	1182000	1171.5	465.8	1
272	1186000	1171.5	466.1	1
273	1190000	1172.0	465.8	1
274	1194000	1172.3	465.9	1
275	1198000	1172.5	465.9	1
276	1201000	1172.7	465.9	1
277	1205000	1172.4	466.0	1
278	1209000	1171.1	460.9	1
279	1213000	1169.7	458.6	1
280	1217000	1151.4	450.3	1
281	1221000	1115.0	422.7	1
282	1225000	1074.1	403.0	1
283	1229000	1027.3	384.2	1
284	1233000	979.4	373.8	1
285	1237000	927.1	366.8	1
286	1241000	865.3	334.5	1
287	1245000	818.9	318.3	1
288	1249000	759.2	314.1	1
