% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
4000,344.8,222.3,1.0,1,0,1
8000,349.8,219.4,1.0,1,1,1
12000,354.8,218.5,1.0,1,1,1
16000,355.2,217.0,1.0,1,1,1
20000,355.6,214.9,1.0,1,1,1
24000,359.8,216.8,1.0,1,1,1
28000,360.3,218.2,1.0,1,1,1
32000,360.5,218.1,1.0,1,1,1
36000,360.4,217.9,1.0,1,1,1
37000,360.5,219.6,1.0,1,1,1
38000,360.9,219.3,1.0,1,1,1
41000,361.2,221.2,1.0,1,1,1
45000,361.5,220.9,1.0,1,1,1
49000,361.7,220.6,1.0,1,1,1
53000,361.7,218.0,1.0,1,1,1
68000,362.6,218.1,1.0,1,1,1
72000,361.9,220.7,1.0,1,1,1
76000,361.2,220.6,1.0,1,1,1
80000,361.2,220.6,1.0,1,1,1
84000,361.2,220.1,1.0,1,1,1
88000,361.3,220.5,1.0,1,1,1
103000,360.8,219.9,1.0,1,1,1
107000,360.7,220.0,1.0,1,1,1
111000,360.6,220.0,1.0,1,1,1
115000,361.0,220.3,1.0,1,1,1
119000,361.4,220.6,1.0,1,1,1
123000,362.2,222.9,1.0,1,1,1
127000,362.7,223.5,1.0,1,1,1
135000,363.1,222.6,1.0,1,1,1
139000,362.8,221.5,1.0,1,1,1
143000,362.6,222.8,1.0,1,1,1
147000,362.0,222.8,1.0,1,1,1
151000,362.2,223.0,1.0,1,1,1
155000,361.9,223.5,1.0,1,1,1
166000,362.2,224.0,1.0,1,1,1
170000,362.5,223.7,1.0,1,1,1
174000,363.6,224.0,1.0,1,1,1
178000,363.0,222.7,1.0,1,1,1
182000,363.2,221.6,1.0,1,1,1
186000,362.0,220.5,1.0,1,1,1
190000,361.9,220.3,1.0,1,1,1
202000,362.0,220.1,1.0,1,1,1
206000,362.2,222.5,1.0,1,1,1
210000,361.8,223.1,1.0,1,1,1
214000,361.7,223.9,1.0,1,1,1
218000,362.4,222.3,1.0,1,1,1
222000,362.5,222.0,1.0,1,1,1
226000,362.6,222.4,1.0,1,1,1
230000,362.7,219.7,1.0,1,1,1
234000,362.9,218.7,1.0,1,1,1
238000,363.2,218.6,1.0,1,1,1
239000,363.6,220.3,1.0,1,1,1
241000,364.1,222.0,1.0,1,1,1
245000,364.3,223.2,1.0,1,1,1
249000,364.4,223.3,1.0,1,1,1
253000,364.3,221.6,1.0,1,1,1
268000,364.2,220.8,1.0,1,1,1
272000,364.3,220.1,1.0,1,1,1
276000,364.4,221.4,1.0,1,1,1
280000,363.7,222.7,1.0,1,1,1
284000,362.9,222.1,1.0,1,1,1
288000,362.2,222.6,1.0,1,1,1
303000,362.8,222.9,1.0,1,1,1
307000,362.8,223.2,1.0,1,1,1
311000,363.0,221.7,1.0,1,1,1
315000,362.4,220.1,1.0,1,1,1
319000,363.4,224.5,1.0,2,2,2
323000,364.3,228.8,1.0,2,2,2
327000,366.7,239.0,1.0,2,2,2
334000,368.7,245.3,1.0,2,2,2
338000,371.8,255.7,1.0,2,2,2
342000,385.1,277.9,1.0,2,2,2
346000,392.1,310.4,1.0,2,2,2
