Index	Time	X_coord	Y_coord	Confidence
1	3000	308.5	352.9	1
2	7000	307.3	352.2	1
3	11000	308.1	351.7	1
4	15000	308.9	351.1	1
5	19000	309.2	350.2	1
6	23000	309.5	349.3	1
7	27000	310.3	347.5	1
8	31000	310.6	347.2	1
9	35000	310.8	347.0	1
10	39000	311.0	346.9	1
11	40000	311.5	345.5	1
12	41000	312.3	345.1	1
13	44000	313.2	344.6	1
14	48000	313.5	342.7	1
15	52000	313.6	342.5	1
16	67000	313.5	342.7	1
17	71000	313.2	342.9	1
18	75000	312.5	343.6	1
19	79000	312.5	343.5	1
20	83000	312.3	343.9	1
21	87000	311.8	344.2	1
22	102000	311.3	344.4	1
23	106000	311.1	344.3	1
24	110000	310.9	344.2	1
25	114000	311.5	341.2	1
26	118000	311.4	340.8	1
27	122000	312.4	339.3	1
28	126000	313.5	336.8	1
29	134000	314.5	335.4	1
30	138000	315.4	334.0	1
31	142000	316.0	333.1	1
32	146000	316.2	331.9	1
33	150000	316.4	330.8	1
34	154000	316.6	330.8	1
35	158000	316.5	330.8	1
36	169000	316.9	330.4	1
37	173000	316.9	330.4	1
38	177000	316.9	330.4	1
39	181000	316.8	330.0	1
40	185000	316.4	329.7	1
41	189000	316.1	329.9	1
42	201000	316.4	330.0	1
43	205000	316.3	330.7	1
44	209000	316.4	331.3	1
45	213000	316.3	332.8	1
46	217000	316.9	332.6	1
47	221000	317.2	332.4	1
48	225000	317.7	332.3	1
49	229000	317.5	332.4	1
50	233000	317.6	332.3	1
51	237000	317.6	332.3	1
52	238000	317.6	332.1	1
53	240000	317.8	332.2	1
54	244000	317.6	332.4	1
55	248000	317.3	333.1	1
56	252000	316.9	333.1	1
57	267000	316.3	334.0	1
58	271000	316.0	334.8	1
59	275000	315.9	334.7	1
60	279000	315.9	334.7	1
61	283000	315.8	335.2	1
62	287000	315.8	335.7	1
63	302000	315.9	336.4	1
64	306000	315.8	337.1	1
65	310000	315.6	337.2	1
66	314000	315.2	338.9	1
67	318000	314.7	340.8	1
68	322000	314.7	341.7	1
69	326000	314.1	342.7	1
70	334000	313.9	343.4	1
71	338000	313.7	344.0	1
72	342000	319.3	343.0	1
73	346000	324.8	342.0	1
74	350000	354.6	335.8	1
75	354000	396.0	328.9	1
76	358000	456.0	311.2	1
77	370000	522.9	302.5	1
78	374000	577.1	296.2	1
79	378000	623.4	292.3	1
80	382000	660.6	290.0	1
81	386000	696.8	287.8	1
82	390000	722.7	288.5	1
83	401000	722.6	292.9	1
84	405000	722.6	297.2	1
85	409000	723.5	299.7	1
86	413000	724.1	304.6	1
87	417000	732.8	305.6	1
88	421000	733.0	306.3	1
89	425000	732.6	307.3	1
90	429000	732.4	307.7	1
91	433000	730.1	308.2	1
92	434000	730.3	308.3	1
93	437000	730.4	311.1	1
94	441000	730.5	314.1	1
95	445000	730.5	316.4	1
96	449000	730.4	318.2	1
97	453000	730.0	319.1	1
98	470000	730.0	319.5	1
99	474000	730.0	319.8	1
100	478000	729.3	321.4	1
101	482000	729.2	321.5	1
102	486000	729.0	321.6	1
103	500000	728.8	323.4	1
104	504000	728.8	323.7	1
105	508000	728.9	323.4	1
106	512000	729.0	323.6	1
107	516000	728.7	323.6	1
108	520000	728.7	323.6	1
109	524000	728.7	324.1	1
110	533000	728.5	324.6	1
111	537000	728.3	324.8	1
112	541000	728.1	325.0	1
113	545000	727.0	327.7	1
114	549000	726.5	327.8	1
115	553000	726.4	327.7	1
116	557000	726.5	327.6	1
117	567000	726.6	327.7	1
118	571000	726.9	327.9	1
119	575000	727.3	328.6	1
120	579000	727.7	328.7	1
121	583000	727.9	328.9	1
122	587000	727.9	329.2	1
123	591000	727.8	329.3	1
124	595000	727.9	329.3	1
125	599000	727.8	329.3	1
126	602000	727.8	329.9	1
127	606000	727.7	330.1	1
128	610000	727.6	330.2	1
129	614000	727.8	330.1	1
130	618000	727.9	330.4	1
131	622000	727.8	330.6	1
132	626000	727.6	331.2	1
133	630000	727.7	331.0	1
134	634000	727.4	331.4	1
135	638000	727.0	331.8	1
136	642000	726.8	331.8	1
137	646000	726.7	331.8	1
138	650000	726.6	331.9	1
139	654000	726.7	331.9	1
140	658000	726.7	331.8	1
141	662000	726.6	331.7	1
142	666000	726.6	331.5	1
143	671000	726.5	331.5	1
144	675000	726.4	331.5	1
145	679000	726.1	331.9	1
146	683000	725.9	332.0	1
147	687000	726.4	332.1	1
148	691000	726.9	332.5	1
149	695000	727.1	332.5	1
150	699000	727.7	332.6	1
151	702000	728.3	332.4	1
152	706000	728.1	332.3	1
153	710000	728.2	332.3	1
154	714000	728.1	332.1	1
155	718000	727.9	332.4	1
156	722000	727.9	332.6	1
157	726000	727.9	333.2	1
158	730000	727.8	333.8	1
159	735000	727.7	334.1	1
160	739000	727.4	334.4	1
161	743000	727.2	334.3	1
162	747000	727.1	334.8	1
163	751000	727.0	335.3	1
164	755000	726.0	335.4	1
165	759000	725.6	335.4	1
166	763000	725.4	335.4	1
167	767000	725.2	335.5	1
168	770000	725.0	335.6	1
169	774000	724.8	335.9	1
170	778000	724.6	336.3	1
171	782000	724.7	336.7	1
172	786000	724.8	337.1	1
173	790000	724.7	337.1	1
174	794000	724.8	337.5	1
175	798000	724.8	337.5	1
176	802000	724.9	337.5	1
177	806000	725.3	337.3	1
178	810000	725.8	337.0	1
179	814000	726.1	336.8	1
180	818000	726.0	336.4	1
181	822000	726.1	336.0	1
182	826000	726.1	336.0	1
183	830000	726.4	335.9	1
184	835000	726.5	336.1	1
185	839000	726.6	336.3	1
186	843000	726.4	336.9	1
187	847000	726.2	337.4	1
188	851000	725.8	338.7	1
189	855000	725.7	339.2	1
190	859000	725.8	339.2	1
191	863000	725.9	339.1	1
192	867000	726.0	339.4	1
193	870000	726.2	339.1	1
194	874000	725.9	338.8	1
195	878000	725.9	338.9	1
196	882000	725.9	339.0	1
197	886000	725.8	340.0	1
198	890000	726.1	340.6	1
199	894000	726.5	340.7	1
200	898000	726.3	341.0	1
201	902000	726.2	340.8	1
202	906000	726.3	340.7	1
203	910000	726.3	340.8	1
204	914000	726.2	340.4	1
205	918000	726.2	340.6	1
206	922000	726.1	340.9	1
207	926000	725.4	340.9	1
208	930000	724.7	340.9	1
209	934000	724.3	340.2	1
210	938000	723.9	340.2	1
211	942000	723.8	340.3	1
212	946000	723.9	339.9	1
213	950000	723.9	339.5	1
214	954000	723.6	339.4	1
215	958000	723.2	339.2	1
216	962000	723.2	338.6	1
217	966000	723.3	337.8	1
218	970000	723.2	337.9	1
219	974000	723.6	337.4	1
220	978000	723.7	337.7	1
221	982000	723.7	338.1	1
222	986000	723.7	338.3	1
223	990000	723.8	338.5	1
224	994000	723.9	338.8	1
225	998000	724.0	338.8	1
226	1002000	724.0	338.8	1
227	1006000	724.3	338.4	1
228	1010000	724.5	338.4	1
229	1014000	724.7	338.4	1
230	1018000	724.7	339.0	1
231	1022000	724.8	338.4	1
232	1026000	725.7	337.7	1
233	1030000	725.8	337.1	1
234	1034000	725.8	336.9	1
235	1038000	725.8	336.7	1
236	1042000	725.6	336.8	1
237	1046000	725.5	336.5	1
238	1050000	725.2	336.8	1
239	1054000	725.0	337.0	1
240	1058000	724.8	337.6	1
241	1062000	724.8	337.7	1
242	1066000	724.7	337.8	1
243	1070000	724.6	337.9	1
244	1074000	724.6	337.9	1
245	1078000	724.5	338.0	1
246	1082000	724.9	338.1	1
247	1086000	724.7	337.8	1
248	1090000	724.5	338.2	1
249	1094000	724.5	338.6	1
250	1098000	724.5	338.9	1
251	1103000	724.5	339.2	1
252	1107000	724.6	339.0	1
253	1111000	724.8	339.2	1
254	1115000	724.9	339.5	1
255	1119000	724.9	339.5	1
256	1123000	724.9	339.5	1
257	1127000	724.7	339.7	1
258	1131000	724.7	339.5	1
259	1135000	724.8	339.3	1
260	1138000	724.8	339.5	1
261	1142000	724.8	339.4	1
262	1146000	724.7	339.9	1
263	1150000	724.6	340.5	1
264	1154000	724.5	340.5	1
265	1158000	724.6	340.3	1
266	1162000	724.4	340.6	1
267	1166000	724.5	340.1	1
268	1170000	724.5	339.9	1
269	1174000	724.5	339.7	1
270	1178000	724.6	339.1	1
271	1182000	724.7	339.1	1
272	1186000	724.9	339.1	1
273	1190000	725.1	339.3	1
274	1194000	725.1	339.4	1
275	1198000	725.2	339.4	1
