% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,304.7,45.3,1.0,2,2,2
4000,304.2,44.4,1.0,2,2,2
8000,304.9,44.1,1.0,2,2,2
12000,305.7,43.9,1.0,2,2,2
16000,307.5,44.2,1.0,2,2,2
20000,312.3,42.7,1.0,2,2,2
24000,335.7,38.5,1.0,2,2,2
28000,365.4,30.6,1.0,2,2,2
32000,394.9,29.3,1.0,2,2,2
36000,408.6,31.6,1.0,2,2,2
37000,409.8,32.3,1.0,2,2,2
40000,411.0,34.3,1.0,2,2,2
44000,411.1,35.5,1.0,2,2,2
48000,411.1,35.8,1.0,1,2,1
52000,412.3,36.1,1.0,1,1,1
66000,415.5,36.6,1.0,1,1,1
70000,421.5,37.4,1.0,1,1,1
74000,426.5,39.0,1.0,1,1,1
78000,427.2,40.6,1.0,1,1,1
82000,427.5,40.9,1.0,1,1,1
86000,426.7,41.0,1.0,1,1,1
101000,426.0,41.3,1.0,1,1,1
105000,425.1,41.5,1.0,1,1,1
109000,424.6,41.7,1.0,1,1,1
113000,424.1,41.9,1.0,1,1,1
117000,423.3,42.0,1.0,1,1,1
121000,423.8,42.4,1.0,1,1,1
125000,424.4,43.3,1.0,1,1,1
134000,424.4,43.7,1.0,1,1,1
138000,424.4,44.7,1.0,1,1,1
142000,424.3,44.5,1.0,1,1,1
146000,424.1,44.3,1.0,1,1,1
150000,424.0,44.5,1.0,1,1,1
154000,424.2,44.8,1.0,1,1,1
158000,424.0,44.9,1.0,1,1,1
169000,423.9,45.1,1.0,1,1,1
173000,423.8,45.1,1.0,1,1,1
177000,423.8,45.2,1.0,1,1,1
181000,423.8,45.4,1.0,1,1,1
185000,423.6,45.4,1.0,1,1,1
189000,423.4,45.2,1.0,1,1,1
201000,423.9,46.1,1.0,1,1,1
205000,424.5,46.9,1.0,1,1,1
209000,425.7,48.8,1.0,2,2,2
213000,430.5,63.0,1.0,2,2,2
217000,445.8,95.6,1.0,2,2,2
221000,480.7,146.0,1.0,2,2,2
225000,509.1,222.1,1.0,2,2,2
229000,526.1,294.0,1.0,2,2,2
233000,540.5,346.9,1.0,2,2,2
237000,553.5,374.6,1.0,2,2,2
238000,557.6,371.3,1.0,2,2,2
240000,557.5,367.7,1.0,2,2,2
244000,557.3,356.4,1.0,2,2,2
248000,558.7,360.7,1.0,2,2,2
252000,560.0,364.9,1.0,2,2,2
266000,563.4,376.4,1.0,2,2,2
270000,567.0,396.8,1.0,2,2,2
274000,567.4,405.5,1.0,2,2,2
278000,567.0,414.2,1.0,2,2,2
282000,566.7,413.8,1.0,2,2,2
286000,566.3,413.3,1.0,1,1,1
301000,565.8,412.0,1.0,1,1,1
305000,565.1,408.2,1.0,1,1,1
309000,564.3,408.6,1.0,1,1,1
313000,564.3,408.9,1.0,1,1,1
317000,564.3,408.9,1.0,1,1,1
321000,564.4,408.9,1.0,1,1,1
325000,564.6,412.0,1.0,1,1,1
333000,564.1,412.9,1.0,1,1,1
337000,563.7,412.9,1.0,1,1,1
341000,562.6,412.9,1.0,1,1,1
345000,562.4,415.2,1.0,1,1,1
349000,562.4,415.9,1.0,1,1,1
353000,562.4,415.7,1.0,1,1,1
357000,562.7,415.7,1.0,1,1,1
369000,562.9,415.4,1.0,1,1,1
373000,563.2,415.5,1.0,1,1,1
377000,563.6,415.7,1.0,1,1,1
