% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,605.1,197.6,1.0,0,1,1
7000,605.1,197.8,1.0,1,1,1
11000,605.4,197.9,1.0,1,1,1
15000,605.5,197.7,1.0,1,1,1
19000,605.6,197.6,1.0,1,1,1
23000,605.8,198.1,1.0,1,1,1
27000,605.9,197.7,1.0,1,1,1
31000,606.2,197.8,1.0,1,1,1
35000,605.9,198.0,1.0,1,1,1
36000,605.5,197.9,1.0,1,1,1
38000,604.4,197.9,1.0,1,1,1
42000,603.9,197.8,1.0,1,1,1
46000,603.8,197.6,1.0,1,1,1
50000,603.6,196.2,1.0,1,1,1
54000,600.5,193.4,1.0,1,1,1
69000,600.4,190.2,1.0,1,1,1
73000,600.1,189.0,1.0,1,1,1
77000,599.9,187.8,1.0,1,1,1
81000,599.7,188.4,1.0,1,1,1
85000,599.6,188.2,1.0,1,1,1
89000,599.6,188.0,1.0,1,1,1
103000,599.6,188.5,1.0,1,1,1
107000,599.6,188.0,1.0,1,1,1
111000,599.6,187.8,1.0,1,1,1
115000,600.5,187.7,1.0,1,1,1
119000,600.6,187.4,1.0,1,1,1
123000,600.7,187.4,1.0,1,1,1
127000,601.2,187.3,1.0,1,1,1
135000,601.3,187.8,1.0,1,1,1
139000,601.4,188.3,1.0,1,1,1
143000,601.4,187.7,1.0,1,1,1
147000,601.8,187.9,1.0,1,1,1
151000,601.7,187.7,1.0,1,1,1
155000,601.7,187.8,1.0,1,1,1
159000,601.8,187.9,1.0,1,1,1
170000,601.1,188.1,1.0,1,1,1
174000,600.4,188.1,1.0,1,1,1
178000,600.3,188.2,1.0,1,1,1
182000,600.2,187.7,1.0,1,1,1
186000,599.9,187.2,1.0,1,1,1
190000,600.2,187.4,1.0,1,1,1
202000,600.2,187.1,1.0,1,1,1
206000,600.8,186.7,1.0,1,1,1
210000,601.1,188.5,1.0,1,1,1
214000,601.1,190.3,1.0,1,1,1
218000,601.3,194.0,1.0,2,2,2
222000,600.8,207.8,1.0,2,2,2
226000,594.2,240.6,1.0,2,2,2
230000,582.6,275.5,1.0,2,2,2
234000,569.0,310.6,1.0,2,2,2
238000,558.7,329.7,1.0,2,2,2
239000,551.4,342.8,1.0,2,2,2
240000,547.5,351.3,1.0,2,2,2
244000,548.2,351.9,1.0,2,2,2
248000,548.9,352.6,1.0,1,2,1
252000,552.5,352.7,1.0,1,2,1
266000,556.8,352.7,1.0,1,2,1
270000,557.0,355.9,1.0,1,1,1
274000,557.1,359.0,1.0,1,1,1
278000,557.6,361.6,1.0,1,1,1
282000,560.3,365.3,1.0,1,1,1
286000,563.4,365.9,1.0,1,1,1
301000,563.4,366.6,1.0,1,1,1
305000,563.4,366.3,1.0,1,1,1
309000,563.9,365.9,1.0,1,1,1
313000,564.1,365.2,1.0,1,1,1
317000,564.2,364.8,1.0,1,1,1
321000,564.3,364.4,1.0,1,1,1
325000,564.1,364.4,1.0,1,1,1
329000,563.5,364.4,1.0,1,1,1
336000,563.1,364.4,1.0,1,1,1
340000,560.9,364.4,1.0,1,1,1
344000,560.4,364.3,1.0,1,1,1
348000,560.0,364.1,1.0,1,1,1
352000,558.6,363.8,1.0,1,1,1
356000,557.5,363.8,1.0,1,1,1
368000,557.5,363.8,1.0,1,1,1
372000,557.2,363.9,1.0,1,1,1
376000,556.9,363.5,1.0,1,1,1
380000,579.2,370.6,1.0,1,1,1
384000,579.5,370.2,1.0,1,1,1
388000,579.5,370.3,1.0,1,1,1
392000,579.5,370.2,1.0,1,1,1
402000,579.3,370.6,1.0,1,1,1
406000,579.1,371.0,1.0,1,1,1
410000,579.7,370.6,1.0,1,1,1
414000,579.7,370.6,1.0,1,1,1
418000,579.7,370.7,1.0,1,1,1
422000,579.8,370.6,1.0,1,1,1
426000,580.0,371.0,1.0,1,1,1
430000,580.3,371.4,1.0,1,1,1
