Index	Time	X_coord	Y_coord	Confidence
1	1000	401.7	274.8	1
2	5000	401.3	275.0	1
3	9000	400.9	275.2	1
4	13000	399.7	280.2	1
5	17000	399.1	279.8	1
6	21000	399.0	279.1	1
7	25000	398.9	279.4	1
8	29000	399.0	278.9	1
9	33000	399.0	278.1	1
10	37000	399.5	278.1	1
11	38000	405.7	278.1	1
12	39000	423.1	278.9	1
13	43000	442.0	279.1	1
14	47000	459.0	279.9	1
15	51000	551.8	276.4	1
16	55000	553.8	276.6	1
17	69000	589.0	277.2	1
18	73000	639.6	276.5	1
19	77000	667.2	274.3	1
20	81000	686.6	272.7	1
21	85000	688.9	272.8	1
22	100000	691.3	272.9	1
23	104000	692.0	272.2	1
24	108000	692.2	272.4	1
25	112000	692.5	272.7	1
26	116000	692.7	272.4	1
27	120000	692.4	273.0	1
28	124000	692.0	273.6	1
29	128000	691.1	274.3	1
30	136000	690.5	275.0	1
31	140000	690.1	275.5	1
32	144000	689.9	275.2	1
33	148000	689.7	275.1	1
34	152000	689.2	275.0	1
35	156000	688.7	275.1	1
36	166000	687.6	275.3	1
37	170000	687.7	275.7	1
38	174000	687.6	276.3	1
39	178000	687.9	276.8	1
40	182000	688.1	276.9	1
41	186000	687.8	277.0	1
42	190000	687.4	277.9	1
43	202000	686.7	277.7	1
44	206000	686.1	277.5	1
45	210000	686.8	276.7	1
46	214000	687.5	276.9	1
47	218000	687.2	277.0	1
48	222000	686.8	276.9	1
49	226000	686.7	277.5	1
50	230000	686.7	278.1	1
51	234000	686.6	277.4	1
52	235000	686.5	277.9	1
53	238000	686.3	277.8	1
54	242000	686.7	277.7	1
55	246000	686.5	277.6	1
56	250000	686.2	277.6	1
57	254000	686.0	277.4	1
58	268000	685.8	277.2	1
59	272000	685.8	277.0	1
60	276000	685.8	277.3	1
61	280000	685.9	277.2	1
62	284000	685.8	277.2	1
63	288000	686.1	276.5	1
64	303000	685.8	276.6	1
65	307000	685.6	276.7	1
66	311000	684.7	276.9	1
67	315000	683.6	277.1	1
68	319000	683.5	276.9	1
69	323000	683.5	277.3	1
70	327000	683.5	276.6	1
71	335000	681.9	278.1	1
72	339000	680.3	279.6	1
