Index	Time	X_coord	Y_coord	Confidence
1	3000	236.5	331.1	1
2	7000	236.3	331.3	1
3	11000	236.3	331.2	1
4	15000	236.5	331.1	1
5	19000	236.6	331.1	1
6	23000	236.7	331.1	1
7	27000	237.3	330.8	1
8	31000	237.5	330.9	1
9	35000	237.6	330.9	1
10	37000	237.7	331.0	1
11	41000	237.8	331.1	1
12	45000	237.8	331.1	1
13	49000	237.8	331.2	1
14	53000	237.8	331.1	1
15	67000	237.8	331.4	1
16	71000	238.1	331.3	1
17	75000	238.5	331.3	1
18	79000	238.7	331.2	1
19	83000	238.8	331.3	1
20	87000	238.8	331.3	1
21	102000	238.7	331.3	1
22	106000	238.7	331.3	1
23	110000	238.5	330.8	1
24	114000	238.4	330.6	1
25	118000	238.3	330.7	1
26	122000	238.2	330.7	1
27	126000	238.3	331.0	1
28	133000	238.5	331.3	1
29	137000	239.1	331.6	1
30	141000	239.1	331.6	1
31	145000	238.8	331.6	1
32	149000	238.6	331.6	1
33	153000	238.4	331.5	1
34	157000	238.2	331.5	1
35	169000	238.0	331.5	1
36	173000	237.9	331.6	1
37	177000	237.6	331.5	1
38	181000	237.4	331.8	1
39	185000	237.6	332.1	1
40	189000	237.6	332.2	1
41	202000	237.5	332.1	1
42	206000	237.5	332.0	1
43	210000	237.7	331.8	1
44	214000	237.7	330.8	1
45	218000	237.9	328.5	1
46	222000	238.1	327.1	1
47	226000	238.2	325.7	1
48	230000	236.8	321.1	0
49	234000	243.9	318.7	0
50	235000	241.0	316.4	0
51	237000	246.2	324.5	0
52	241000	251.4	332.5	0
53	245000	257.7	341.2	0
54	249000	260.9	345.5	0
55	253000	264.1	349.8	0
56	268000	268.2	362.5	0
57	272000	272.2	375.2	0
58	276000	276.0	387.9	0
59	280000	279.9	400.6	0
60	284000	368.5	434.0	0
61	288000	450.4	466.3	0
62	303000	452.5	459.2	0
63	307000	454.7	452.1	0
64	311000	459.1	437.9	0
65	315000	467.8	409.3	0
66	319000	468.4	377.1	0
67	323000	465.8	345.1	0
68	327000	463.6	318.2	0
69	335000	459.9	291.3	0
70	339000	456.0	267.1	0
71	343000	452.1	245.2	0
72	347000	449.9	236.6	0
73	351000	449.1	236.0	0
74	355000	445.3	230.8	0
75	367000	443.9	230.8	0
76	371000	500.5	344.2	0
77	375000	498.5	350.5	0
78	379000	494.4	363.2	0
79	383000	487.4	363.8	0
80	387000	481.8	364.3	0
81	391000	476.7	365.0	0
82	403000	474.0	365.5	0
83	407000	469.8	365.5	0
84	411000	468.7	365.5	0
85	415000	467.5	365.4	0
86	419000	466.8	365.4	0
87	423000	466.2	365.5	0
88	427000	466.0	365.6	0
89	431000	465.4	368.3	0
90	433000	464.7	371.7	0
91	437000	464.3	371.8	0
92	441000	465.9	376.5	0
93	445000	467.1	378.0	0
94	449000	468.8	378.6	0
95	453000	475.5	378.5	0
96	470000	481.7	377.4	0
97	474000	487.2	376.4	0
98	478000	493.8	370.6	0
99	482000	496.4	365.4	0
100	486000	497.6	363.9	0
101	500000	497.1	361.7	0
102	504000	496.7	361.0	0
103	508000	496.6	361.2	0
104	512000	496.5	361.4	0
105	516000	495.5	361.5	0
106	520000	491.2	361.8	0
107	524000	491.2	362.4	0
108	528000	491.2	363.0	0
109	535000	488.4	363.3	0
110	539000	487.8	363.6	0
111	543000	487.7	363.7	0
112	547000	486.0	366.3	0
113	551000	484.5	366.9	0
114	555000	483.7	367.4	0
115	559000	483.3	368.0	0
116	563000	483.0	368.5	0
117	567000	480.4	367.6	0
118	571000	477.8	366.7	0
119	575000	471.5	364.8	0
120	579000	456.8	354.6	0
121	583000	443.5	346.8	0
122	587000	431.0	341.5	0
123	591000	415.8	333.8	0
124	595000	405.4	333.4	0
125	599000	402.4	333.1	0
126	603000	399.4	333.2	0
127	607000	398.3	333.2	0
128	611000	397.9	333.2	0
129	615000	397.4	333.1	0
130	619000	397.2	332.6	1
131	623000	397.2	332.6	1
132	627000	397.1	332.6	1
133	631000	397.1	333.0	1
134	635000	397.0	333.3	1
135	639000	396.5	333.6	1
136	643000	396.2	333.3	1
137	647000	396.0	333.3	1
