% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,358.9,233.8,1.0,2,1,1
5000,376.3,227.5,1.0,2,1,1
9000,394.0,227.7,1.0,2,1,1
13000,406.7,229.3,1.0,2,1,1
17000,406.7,228.8,1.0,2,1,1
21000,406.7,228.8,1.0,2,1,1
25000,407.2,228.7,1.0,2,1,1
29000,407.7,228.8,1.0,2,1,1
33000,407.9,228.7,1.0,2,1,1
37000,408.0,229.2,1.0,2,1,1
38000,408.7,229.8,1.0,2,1,1
40000,408.9,230.7,1.0,1,1,1
44000,409.0,230.7,1.0,1,1,1
48000,409.1,230.9,1.0,1,1,1
52000,409.1,231.1,1.0,1,1,1
67000,409.2,231.2,1.0,1,1,1
71000,409.8,231.2,1.0,1,1,1
75000,409.9,231.3,1.0,1,1,1
79000,410.0,231.5,1.0,1,1,1
83000,410.2,231.7,1.0,1,1,1
87000,410.2,232.7,1.0,1,1,1
102000,409.9,232.8,1.0,1,1,1
106000,409.6,232.7,1.0,1,1,1
110000,409.0,232.5,1.0,1,1,1
114000,408.7,232.1,1.0,1,1,1
118000,408.8,231.9,1.0,1,1,1
122000,408.8,231.6,1.0,1,1,1
126000,408.8,231.3,1.0,1,1,1
134000,408.7,231.3,1.0,1,1,1
138000,408.9,231.3,1.0,1,1,1
142000,409.1,231.3,1.0,1,1,1
146000,409.2,231.2,1.0,1,1,1
150000,409.4,230.6,1.0,1,1,1
154000,409.5,230.4,1.0,1,1,1
158000,409.5,230.2,1.0,1,1,1
169000,410.3,230.2,1.0,1,1,1
173000,410.3,229.8,1.0,1,1,1
177000,410.3,229.9,1.0,1,1,1
181000,410.3,229.8,1.0,1,1,1
185000,409.2,229.6,1.0,1,1,1
189000,409.1,229.7,1.0,1,1,1
201000,408.9,229.9,1.0,1,1,1
205000,408.6,229.8,1.0,1,1,1
209000,408.3,229.6,1.0,1,1,1
213000,408.6,229.3,1.0,1,1,1
217000,408.8,229.7,1.0,1,1,1
221000,409.6,230.2,1.0,1,1,1
225000,410.1,231.0,1.0,1,1,1
229000,412.9,237.2,1.0,2,2,2
233000,425.4,254.2,1.0,2,2,2
234000,449.4,278.5,1.0,2,2,2
237000,472.2,302.3,1.0,2,2,2
241000,494.9,324.9,1.0,2,2,2
245000,507.9,344.1,1.0,2,2,2
249000,519.5,353.6,1.0,2,2,2
253000,520.0,356.3,1.0,2,2,2
268000,520.8,355.9,1.0,2,2,2
272000,520.8,355.9,1.0,1,1,1
276000,520.8,355.9,1.0,1,1,1
280000,521.0,356.5,1.0,1,1,1
284000,521.4,358.4,1.0,1,1,1
288000,521.1,360.1,1.0,1,1,1
303000,521.2,361.3,1.0,1,1,1
307000,521.3,361.5,1.0,1,1,1
311000,521.3,361.6,1.0,1,1,1
315000,521.3,362.0,1.0,1,1,1
319000,521.3,361.3,1.0,1,1,1
323000,521.4,360.7,1.0,1,1,1
327000,521.3,360.7,1.0,1,1,1
335000,520.8,360.6,1.0,1,1,1
339000,520.6,360.6,1.0,1,1,1
343000,520.5,361.2,1.0,1,1,1
347000,520.4,361.4,1.0,1,1,1
351000,520.5,361.5,1.0,1,1,1
355000,520.5,361.6,1.0,1,1,1
368000,520.7,361.2,1.0,1,1,1
372000,520.8,361.1,1.0,1,1,1
376000,520.6,361.1,1.0,1,1,1
380000,520.8,361.1,1.0,1,1,1
384000,520.9,361.3,1.0,1,1,1
388000,520.8,361.4,1.0,1,1,1
392000,520.8,361.4,1.0,1,1,1
404000,521.0,361.5,1.0,1,1,1
408000,521.0,361.4,1.0,1,1,1
412000,520.7,361.7,1.0,1,1,1
416000,520.8,361.9,1.0,1,1,1
420000,521.0,361.5,1.0,1,1,1
424000,521.0,361.1,1.0,1,1,1
428000,521.0,360.9,1.0,1,1,1
432000,521.0,360.7,1.0,1,1,1
433000,521.1,360.6,1.0,1,1,1
437000,521.0,360.6,1.0,1,1,1
441000,521.2,360.6,1.0,1,1,1
445000,520.8,360.7,1.0,1,1,1
449000,520.4,360.7,1.0,1,1,1
453000,520.6,360.8,1.0,1,1,1
470000,520.6,361.2,1.0,1,1,1
474000,520.7,361.5,1.0,1,1,1
478000,521.0,361.5,1.0,1,1,1
482000,521.1,361.4,1.0,1,1,1
486000,521.3,361.2,1.0,1,1,1
500000,521.3,361.1,1.0,1,1,1
504000,521.4,361.4,1.0,1,1,1
508000,521.2,361.2,1.0,1,1,1
512000,521.4,361.7,1.0,1,1,1
516000,521.1,362.1,1.0,1,1,1
520000,521.0,362.5,1.0,1,1,1
524000,521.0,362.5,1.0,1,1,1
528000,521.2,362.8,1.0,1,1,1
532000,521.4,363.0,1.0,1,1,1
537000,522.2,363.1,1.0,1,1,1
541000,522.9,360.9,1.0,2,2,2
545000,526.2,359.0,1.0,2,2,2
549000,535.2,347.8,1.0,2,2,2
553000,541.3,330.7,1.0,2,2,2
557000,544.9,324.3,1.0,2,2,2
561000,545.7,321.6,1.0,2,2,2
565000,546.3,321.0,1.0,2,2,2
570000,547.1,320.8,1.0,1,1,1
574000,547.3,321.1,1.0,1,1,1
578000,548.5,321.4,1.0,1,1,1
582000,548.8,321.5,1.0,1,1,1
586000,549.2,321.6,1.0,1,1,1
590000,549.1,321.6,1.0,1,1,1
594000,549.3,322.4,1.0,1,1,1
598000,549.5,323.1,1.0,1,1,1
601000,549.5,323.2,1.0,1,1,1
605000,549.6,323.2,1.0,1,1,1
609000,549.6,323.1,1.0,1,1,1
613000,548.8,323.0,1.0,1,2,1
617000,548.1,322.5,1.0,1,2,1
621000,546.3,322.1,1.0,2,2,2
625000,535.8,315.7,1.0,2,2,2
629000,516.7,301.0,1.0,2,2,2
633000,501.3,289.8,1.0,2,2,2
637000,497.1,286.2,1.0,2,2,2
641000,496.4,286.9,1.0,2,2,2
645000,496.0,287.6,1.0,1,1,1
649000,495.8,289.4,1.0,1,1,1
653000,495.6,291.6,1.0,1,1,1
657000,495.8,291.6,1.0,1,1,1
661000,495.7,291.5,1.0,1,1,1
665000,495.7,291.4,1.0,1,1,1
669000,495.5,291.4,1.0,1,1,1
673000,495.1,291.4,1.0,1,1,1
677000,495.3,291.5,1.0,1,1,1
681000,495.5,291.8,1.0,1,1,1
685000,495.7,291.9,1.0,1,1,1
689000,495.7,292.0,1.0,1,1,1
693000,495.6,292.1,1.0,1,1,1
697000,495.4,292.2,1.0,1,1,1
701000,495.1,292.3,1.0,1,1,1
705000,494.8,292.5,1.0,1,1,1
709000,494.5,292.8,1.0,1,1,1
713000,494.3,293.0,1.0,1,1,1
717000,494.0,292.6,1.0,1,1,1
721000,493.8,292.6,1.0,1,1,1
725000,493.9,292.6,1.0,1,1,1
729000,493.7,292.4,1.0,1,1,1
734000,493.6,292.2,1.0,1,1,1
738000,493.5,292.2,1.0,1,1,1
742000,493.8,292.2,1.0,1,1,1
746000,494.0,292.2,1.0,1,1,1
750000,494.0,292.3,1.0,1,1,1
754000,494.3,292.3,1.0,1,1,1
758000,494.1,292.6,1.0,1,1,1
762000,494.0,292.9,1.0,1,1,1
766000,493.4,293.2,1.0,1,1,1
769000,493.4,293.0,1.0,1,1,1
773000,493.3,293.1,1.0,1,1,1
777000,493.3,293.3,1.0,1,1,1
781000,493.0,293.1,1.0,1,1,1
785000,493.0,293.2,1.0,1,1,1
789000,493.1,293.3,1.0,1,1,1
793000,493.2,293.2,1.0,1,1,1
797000,493.4,293.1,1.0,1,1,1
801000,493.3,292.7,1.0,1,1,1
805000,493.3,292.5,1.0,1,1,1
809000,493.3,291.8,1.0,1,1,1
813000,493.3,291.7,1.0,1,1,1
817000,493.0,291.4,1.0,1,1,1
821000,492.2,291.3,1.0,1,1,1
825000,491.9,291.1,1.0,1,1,1
829000,491.8,291.1,1.0,1,1,1
833000,491.7,291.1,1.0,1,1,1
