Index	Time	X_coord	Y_coord	Confidence
1	3000	358.3	417.1	1
2	7000	358.6	417.3	1
3	11000	358.5	417.4	1
4	15000	358.4	417.0	1
5	19000	358.3	417.2	1
6	23000	358.3	417.3	1
7	27000	358.3	417.4	1
8	31000	358.2	417.5	1
9	35000	358.1	417.6	1
10	36000	357.6	417.7	1
11	38000	357.5	417.9	1
12	42000	357.5	418.3	1
13	46000	357.3	418.5	1
14	50000	357.6	418.7	1
15	54000	357.8	418.5	1
16	69000	357.7	418.4	1
17	73000	357.7	418.3	1
18	77000	357.0	418.1	1
19	81000	357.0	417.9	1
20	85000	357.1	417.6	1
21	100000	357.2	417.5	1
22	104000	357.3	417.6	1
23	108000	357.2	417.6	1
24	112000	357.2	417.6	1
25	116000	357.3	417.4	1
26	120000	357.3	417.6	1
27	124000	357.3	417.4	1
28	128000	357.3	417.3	1
29	135000	357.4	417.2	1
30	139000	357.8	417.3	1
31	143000	358.2	417.5	1
32	147000	358.5	418.2	1
33	151000	358.4	418.3	1
34	155000	358.4	418.3	1
35	159000	358.4	418.9	1
36	170000	358.4	419.0	1
37	174000	358.5	419.1	1
38	178000	358.7	418.8	1
39	182000	358.7	418.7	1
40	186000	358.8	418.7	1
41	190000	358.6	418.7	1
42	202000	358.8	419.0	1
43	206000	358.8	419.1	1
44	210000	358.7	419.3	1
45	214000	358.3	419.8	1
46	218000	358.4	419.9	1
47	222000	358.5	420.1	1
48	226000	358.8	421.3	1
49	230000	358.8	421.6	1
50	234000	358.9	421.9	1
51	235000	358.9	422.3	1
52	238000	358.8	422.7	1
53	242000	358.7	423.0	1
54	246000	358.4	423.1	1
55	250000	358.3	423.1	1
56	254000	358.3	423.1	1
57	269000	358.1	423.0	1
58	273000	358.1	423.5	1
59	277000	358.1	423.5	1
60	281000	358.0	423.3	1
61	285000	357.8	423.1	1
62	300000	357.9	422.9	1
63	304000	358.0	422.8	1
64	308000	358.4	422.7	1
65	312000	359.8	422.6	1
66	316000	370.8	422.4	1
67	320000	398.8	406.1	1
68	324000	434.5	389.6	1
69	328000	461.7	385.9	1
70	336000	488.5	383.8	1
71	340000	508.6	378.5	1
72	344000	522.7	377.1	1
73	348000	533.8	374.2	1
74	352000	535.6	370.4	1
75	356000	536.6	370.2	1
76	368000	536.4	370.6	1
77	372000	536.2	370.2	1
78	376000	536.5	369.9	1
79	380000	536.7	369.6	1
80	384000	537.4	369.4	1
81	388000	537.5	369.3	1
82	400000	538.1	369.0	1
83	404000	537.7	369.1	1
84	408000	537.3	369.1	1
85	412000	537.4	368.8	1
86	416000	537.4	368.5	1
87	420000	537.3	368.5	1
88	424000	537.3	368.6	1
89	428000	537.2	366.6	1
90	432000	537.1	366.4	1
91	434000	537.2	366.2	1
92	438000	537.3	365.2	1
93	442000	537.4	365.1	1
94	446000	537.5	365.2	1
95	450000	537.5	365.2	1
96	467000	537.5	364.8	1
97	471000	537.4	365.1	1
98	475000	537.4	364.9	1
99	479000	537.3	364.9	1
100	483000	537.4	365.0	1
101	487000	537.5	365.1	1
102	501000	537.6	365.9	1
103	505000	537.4	366.8	1
104	509000	537.3	367.0	1
105	513000	537.2	367.2	1
106	517000	537.2	367.1	1
107	521000	537.3	367.0	1
108	525000	537.4	366.8	1
109	529000	537.6	366.6	1
110	536000	537.9	366.5	1
111	540000	538.0	366.4	1
112	544000	538.0	366.5	1
113	548000	538.0	366.6	1
114	552000	537.6	367.3	1
115	556000	537.2	366.8	1
116	560000	535.8	366.4	1
117	564000	528.9	365.3	1
118	569000	509.7	354.6	1
119	573000	497.7	338.2	1
120	577000	495.8	338.3	1
121	581000	495.1	338.9	1
122	585000	495.0	339.4	1
123	589000	495.2	340.0	1
124	593000	495.3	340.2	1
125	597000	496.1	340.4	1
126	601000	496.1	341.0	1
127	605000	496.1	341.1	1
128	609000	495.9	341.3	1
129	613000	495.7	341.5	1
130	617000	495.3	341.6	1
131	621000	495.4	341.9	1
132	625000	494.9	341.8	1
133	629000	494.5	341.8	1
134	633000	494.3	341.9	1
135	636000	494.4	341.9	1
136	640000	494.6	342.6	1
137	644000	494.7	342.8	1
138	648000	494.3	342.9	1
139	652000	494.3	342.9	1
140	656000	494.1	342.9	1
141	660000	493.8	342.7	1
142	664000	493.5	341.8	1
143	668000	493.3	342.2	1
144	672000	492.9	342.7	1
145	676000	492.4	343.2	1
146	680000	492.1	343.4	1
147	684000	491.8	343.6	1
148	688000	491.6	344.0	1
149	692000	490.7	344.2	1
150	696000	490.4	344.4	1
151	700000	489.1	344.8	1
152	704000	488.9	344.9	1
153	708000	489.2	344.9	1
154	712000	489.0	345.5	1
155	716000	488.8	345.5	1
156	720000	488.8	345.5	1
