Index	Time	X_coord	Y_coord	Confidence
1	2000	561.3	349.5	1
2	6000	561.2	349.3	1
3	10000	561.2	349.2	1
4	14000	561.0	349.2	1
5	18000	560.9	349.0	1
6	22000	560.7	348.8	1
7	26000	560.6	348.8	1
8	30000	561.0	348.4	1
9	34000	559.8	347.8	1
10	36000	558.5	347.6	1
11	40000	555.5	347.0	1
12	44000	547.0	346.0	1
13	48000	532.6	343.5	1
14	52000	520.0	341.2	1
15	56000	519.9	341.1	1
16	70000	520.0	340.9	1
17	74000	520.2	340.4	1
18	78000	520.1	338.3	1
19	82000	520.0	337.9	1
20	86000	519.9	337.8	1
21	101000	519.9	337.8	1
22	105000	518.5	337.6	1
23	109000	517.6	337.5	1
24	113000	516.6	337.3	1
25	117000	516.4	337.5	1
26	121000	516.3	337.7	1
27	125000	516.0	338.3	1
28	129000	515.8	338.1	1
29	136000	515.6	338.1	1
30	140000	515.6	338.2	1
31	144000	515.6	338.4	1
32	148000	515.5	339.2	1
33	152000	515.3	339.5	1
34	156000	514.6	339.7	1
35	168000	515.1	339.8	1
36	172000	515.5	339.9	1
37	176000	515.3	340.0	1
38	180000	515.4	340.3	1
39	184000	515.3	340.3	1
40	188000	515.5	340.5	1
41	200000	515.5	341.0	1
42	204000	515.8	341.6	1
43	208000	515.5	343.0	1
44	212000	515.2	343.2	1
45	216000	515.0	343.3	1
46	220000	515.0	343.4	1
47	224000	515.1	343.1	1
48	228000	514.9	342.8	1
49	232000	515.3	342.6	1
50	236000	515.6	342.5	1
51	237000	515.3	342.6	1
52	239000	515.1	342.6	1
53	243000	514.9	342.6	1
54	247000	514.9	342.6	1
55	251000	514.9	342.8	1
56	267000	514.7	342.7	1
57	271000	514.8	342.7	1
58	275000	515.0	342.4	1
59	279000	514.8	342.3	1
60	283000	514.5	342.5	1
61	287000	514.4	342.2	1
62	302000	514.2	342.0	1
63	306000	514.2	341.9	1
64	310000	514.2	342.0	1
65	314000	514.1	341.9	1
66	318000	514.3	342.0	1
67	322000	514.1	341.9	1
68	326000	514.0	341.4	1
69	334000	514.2	341.1	1
70	338000	514.2	340.8	1
71	342000	514.3	340.5	1
72	346000	514.3	340.0	1
73	350000	514.4	339.8	1
74	354000	514.3	339.7	1
75	358000	514.3	339.4	1
76	370000	514.2	339.1	1
77	374000	513.9	339.0	1
78	378000	513.7	338.9	1
79	382000	513.6	338.7	1
80	386000	513.5	338.7	1
81	390000	513.4	338.7	1
82	402000	513.3	338.7	1
83	406000	513.6	338.6	1
84	410000	513.3	338.6	1
85	414000	513.0	338.5	1
86	418000	512.8	338.3	1
87	422000	512.8	338.4	1
88	426000	512.8	338.3	1
89	430000	512.6	338.2	1
90	434000	512.6	338.2	1
91	435000	512.6	338.2	1
92	439000	512.6	338.0	1
93	443000	512.4	338.1	1
94	447000	512.4	338.2	1
95	451000	512.4	338.6	1
96	468000	508.6	338.5	1
97	472000	493.8	336.1	1
98	476000	471.4	348.3	1
99	480000	449.7	348.9	1
100	484000	435.6	350.2	1
101	488000	424.8	357.0	1
102	502000	412.9	359.3	1
103	506000	405.7	360.1	1
104	510000	404.2	362.4	1
105	514000	403.7	362.4	1
106	518000	403.5	362.3	1
107	522000	403.5	362.2	1
108	526000	403.4	362.2	1
109	530000	402.9	362.1	1
110	537000	402.5	362.0	1
111	541000	402.1	361.3	1
112	545000	401.7	361.2	1
113	549000	401.7	361.3	1
114	553000	401.6	361.5	1
115	557000	401.5	361.4	1
116	561000	401.6	361.6	1
117	565000	401.1	361.5	1
118	569000	400.9	361.5	1
119	573000	400.7	361.5	1
120	577000	400.3	361.4	1
121	581000	400.4	361.2	1
122	585000	400.6	361.1	1
123	589000	400.6	360.9	1
124	593000	400.8	360.6	1
125	597000	400.9	360.5	1
126	601000	401.2	360.5	1
127	605000	401.1	360.5	1
128	609000	400.9	360.5	1
129	613000	400.3	360.7	1
130	617000	400.5	360.9	1
131	621000	400.5	361.1	1
132	625000	400.5	361.2	1
133	629000	400.6	361.3	1
134	633000	400.7	361.0	1
135	637000	400.8	360.7	1
136	641000	400.9	360.1	1
137	645000	401.4	360.0	1
138	649000	401.5	360.1	1
139	653000	401.7	359.7	1
140	657000	402.3	359.7	1
141	661000	402.9	359.9	1
142	665000	403.0	359.9	1
143	669000	403.0	361.5	1
144	673000	403.0	361.5	1
145	677000	403.0	361.4	1
146	681000	403.1	361.4	1
147	685000	403.0	361.4	1
148	689000	403.0	361.4	1
149	693000	402.8	361.3	1
150	697000	402.4	361.3	1
151	701000	402.3	361.3	1
152	705000	401.7	361.5	1
153	709000	401.6	362.8	1
154	713000	401.5	364.0	1
155	717000	401.6	365.0	1
156	721000	401.6	365.4	1
157	725000	401.8	365.5	1
158	729000	402.0	365.5	1
159	734000	402.1	365.8	1
160	738000	402.2	365.8	1
161	742000	402.2	365.8	1
162	746000	402.3	365.8	1
163	750000	403.0	365.6	1
164	754000	403.9	363.8	1
165	758000	404.1	363.6	1
166	762000	404.2	362.5	1
167	766000	404.3	362.2	1
168	769000	404.7	360.9	1
169	773000	404.7	360.3	1
170	777000	404.7	360.1	1
171	781000	404.8	360.1	1
172	785000	404.8	360.1	1
173	789000	405.0	360.2	1
174	793000	405.2	359.2	1
175	797000	406.2	358.9	1
176	801000	406.4	358.5	1
177	805000	406.7	358.0	1
178	809000	407.0	358.2	1
179	813000	407.3	358.3	1
180	817000	407.7	358.4	1
181	821000	408.0	358.5	1
182	825000	409.3	359.0	1
183	829000	409.2	359.0	1
184	833000	409.2	359.0	1
185	838000	409.2	359.5	1
186	842000	408.9	360.1	1
187	846000	408.6	361.3	1
188	850000	408.5	361.6	1
189	854000	408.5	361.7	1
190	858000	408.5	361.7	1
191	862000	408.4	361.6	1
192	866000	408.4	361.4	1
193	869000	408.0	361.4	1
194	873000	407.9	361.5	1
195	877000	407.8	361.8	1
196	881000	407.8	362.5	1
197	885000	408.4	362.8	1
198	889000	408.9	363.0	1
199	893000	409.2	363.0	1
200	897000	409.4	363.1	1
201	901000	409.6	363.1	1
202	905000	409.1	363.6	1
203	909000	409.7	363.8	1
204	913000	410.2	363.9	1
205	917000	410.9	364.0	1
206	921000	411.0	364.0	1
207	925000	411.1	363.5	1
208	929000	412.0	363.1	1
209	933000	413.1	362.8	1
210	937000	413.5	362.4	1
211	941000	413.6	362.4	1
212	945000	410.4	361.6	1
213	949000	407.2	361.5	1
214	953000	396.5	359.6	1
215	957000	389.8	359.8	1
216	961000	391.7	360.8	1
217	965000	393.8	360.8	1
218	969000	395.9	360.7	1
219	973000	395.8	358.6	1
220	977000	395.6	358.4	1
221	981000	395.0	358.1	1
222	985000	394.6	357.1	1
223	989000	394.4	356.2	1
224	993000	394.4	356.9	1
225	997000	394.4	357.6	1
226	1001000	394.4	358.2	1
227	1005000	394.8	358.1	1
228	1009000	394.8	358.2	1
229	1013000	394.8	358.6	1
230	1017000	395.1	358.6	1
231	1021000	395.4	358.7	1
232	1025000	395.7	358.6	1
233	1029000	395.7	358.5	1
234	1033000	395.7	358.1	1
235	1037000	395.8	358.5	1
236	1041000	395.7	358.8	1
237	1045000	395.7	358.4	1
238	1049000	395.7	358.1	1
239	1053000	395.8	357.9	1
240	1057000	395.9	358.2	1
241	1061000	396.5	358.7	1
242	1065000	396.6	358.9	1
243	1069000	396.8	359.0	1
244	1073000	397.0	359.7	1
245	1077000	397.3	359.8	1
246	1081000	397.3	359.6	1
247	1085000	397.3	359.5	1
248	1089000	397.8	359.3	1
249	1093000	398.2	358.6	1
250	1097000	398.4	357.8	1
251	1101000	398.4	357.8	1
252	1105000	398.7	357.7	1
253	1109000	398.9	357.2	1
254	1113000	399.0	357.2	1
255	1117000	399.3	357.1	1
256	1121000	399.5	357.1	1
257	1125000	399.7	357.0	1
258	1129000	399.8	356.9	1
259	1133000	400.1	356.3	1
260	1137000	400.3	356.3	1
261	1141000	400.4	356.3	1
262	1145000	400.2	355.8	1
263	1149000	400.0	355.3	1
264	1153000	399.9	355.4	1
265	1157000	399.9	355.5	1
266	1161000	400.9	355.8	1
267	1165000	401.2	355.7	1
268	1169000	401.3	355.8	1
269	1173000	401.4	355.7	1
270	1177000	401.8	355.8	1
271	1181000	402.1	355.7	1
272	1185000	402.5	355.8	1
273	1189000	402.8	355.8	1
