[   78]   fixation ->    saccade (ibdt:129)
[  107]    saccade ->   fixation (ibdt:129)
[  111]    saccade ->   fixation (ibdt:129)
[  113]    saccade ->   fixation (ibdt:129)
[  114]    saccade ->   fixation (ibdt:129)
[  115]    saccade ->   fixation (ibdt:129)
[  179]    saccade ->   fixation (ibdt:129)
[  180]    saccade ->   fixation (ibdt:129)
[  181]    saccade ->   fixation (ibdt:129)
[  182]    saccade ->   fixation (ibdt:129)
[  183]    saccade ->   fixation (ibdt:129)
[  184]    saccade ->   fixation (ibdt:129)
[  185]    saccade ->   fixation (ibdt:129)
[  186]    saccade ->   fixation (ibdt:129)
[  187]    saccade ->   fixation (ibdt:129)
[  188]    saccade ->   fixation (ibdt:129)
[  541]    saccade ->   fixation (ibdt:129)
[  542]    saccade ->   fixation (ibdt:129)
[  543]    saccade ->   fixation (ibdt:129)
[  546]    saccade ->   fixation (ibdt:129)
[  547]    saccade ->   fixation (ibdt:129)
[  548]    saccade ->   fixation (ibdt:129)
[  549]    saccade ->   fixation (ibdt:129)
[  761]    saccade ->   fixation (ibdt:129)
[  762]    saccade ->   fixation (ibdt:129)
[  776]    saccade ->   fixation (ibdt:129)
[  777]    saccade ->   fixation (ibdt:129)
[  778]    saccade ->   fixation (ibdt:129)
[  779]    saccade ->   fixation (ibdt:129)
[  924]    saccade ->   fixation (ibdt:129)
[  925]    saccade ->   fixation (ibdt:129)
[  926]    saccade ->   fixation (ibdt:129)
[  927]    saccade ->   fixation (ibdt:129)
[  928]    saccade ->   fixation (ibdt:129)
[  929]    saccade ->   fixation (ibdt:129)
[  930]    saccade ->   fixation (ibdt:129)
[  931]    saccade ->   fixation (ibdt:129)
[  932]    saccade ->   fixation (ibdt:129)
[  933]    saccade ->   fixation (ibdt:129)
[  934]    pursuit ->   fixation (ibdt:129)
[  935]    pursuit ->   fixation (ibdt:129)
[  936]    pursuit ->   fixation (ibdt:129)
[  937]    pursuit ->   fixation (ibdt:129)
[  938]    pursuit ->   fixation (ibdt:129)
[  939]    pursuit ->   fixation (ibdt:129)
[  940]    pursuit ->   fixation (ibdt:129)
[  941]    pursuit ->   fixation (ibdt:129)
[  942]    pursuit ->   fixation (ibdt:129)
[  943]    pursuit ->   fixation (ibdt:129)
[  944]    pursuit ->   fixation (ibdt:129)
[  945]    pursuit ->   fixation (ibdt:129)
[  946]    pursuit ->   fixation (ibdt:129)
[  947]    pursuit ->   fixation (ibdt:129)
[  948]    pursuit ->   fixation (ibdt:129)
[  949]    pursuit ->   fixation (ibdt:129)
[  950]    pursuit ->   fixation (ibdt:129)
[  951]    pursuit ->   fixation (ibdt:129)
[  952]    pursuit ->   fixation (ibdt:129)
[  953]    pursuit ->   fixation (ibdt:129)
[  954]    pursuit ->   fixation (ibdt:129)
[  955]    pursuit ->   fixation (ibdt:129)
[  956]    pursuit ->   fixation (ibdt:129)
[  957]    pursuit ->   fixation (ibdt:129)
[  958]    pursuit ->   fixation (ibdt:129)
[  959]    pursuit ->   fixation (ibdt:129)
[  960]    pursuit ->   fixation (ibdt:129)
[  961]    pursuit ->   fixation (ibdt:129)
[  962]    pursuit ->   fixation (ibdt:129)
[  963]    pursuit ->   fixation (ibdt:129)
[  964]    pursuit ->   fixation (ibdt:129)
[  965]    pursuit ->   fixation (ibdt:129)
[  966]    pursuit ->   fixation (ibdt:129)
[  967]    pursuit ->   fixation (ibdt:129)
[  968]    pursuit ->   fixation (ibdt:129)
[  969]    pursuit ->   fixation (ibdt:129)
[  970]    pursuit ->   fixation (ibdt:129)
[  971]    pursuit ->   fixation (ibdt:129)
[  972]    pursuit ->   fixation (ibdt:129)
[  973]    pursuit ->   fixation (ibdt:129)
