Index	Time	X_coord	Y_coord	Confidence
1	2000	395.3	246.8	1
2	6000	395.1	246.7	1
3	10000	395.3	246.6	1
4	14000	394.7	246.4	1
5	18000	394.0	247.1	1
6	22000	394.3	248.0	1
7	26000	394.5	248.0	1
8	30000	394.5	248.1	1
9	34000	394.5	248.2	1
10	35000	394.4	248.0	1
11	38000	395.4	248.6	1
12	42000	395.6	248.7	1
13	46000	395.8	248.8	1
14	50000	395.4	252.6	1
15	68000	395.4	253.7	1
16	72000	395.4	253.8	1
17	76000	395.5	252.2	1
18	80000	395.6	253.0	1
19	84000	395.7	253.0	1
20	88000	396.2	253.0	1
21	102000	396.6	253.9	1
22	106000	397.0	254.8	1
23	110000	397.4	254.6	1
24	114000	397.3	255.9	1
25	118000	398.1	256.2	1
26	122000	398.1	256.2	1
27	126000	397.8	256.2	1
28	130000	397.5	256.9	1
29	135000	397.0	257.2	1
30	139000	396.6	257.2	1
31	143000	396.7	257.3	1
32	147000	396.5	256.9	1
33	151000	396.4	256.5	1
34	155000	396.4	256.9	1
35	159000	396.2	256.5	1
36	169000	396.0	256.6	1
37	173000	396.0	256.7	1
38	177000	395.9	256.7	1
39	181000	395.8	256.5	1
40	185000	396.2	257.0	1
41	201000	396.7	257.4	1
42	205000	396.8	258.3	1
43	209000	396.9	259.6	1
44	213000	409.0	262.4	1
45	217000	429.9	267.0	1
46	221000	464.2	289.2	1
47	225000	492.4	308.7	1
48	229000	524.8	320.5	1
49	233000	553.3	330.0	1
50	237000	563.9	333.3	1
51	238000	564.9	334.5	1
52	239000	565.3	336.2	1
53	242000	565.7	337.0	1
54	246000	566.2	337.9	1
55	250000	566.8	338.2	1
56	266000	566.9	338.3	1
57	270000	566.9	338.2	1
58	274000	567.3	338.7	1
59	278000	567.6	338.7	1
60	282000	568.0	338.6	1
61	286000	568.4	338.0	1
62	301000	568.7	338.8	1
63	305000	568.8	339.0	1
64	309000	568.3	339.1	1
65	313000	568.6	341.4	1
66	317000	568.8	341.5	1
67	321000	569.1	341.5	1
68	325000	569.4	342.7	1
69	329000	569.9	342.3	1
70	337000	570.5	343.1	1
71	341000	570.5	342.8	1
72	345000	570.5	342.9	1
73	349000	570.5	343.0	1
74	353000	570.5	342.9	1
75	357000	570.7	343.4	1
76	370000	570.6	343.8	1
77	374000	570.6	343.7	1
78	378000	570.4	343.6	1
79	382000	570.2	344.0	1
80	386000	570.1	343.1	1
81	390000	569.8	342.1	1
82	401000	569.9	341.7	1
83	405000	569.5	341.5	1
84	409000	569.6	341.5	1
85	413000	568.7	340.4	1
86	417000	567.8	340.5	1
87	421000	567.6	340.3	1
88	425000	567.4	340.3	1
89	429000	566.8	340.3	1
90	433000	566.8	340.3	1
91	435000	566.8	340.3	1
92	439000	566.9	340.3	1
93	443000	567.6	340.5	1
94	447000	568.3	340.5	1
95	451000	567.6	340.2	1
96	468000	568.0	338.0	1
97	472000	567.9	337.9	1
98	476000	568.1	338.2	1
99	480000	568.4	338.1	1
100	484000	568.4	338.7	1
101	488000	568.4	338.6	1
102	502000	568.4	338.9	1
103	506000	568.1	339.2	1
104	510000	567.8	338.8	1
105	514000	567.2	338.5	1
106	518000	566.7	338.2	1
107	522000	564.4	337.6	1
108	526000	561.3	336.8	1
109	534000	539.1	324.2	1
110	538000	520.4	312.0	1
111	542000	505.7	300.1	1
112	546000	483.2	291.5	1
113	550000	471.1	280.5	1
114	554000	466.0	274.5	1
115	558000	462.7	272.5	1
116	562000	461.8	271.0	1
117	567000	460.9	270.4	1
118	571000	460.7	270.0	1
119	575000	460.7	270.1	1
120	579000	460.8	269.7	1
121	583000	461.3	270.1	1
122	587000	461.0	270.0	1
123	591000	460.8	270.4	1
124	595000	461.0	270.8	1
125	599000	461.2	270.9	1
126	602000	461.8	271.1	1
127	606000	462.4	271.3	1
128	610000	462.5	271.1	1
129	614000	463.1	271.9	1
130	618000	463.1	272.7	1
131	622000	463.3	272.7	1
132	626000	464.7	272.9	1
133	630000	464.4	274.6	1
134	634000	464.1	274.8	1
135	638000	463.9	274.7	1
136	642000	463.8	275.2	1
137	646000	464.0	274.7	1
138	650000	464.2	274.2	1
139	654000	464.7	274.2	1
140	658000	464.8	275.0	1
141	662000	464.8	274.7	1
142	667000	464.8	275.4	1
143	671000	464.7	276.2	1
144	675000	465.2	276.2	1
145	679000	465.4	276.2	1
146	683000	465.4	276.4	1
147	687000	465.5	276.2	1
148	691000	465.6	276.4	1
149	695000	464.9	276.3	1
150	699000	464.8	276.4	1
151	702000	465.1	276.9	1
152	706000	465.1	276.9	1
153	710000	465.2	276.9	1
154	714000	464.8	276.7	1
155	718000	464.3	276.7	1
156	722000	464.3	276.8	1
157	726000	464.2	276.8	1
158	730000	463.5	276.4	1
159	734000	463.9	276.3	1
160	738000	463.8	276.5	1
161	742000	464.5	276.5	1
162	746000	464.6	276.9	1
163	750000	464.3	277.4	1
164	754000	464.3	277.7	1
165	758000	464.4	278.1	1
166	762000	464.0	278.0	1
167	766000	463.7	277.9	1
168	770000	463.9	278.1	1
169	774000	463.9	278.1	1
170	778000	463.9	278.3	1
171	782000	464.0	278.4	1
172	786000	463.6	279.4	1
173	790000	463.1	279.8	1
174	794000	463.0	279.9	1
175	798000	462.8	280.0	1
176	802000	462.8	279.8	1
177	806000	462.8	279.7	1
178	810000	461.3	279.6	1
179	814000	461.3	279.3	1
180	818000	461.5	279.7	1
181	822000	461.6	279.4	1
182	826000	462.6	279.3	1
183	830000	462.3	279.5	1
184	834000	462.5	279.8	1
185	838000	462.7	280.6	1
186	842000	462.8	281.0	1
187	846000	462.5	280.2	1
188	850000	462.2	279.4	1
189	854000	460.4	278.6	1
190	858000	455.5	277.9	1
191	862000	442.4	275.4	1
192	866000	432.3	281.0	1
193	870000	427.9	282.4	1
194	874000	423.5	281.7	1
195	878000	423.0	281.5	1
196	882000	423.0	282.2	1
197	886000	423.1	283.1	1
