% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
4000,503.7,80.7,1.0,1,0,1
8000,504.2,79.2,1.0,1,1,1
12000,504.8,79.1,1.0,1,1,1
16000,505.2,79.0,1.0,1,1,1
20000,505.4,79.0,1.0,1,1,1
24000,505.7,79.1,1.0,1,1,1
28000,506.0,79.1,1.0,1,1,1
32000,506.3,79.3,1.0,1,1,1
34000,507.5,81.6,1.0,1,1,1
38000,507.8,82.1,1.0,1,1,1
42000,508.1,82.6,1.0,1,1,1
46000,508.4,83.0,1.0,1,1,1
50000,508.7,83.5,1.0,1,1,1
54000,508.8,83.6,1.0,1,1,1
68000,509.6,83.7,1.0,1,1,1
72000,510.2,84.6,1.0,1,1,1
76000,510.7,85.4,1.0,1,1,1
80000,510.9,85.6,1.0,1,1,1
84000,511.0,85.9,1.0,1,1,1
88000,511.1,86.1,1.0,1,1,1
103000,511.1,86.3,1.0,1,1,1
107000,510.9,85.8,1.0,1,1,1
111000,510.9,85.9,1.0,1,1,1
115000,511.1,85.7,1.0,1,1,1
119000,511.3,85.4,1.0,1,1,1
123000,511.8,84.8,1.0,1,1,1
127000,513.2,84.1,1.0,1,1,1
131000,514.3,83.6,1.0,1,1,1
136000,515.1,83.5,1.0,1,1,1
140000,515.1,83.0,1.0,1,1,1
144000,515.2,83.0,1.0,1,1,1
148000,516.2,83.0,1.0,1,1,1
152000,516.6,84.4,1.0,1,1,1
166000,516.1,85.1,1.0,1,1,1
170000,515.6,85.7,1.0,1,1,1
174000,517.3,88.7,1.0,2,2,2
178000,520.9,97.2,1.0,2,2,2
182000,531.0,122.5,1.0,2,2,2
186000,566.0,176.2,1.0,2,2,2
190000,596.4,245.2,1.0,2,2,2
203000,619.8,307.3,1.0,2,2,2
207000,631.3,330.7,1.0,2,2,2
211000,643.6,343.3,1.0,2,2,2
215000,647.1,356.9,1.0,2,2,2
219000,649.2,365.7,1.0,2,2,2
223000,655.6,374.1,1.0,2,2,2
227000,668.4,404.5,1.0,2,2,2
231000,677.7,406.4,1.0,2,2,2
235000,676.8,407.3,1.0,2,2,2
236000,675.8,407.8,1.0,2,2,2
238000,673.6,408.4,1.0,2,2,2
242000,676.3,417.6,1.0,2,2,2
246000,678.9,426.8,1.0,2,1,1
250000,680.9,435.8,1.0,2,1,1
254000,680.4,436.0,1.0,2,1,1
269000,680.1,436.1,1.0,2,1,1
273000,679.5,434.4,1.0,1,1,1
277000,679.1,432.6,1.0,1,1,1
281000,679.2,432.5,1.0,1,1,1
285000,679.2,432.5,1.0,1,1,1
300000,679.1,432.5,1.0,1,1,1
304000,678.8,432.8,1.0,1,1,1
308000,678.3,433.1,1.0,1,1,1
312000,678.4,434.7,1.0,1,1,1
316000,678.4,435.8,1.0,1,1,1
320000,678.0,436.0,1.0,1,1,1
324000,678.2,437.1,1.0,1,1,1
328000,678.3,438.0,1.0,1,1,1
336000,677.8,438.3,1.0,1,1,1
340000,677.6,438.5,1.0,1,1,1
344000,677.8,438.9,1.0,1,1,1
348000,677.9,439.3,1.0,1,1,1
352000,678.1,440.1,1.0,1,1,1
356000,678.2,440.1,1.0,1,1,1
368000,678.2,440.2,1.0,1,1,1
372000,678.2,439.8,1.0,1,1,1
376000,678.0,439.8,1.0,1,1,1
380000,677.8,439.7,1.0,1,1,1
384000,677.3,439.3,1.0,1,1,1
388000,677.0,439.5,1.0,1,1,1
400000,676.9,439.1,1.0,1,1,1
404000,676.8,438.8,1.0,1,1,1
408000,676.7,438.7,1.0,1,1,1
412000,676.6,438.5,1.0,1,1,1
416000,676.4,438.6,1.0,1,1,1
420000,676.0,438.7,1.0,1,1,1
424000,675.5,438.7,1.0,1,1,1
428000,674.9,438.7,1.0,1,1,1
432000,666.9,435.2,1.0,2,2,2
434000,647.7,423.8,1.0,2,2,2
438000,617.1,398.8,1.0,2,2,2
442000,590.2,392.2,1.0,2,2,2
446000,574.4,390.0,1.0,2,2,2
450000,553.5,390.1,1.0,2,2,2
454000,549.1,389.7,1.0,2,2,2
471000,547.9,391.4,1.0,2,2,2
475000,552.3,391.6,1.0,1,2,1
479000,553.0,391.4,1.0,1,2,1
483000,551.9,391.4,1.0,1,1,1
487000,549.8,387.1,1.0,1,1,1
501000,537.9,386.1,1.0,1,1,1
505000,535.9,385.6,1.0,1,1,1
509000,535.9,386.4,1.0,1,1,1
513000,536.1,387.2,1.0,1,1,1
517000,537.5,387.7,1.0,1,1,1
521000,538.5,387.6,1.0,1,1,1
525000,538.3,387.8,1.0,1,1,1
529000,538.2,388.2,1.0,1,1,1
