Index	Time	X_coord	Y_coord	Confidence
1	2000	339.0	321.7	1
2	6000	338.8	321.6	1
3	10000	338.7	321.6	1
4	14000	338.0	321.6	1
5	18000	337.7	321.7	1
6	22000	338.0	323.5	1
7	26000	338.0	323.9	1
8	30000	338.0	324.3	1
9	34000	338.1	324.5	1
10	35000	338.2	324.5	1
11	37000	338.3	324.5	1
12	41000	338.8	324.9	1
13	45000	338.8	325.1	1
14	49000	338.8	325.1	1
15	53000	339.0	325.2	1
16	66000	339.1	325.1	1
17	70000	340.2	325.1	1
18	74000	340.5	325.1	1
19	78000	340.5	325.3	1
20	82000	340.6	325.7	1
21	86000	340.9	325.9	1
22	90000	340.9	326.0	1
23	103000	341.0	326.5	1
24	107000	341.1	327.0	1
25	111000	341.3	327.5	1
26	115000	341.5	327.8	1
27	119000	341.9	327.7	1
28	123000	342.0	327.9	1
29	127000	342.2	328.0	1
30	131000	342.4	327.5	1
31	133000	342.6	326.9	1
32	137000	343.1	326.5	1
33	141000	343.6	326.0	1
34	145000	344.4	325.5	1
35	149000	344.3	325.5	1
36	153000	344.6	325.4	1
37	166000	344.8	324.8	1
38	170000	345.1	324.9	1
39	174000	345.4	325.1	1
40	178000	345.4	324.7	1
41	182000	345.7	324.3	1
42	186000	346.0	324.2	1
43	190000	346.1	324.2	1
44	194000	346.0	323.9	1
45	204000	346.1	323.9	1
46	208000	346.1	323.8	1
47	212000	346.2	323.7	1
48	216000	346.8	323.7	1
49	220000	347.1	323.6	1
50	224000	347.1	322.5	1
51	228000	347.3	322.2	1
52	232000	347.5	322.2	1
53	236000	348.0	322.1	1
54	240000	348.4	322.1	1
55	244000	348.8	322.0	1
56	245000	349.0	322.4	1
57	246000	350.7	322.7	1
58	247000	351.1	322.6	1
59	248000	352.6	322.5	1
60	252000	354.2	322.2	1
61	256000	359.2	320.9	1
62	267000	355.7	323.6	1
63	271000	362.4	321.7	1
64	275000	360.7	319.8	1
65	279000	359.2	318.9	1
66	283000	359.1	318.0	1
67	301000	358.7	316.0	0
68	305000	359.3	315.0	0
69	309000	359.5	314.5	0
70	313000	359.8	314.0	0
71	317000	373.0	383.7	0
72	321000	376.3	416.8	0
73	325000	377.0	425.0	0
74	329000	377.8	433.2	0
75	335000	378.4	441.4	0
76	339000	379.2	449.6	0
77	343000	379.2	449.6	0
78	347000	0.0	0.0	0
79	351000	469.6	521.2	0
80	355000	469.6	521.1	0
81	359000	471.2	516.8	0
82	363000	472.8	512.3	0
83	369000	475.9	503.5	0
84	373000	482.3	485.8	0
85	377000	488.8	470.2	0
86	381000	493.7	456.6	0
87	385000	496.2	440.7	0
88	389000	497.6	425.7	0
89	393000	499.0	412.9	0
90	403000	500.0	402.0	0
91	407000	499.2	388.2	0
92	411000	498.8	382.3	0
93	415000	498.5	379.8	0
94	419000	498.2	377.3	0
95	423000	497.4	372.8	0
96	427000	497.0	371.5	0
97	431000	496.9	371.1	0
98	435000	496.8	370.9	0
99	439000	496.8	370.9	0
100	440000	500.4	395.7	0
101	441000	498.8	402.5	0
102	443000	495.5	416.0	0
103	447000	491.0	429.4	0
104	451000	483.5	434.9	0
105	469000	476.6	438.5	0
106	473000	469.8	440.2	0
107	477000	462.0	440.5	0
108	481000	456.9	441.0	0
109	485000	453.9	441.2	0
110	501000	452.9	441.3	0
111	505000	457.0	440.9	0
112	509000	461.1	440.5	0
113	513000	466.6	439.5	0
114	517000	472.2	438.4	0
115	521000	474.1	437.2	0
116	525000	477.3	434.5	0
117	534000	478.3	433.6	0
118	538000	479.9	432.1	0
119	542000	480.6	430.1	0
120	546000	484.1	429.2	0
121	550000	486.6	428.4	0
122	554000	490.0	428.0	0
123	569000	492.0	422.6	0
124	573000	492.3	422.2	0
125	577000	496.0	422.0	0
126	581000	501.1	421.0	0
127	585000	505.6	420.1	0
128	601000	506.5	420.0	0
129	605000	507.0	419.9	0
130	609000	507.2	419.8	0
131	613000	512.5	418.7	0
132	617000	518.5	417.7	0
133	621000	519.4	417.9	0
134	625000	521.1	418.2	0
135	629000	523.7	418.3	0
136	633000	525.9	418.3	0
137	637000	526.8	418.4	0
138	641000	529.7	418.3	0
139	642000	531.1	418.8	0
140	643000	532.4	419.3	0
141	644000	533.8	421.5	0
142	648000	536.3	421.8	0
143	652000	537.0	422.2	0
144	671000	537.7	422.1	0
145	675000	539.6	422.3	0
146	679000	540.8	422.4	0
147	683000	541.5	422.1	0
148	701000	542.2	422.1	0
149	705000	542.8	422.1	0
150	709000	543.4	422.4	0
151	713000	544.8	422.7	0
152	717000	546.2	422.7	0
153	721000	551.1	422.7	0
154	725000	570.1	425.1	0
155	734000	598.4	423.8	0
156	738000	624.8	422.5	0
157	742000	643.6	420.8	0
158	746000	657.8	415.1	0
159	750000	663.4	413.7	0
160	754000	663.6	413.4	0
161	758000	662.9	413.5	0
162	762000	662.3	415.1	0
163	766000	662.0	416.6	0
164	769000	662.3	417.1	0
165	773000	662.7	418.3	0
166	777000	666.5	419.2	1
167	781000	667.2	419.7	1
168	785000	668.2	419.8	1
169	789000	668.5	419.8	1
170	793000	668.8	419.9	1
171	797000	669.5	419.9	1
172	801000	670.2	419.8	1
173	805000	670.9	419.5	1
174	809000	671.5	419.7	1
175	813000	672.7	419.8	1
176	817000	673.8	420.3	1
