Index	Time	X_coord	Y_coord	Confidence
1	4000	421.7	26.0	1
2	8000	422.1	26.2	1
3	12000	423.1	26.3	1
4	16000	423.4	26.0	1
5	20000	423.7	25.6	1
6	24000	424.6	24.5	1
7	28000	424.7	24.5	1
8	32000	424.8	24.5	1
9	36000	424.8	24.2	1
10	40000	425.9	23.7	1
11	41000	427.0	23.5	1
12	42000	426.7	23.5	1
13	44000	427.1	23.3	1
14	48000	427.5	23.6	1
15	52000	427.5	23.9	1
16	67000	427.5	24.2	1
17	71000	427.9	24.2	1
18	75000	428.4	23.7	1
19	79000	428.7	23.2	1
20	83000	429.1	22.8	1
21	87000	429.0	22.7	1
22	102000	429.0	22.6	1
23	106000	430.2	23.0	1
24	110000	430.2	23.0	1
25	114000	431.0	23.0	1
26	118000	431.7	23.0	1
27	122000	432.2	23.1	1
28	126000	432.8	23.7	1
29	130000	432.9	24.3	1
30	133000	432.9	23.7	1
31	137000	433.5	23.1	1
32	141000	433.6	23.0	1
33	145000	433.5	23.2	1
34	149000	433.5	23.0	1
35	153000	433.7	22.9	1
36	157000	433.8	22.9	1
37	167000	433.8	23.0	1
38	171000	433.9	23.4	1
39	175000	436.2	23.6	1
40	179000	438.7	31.5	1
41	183000	462.4	61.8	1
42	187000	507.9	103.9	1
43	200000	563.0	151.3	1
44	204000	604.4	205.0	1
45	208000	624.7	244.9	1
46	212000	624.5	271.1	1
47	216000	623.4	270.8	1
48	220000	620.0	271.1	1
49	224000	619.0	265.9	1
50	228000	618.7	244.4	1
51	232000	619.2	247.4	1
52	236000	621.5	250.0	1
53	240000	623.8	256.3	1
54	244000	624.6	271.7	1
55	245000	625.0	273.3	1
56	246000	625.0	275.0	1
57	247000	624.9	275.9	1
58	249000	624.7	275.5	1
59	253000	624.3	275.2	1
60	267000	624.1	274.8	1
61	271000	623.9	275.0	1
62	275000	624.0	275.2	1
63	279000	623.9	275.4	1
64	283000	624.0	275.6	1
65	287000	624.1	275.7	1
66	291000	624.1	275.8	1
67	295000	624.0	275.8	1
68	303000	624.5	276.3	1
69	307000	624.7	276.8	1
70	311000	624.7	276.7	1
71	315000	624.9	276.5	1
72	319000	625.1	276.4	1
73	323000	625.4	276.3	1
74	327000	625.5	276.2	1
75	334000	625.6	276.1	1
76	338000	625.6	276.1	1
77	342000	625.5	276.0	1
78	346000	625.3	276.6	1
79	350000	625.5	276.7	1
80	354000	625.1	277.0	1
81	367000	625.0	277.2	1
82	371000	625.1	277.3	1
83	375000	625.2	276.9	1
84	379000	625.2	277.0	1
85	383000	625.6	276.7	1
86	387000	626.0	276.7	1
87	391000	626.2	276.7	1
88	403000	626.1	276.7	1
89	407000	626.5	276.5	1
90	411000	626.9	276.5	1
91	415000	627.2	275.8	1
92	419000	627.3	275.2	1
93	423000	627.4	275.4	1
94	427000	627.6	275.3	1
95	431000	627.7	275.5	1
96	435000	627.8	275.4	1
97	439000	627.8	275.4	1
98	440000	628.1	275.0	1
99	441000	628.2	274.5	1
100	443000	628.2	274.0	1
101	447000	628.5	273.9	1
102	451000	628.6	273.2	1
103	468000	628.7	273.3	1
104	472000	629.2	272.2	1
105	476000	629.3	272.3	1
106	480000	629.3	271.9	1
107	484000	629.0	271.4	1
108	501000	629.4	271.6	1
109	505000	629.8	271.8	1
110	509000	629.8	271.4	1
111	513000	629.5	271.7	1
112	517000	629.5	271.3	1
113	521000	629.6	270.9	1
114	525000	629.6	270.6	1
115	535000	629.4	270.3	1
116	539000	629.6	269.6	1
117	543000	629.7	269.4	1
118	547000	629.7	269.4	1
119	551000	629.5	269.5	1
120	555000	629.5	269.2	1
121	570000	629.5	269.0	1
122	574000	629.9	268.7	1
123	578000	630.2	268.9	1
124	582000	630.4	269.0	1
125	586000	633.2	277.9	1
126	602000	636.5	295.9	1
127	606000	650.0	338.8	1
128	610000	667.4	389.5	1
129	614000	685.2	437.7	1
130	618000	702.1	470.1	1
131	622000	705.4	487.7	1
132	626000	705.8	489.6	1
133	630000	703.0	489.9	1
134	634000	702.0	489.8	1
135	638000	700.8	470.8	1
136	639000	700.8	470.4	1
137	640000	704.4	471.5	1
138	642000	704.5	473.5	1
139	646000	705.3	485.2	1
140	650000	705.2	485.5	1
141	669000	705.5	484.9	1
142	673000	705.5	484.4	1
143	677000	705.5	484.1	1
144	681000	705.3	483.6	1
145	685000	705.2	483.5	1
146	689000	705.0	483.3	1
147	693000	705.0	482.4	1
148	702000	705.0	482.3	1
149	706000	705.2	482.6	1
150	710000	705.2	482.9	1
151	714000	705.3	483.1	1
152	718000	705.4	483.4	1
153	722000	705.4	483.7	1
154	726000	705.5	484.0	1
155	730000	705.4	484.1	1
156	735000	705.4	484.2	1
157	739000	705.3	484.5	1
158	743000	704.9	484.5	1
159	747000	704.8	484.5	1
160	751000	705.1	484.2	1
161	755000	705.3	483.9	1
162	759000	705.4	483.8	1
163	763000	705.4	483.4	1
164	767000	705.7	483.1	1
165	771000	705.7	482.9	1
166	775000	705.7	482.7	1
167	779000	705.7	482.6	1
168	783000	705.9	482.5	1
169	787000	705.9	482.9	1
170	791000	706.0	483.0	1
171	795000	706.1	483.0	1
172	799000	706.2	483.0	1
173	802000	706.2	482.2	1
174	806000	706.3	481.3	1
175	810000	706.2	481.0	1
176	814000	706.3	480.9	1
177	818000	706.2	480.8	1
178	822000	706.2	480.7	1
179	826000	706.2	480.6	1
180	830000	706.2	480.2	1
181	835000	705.7	480.4	1
182	839000	705.2	480.3	1
183	843000	705.1	480.3	1
184	847000	705.1	480.4	1
185	851000	705.2	480.4	1
186	855000	705.4	480.4	1
187	859000	705.5	480.7	1
188	863000	705.6	480.8	1
189	867000	705.9	480.8	1
190	870000	706.2	480.7	1
191	874000	706.2	480.9	1
192	878000	706.2	480.8	1
193	882000	706.2	480.8	1
194	886000	706.2	480.8	1
195	890000	706.1	480.9	1
196	894000	706.1	480.9	1
197	898000	706.4	481.3	1
198	902000	706.7	481.5	1
199	906000	707.1	481.2	1
200	910000	707.5	481.5	1
201	914000	707.5	481.8	1
202	918000	707.5	482.0	1
203	922000	707.7	481.9	1
204	926000	707.5	481.9	1
205	930000	707.4	482.1	1
206	934000	706.9	482.5	1
207	938000	706.8	482.4	1
208	942000	706.6	482.8	1
209	946000	706.4	483.2	1
210	950000	706.3	483.2	1
211	954000	705.9	483.4	1
212	958000	699.7	486.8	1
213	962000	688.2	491.4	1
214	966000	673.0	497.4	1
215	970000	669.1	498.4	1
216	974000	668.0	500.2	1
217	978000	668.5	499.9	1
218	982000	668.6	499.8	1
219	986000	668.6	500.0	1
220	990000	668.6	500.3	1
221	994000	668.7	500.0	1
222	998000	668.4	500.2	1
223	1002000	668.4	499.8	1
224	1006000	668.3	499.5	1
225	1010000	667.7	499.5	1
226	1014000	667.7	499.5	1
227	1018000	668.1	499.3	1
228	1022000	668.3	499.2	1
229	1026000	668.4	499.1	1
230	1030000	669.1	499.0	1
231	1035000	669.1	498.8	1
232	1039000	669.1	498.9	1
233	1043000	669.3	499.0	1
234	1047000	669.2	499.2	1
235	1051000	669.5	499.2	1
236	1055000	669.9	498.8	1
237	1059000	670.1	498.6	1
238	1063000	670.1	498.5	1
239	1067000	670.1	498.0	1
240	1070000	670.5	497.4	1
241	1074000	670.3	497.7	1
242	1078000	670.4	497.9	1
243	1082000	670.3	498.1	1
244	1086000	670.3	498.2	1
245	1090000	670.2	498.2	1
246	1094000	670.2	498.2	1
247	1098000	670.0	497.9	1
248	1103000	670.1	498.0	1
249	1107000	670.1	497.9	1
250	1111000	670.3	497.9	1
251	1115000	670.2	497.5	1
252	1119000	670.0	497.0	1
253	1123000	670.1	496.8	1
254	1127000	670.3	496.7	1
255	1131000	670.4	496.4	1
256	1134000	670.4	496.2	1
257	1138000	670.4	495.7	1
258	1142000	670.2	495.6	1
259	1146000	670.1	495.5	1
260	1150000	670.1	495.1	1
261	1154000	669.8	495.1	1
262	1158000	670.1	495.1	1
263	1162000	670.2	494.9	1
264	1166000	670.3	494.8	1
265	1170000	670.9	494.2	1
266	1174000	671.0	494.0	1
267	1178000	671.0	493.7	1
268	1182000	670.9	492.8	1
269	1186000	670.8	491.8	1
270	1190000	670.9	492.0	1
271	1194000	670.9	491.6	1
272	1198000	671.9	491.0	1
273	1202000	671.9	490.9	1
274	1206000	672.0	490.9	1
275	1210000	672.1	490.9	1
276	1214000	672.0	490.6	1
277	1218000	671.8	490.9	1
278	1222000	671.7	490.6	1
279	1226000	671.6	490.7	1
280	1230000	671.2	490.9	1
281	1234000	671.0	490.9	1
282	1238000	670.9	491.1	1
283	1242000	670.8	491.3	1
284	1246000	670.9	492.1	1
285	1250000	670.4	491.7	1
286	1254000	670.1	491.7	1
287	1258000	669.8	491.8	1
288	1262000	670.1	491.7	1
289	1267000	670.4	491.6	1
290	1271000	670.7	491.7	1
291	1275000	670.7	491.5	1
292	1279000	670.7	491.5	1
293	1283000	670.6	491.1	1
294	1287000	670.6	491.0	1
295	1291000	670.6	491.0	1
296	1295000	670.0	491.1	1
297	1299000	669.6	491.2	1
298	1303000	669.6	490.5	1
299	1307000	669.5	490.4	1
300	1311000	669.5	490.4	1
301	1315000	669.5	490.0	1
302	1319000	669.5	489.7	1
303	1323000	669.5	489.4	1
304	1327000	669.0	490.0	1
305	1331000	668.5	490.7	1
306	1335000	668.1	490.8	1
307	1339000	667.7	491.1	1
308	1343000	667.7	490.9	1
309	1347000	667.7	490.8	1
310	1351000	667.8	490.8	1
311	1355000	667.5	490.9	1
312	1359000	667.5	490.5	1
313	1363000	667.6	490.2	1
314	1367000	667.8	490.1	1
315	1371000	668.2	490.1	1
316	1375000	668.2	490.2	1
317	1379000	668.3	490.0	1
318	1383000	668.1	490.1	1
319	1387000	667.8	490.1	1
320	1391000	667.2	489.9	1
321	1395000	667.3	489.5	1
322	1399000	667.2	489.4	1
323	1403000	667.3	489.5	1
324	1407000	667.3	489.6	1
325	1411000	667.4	489.6	1
326	1415000	667.4	489.5	1
327	1419000	667.5	489.6	1
328	1423000	667.6	489.7	1
329	1427000	667.6	489.7	1
330	1431000	667.6	489.3	1
331	1435000	667.6	489.8	1
332	1439000	667.4	489.7	1
333	1443000	667.6	489.5	1
334	1447000	667.9	489.2	1
335	1451000	667.9	488.9	1
336	1455000	667.8	488.1	1
337	1459000	667.4	488.2	1
338	1463000	666.9	488.3	1
339	1467000	667.0	488.4	1
340	1471000	666.7	489.6	1
341	1475000	666.7	490.0	1
342	1479000	666.7	490.0	1
343	1483000	666.7	489.9	1
344	1487000	666.7	489.7	1
345	1491000	667.0	489.5	1
346	1495000	667.1	489.3	1
347	1499000	667.2	489.6	1
348	1502000	666.9	489.9	1
349	1506000	666.8	489.8	1
350	1510000	666.7	490.1	1
351	1514000	666.6	489.2	1
352	1518000	666.6	488.2	1
353	1522000	666.8	487.2	1
354	1526000	667.1	487.1	1
355	1530000	667.1	487.1	1
356	1535000	667.2	487.1	1
357	1539000	667.2	487.1	1
358	1543000	667.2	487.1	1
359	1547000	667.3	487.6	1
360	1551000	667.4	487.6	1
361	1555000	667.4	487.7	1
362	1559000	667.5	487.6	1
363	1563000	667.6	487.7	1
364	1567000	667.7	487.4	1
365	1571000	667.8	487.0	1
366	1575000	667.7	486.9	1
367	1579000	667.7	486.8	1
368	1583000	667.7	486.7	1
369	1587000	667.6	486.9	1
370	1591000	667.5	486.9	1
371	1595000	667.4	486.9	1
372	1599000	667.1	486.9	1
373	1603000	667.1	487.1	1
374	1607000	667.2	487.3	1
375	1611000	667.6	487.3	1
376	1615000	667.8	487.1	1
377	1619000	667.6	486.9	1
378	1623000	667.5	486.7	1
379	1627000	667.5	486.5	1
380	1631000	667.5	486.3	1
381	1635000	667.6	486.2	1
382	1639000	667.4	486.4	1
383	1643000	667.5	486.5	1
384	1647000	667.4	487.4	1
385	1651000	667.6	487.5	1
386	1655000	667.7	487.4	1
387	1659000	667.8	487.4	1
388	1663000	667.9	487.0	1
389	1667000	667.8	486.7	1
390	1671000	668.1	486.7	1
391	1675000	668.1	486.8	1
392	1679000	668.0	486.4	1
393	1683000	667.7	486.4	1
394	1687000	667.3	486.6	1
395	1691000	667.4	486.1	1
396	1695000	667.5	485.8	1
397	1699000	667.6	485.7	1
398	1703000	667.6	486.1	1
399	1707000	667.9	486.1	1
400	1711000	668.0	486.0	1
401	1715000	668.0	485.9	1
402	1719000	668.2	485.4	1
403	1723000	668.3	485.3	1
404	1727000	668.4	485.4	1
405	1731000	668.6	485.5	1
406	1736000	668.8	485.5	1
407	1740000	669.0	485.6	1
408	1744000	668.9	485.7	1
409	1748000	669.1	485.8	1
410	1752000	669.4	486.2	1
411	1756000	670.0	486.2	1
412	1760000	670.3	486.2	1
413	1764000	670.7	486.2	1
414	1768000	670.9	486.2	1
415	1771000	670.9	486.3	1
416	1775000	671.1	486.1	1
417	1779000	671.1	486.2	1
418	1783000	671.1	486.2	1
419	1787000	670.9	486.2	1
420	1791000	670.9	486.2	1
421	1795000	670.9	486.2	1
422	1799000	671.0	486.1	1
423	1803000	671.0	486.7	1
424	1807000	671.5	486.9	1
425	1811000	671.5	487.1	1
426	1815000	671.4	486.9	1
427	1819000	671.1	486.8	1
428	1823000	670.8	486.5	1
429	1827000	670.7	487.4	1
430	1831000	670.5	488.3	1
431	1835000	666.2	491.0	1
432	1839000	664.5	492.8	1
433	1843000	663.9	495.8	1
434	1847000	663.1	496.1	1
435	1851000	663.0	496.1	1
436	1855000	663.4	496.1	1
437	1859000	663.5	496.4	1
438	1863000	663.5	496.4	1
439	1867000	663.5	496.3	1
440	1871000	663.7	496.0	1
441	1875000	663.9	495.7	1
442	1879000	663.6	495.4	1
443	1883000	663.6	495.4	1
444	1887000	663.6	495.5	1
445	1891000	663.5	495.6	1
446	1895000	663.8	495.5	1
447	1899000	664.1	495.5	1
448	1903000	664.6	495.3	1
449	1907000	664.8	495.2	1
450	1911000	664.9	494.7	1
451	1915000	664.8	494.6	1
452	1919000	664.8	494.8	1
453	1923000	664.3	494.9	1
454	1927000	664.2	494.9	1
455	1931000	664.0	494.8	1
456	1935000	664.1	494.6	1
457	1939000	663.8	494.7	1
458	1943000	663.6	494.8	1
459	1947000	663.5	495.2	1
460	1951000	663.6	495.3	1
461	1955000	663.1	495.3	1
462	1959000	663.3	495.2	1
463	1963000	663.4	495.2	1
464	1967000	664.0	494.4	1
465	1971000	664.1	493.7	1
466	1975000	663.4	493.8	1
467	1979000	662.8	494.1	1
468	1983000	663.3	494.0	1
469	1987000	663.4	493.9	1
470	1991000	663.3	493.9	1
471	1995000	663.5	493.9	1
472	1999000	663.6	493.2	1
473	2003000	663.8	492.8	1
474	2007000	663.5	492.7	1
475	2011000	663.5	492.7	1
476	2015000	663.4	492.6	1
477	2019000	662.7	492.7	1
