% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
4000,421.7,26.0,1.0,1,0,1
8000,422.1,26.2,1.0,1,1,1
12000,423.1,26.3,1.0,1,1,1
16000,423.4,26.0,1.0,1,1,1
20000,423.7,25.6,1.0,1,1,1
24000,424.6,24.5,1.0,1,1,1
28000,424.7,24.5,1.0,1,1,1
32000,424.8,24.5,1.0,1,1,1
36000,424.8,24.2,1.0,1,1,1
40000,425.9,23.7,1.0,1,1,1
41000,427.0,23.5,1.0,1,1,1
42000,426.7,23.5,1.0,1,1,1
44000,427.1,23.3,1.0,1,1,1
48000,427.5,23.6,1.0,1,1,1
52000,427.5,23.9,1.0,1,1,1
67000,427.5,24.2,1.0,1,1,1
71000,427.9,24.2,1.0,1,1,1
75000,428.4,23.7,1.0,1,1,1
79000,428.7,23.2,1.0,1,1,1
83000,429.1,22.8,1.0,1,1,1
87000,429.0,22.7,1.0,1,1,1
102000,429.0,22.6,1.0,1,1,1
106000,430.2,23.0,1.0,1,1,1
110000,430.2,23.0,1.0,1,1,1
114000,431.0,23.0,1.0,1,1,1
118000,431.7,23.0,1.0,1,1,1
122000,432.2,23.1,1.0,1,1,1
126000,432.8,23.7,1.0,1,1,1
130000,432.9,24.3,1.0,1,1,1
133000,432.9,23.7,1.0,1,1,1
137000,433.5,23.1,1.0,1,1,1
141000,433.6,23.0,1.0,1,1,1
145000,433.5,23.2,1.0,1,1,1
149000,433.5,23.0,1.0,1,1,1
153000,433.7,22.9,1.0,1,1,1
157000,433.8,22.9,1.0,1,1,1
167000,433.8,23.0,1.0,1,1,1
171000,433.9,23.4,1.0,1,1,1
175000,436.2,23.6,1.0,2,2,2
179000,438.7,31.5,1.0,2,2,2
183000,462.4,61.8,1.0,2,2,2
187000,507.9,103.9,1.0,2,2,2
200000,563.0,151.3,1.0,2,2,2
204000,604.4,205.0,1.0,2,2,2
208000,624.7,244.9,1.0,2,2,2
212000,624.5,271.1,1.0,2,2,2
216000,623.4,270.8,1.0,2,2,2
220000,620.0,271.1,1.0,1,2,2
224000,619.0,265.9,1.0,1,2,2
228000,618.7,244.4,1.0,1,2,2
232000,619.2,247.4,1.0,1,2,2
236000,621.5,250.0,1.0,1,2,2
240000,623.8,256.3,1.0,1,2,2
244000,624.6,271.7,1.0,1,1,2
245000,625.0,273.3,1.0,1,1,2
246000,625.0,275.0,1.0,1,1,2
247000,624.9,275.9,1.0,1,1,2
249000,624.7,275.5,1.0,1,1,2
253000,624.3,275.2,1.0,1,1,1
267000,624.1,274.8,1.0,1,1,1
271000,623.9,275.0,1.0,1,1,1
275000,624.0,275.2,1.0,1,1,1
279000,623.9,275.4,1.0,1,1,1
283000,624.0,275.6,1.0,1,1,1
287000,624.1,275.7,1.0,1,1,1
291000,624.1,275.8,1.0,1,1,1
295000,624.0,275.8,1.0,1,1,1
303000,624.5,276.3,1.0,1,1,1
307000,624.7,276.8,1.0,1,1,1
311000,624.7,276.7,1.0,1,1,1
315000,624.9,276.5,1.0,1,1,1
319000,625.1,276.4,1.0,1,1,1
323000,625.4,276.3,1.0,1,1,1
327000,625.5,276.2,1.0,1,1,1
334000,625.6,276.1,1.0,1,1,1
338000,625.6,276.1,1.0,1,1,1
342000,625.5,276.0,1.0,1,1,1
346000,625.3,276.6,1.0,1,1,1
350000,625.5,276.7,1.0,1,1,1
354000,625.1,277.0,1.0,1,1,1
367000,625.0,277.2,1.0,1,1,1
371000,625.1,277.3,1.0,1,1,1
375000,625.2,276.9,1.0,1,1,1
379000,625.2,277.0,1.0,1,1,1
383000,625.6,276.7,1.0,1,1,1
387000,626.0,276.7,1.0,1,1,1
391000,626.2,276.7,1.0,1,1,1
403000,626.1,276.7,1.0,1,1,1
407000,626.5,276.5,1.0,1,1,1
411000,626.9,276.5,1.0,1,1,1
415000,627.2,275.8,1.0,1,1,1
419000,627.3,275.2,1.0,1,1,1
423000,627.4,275.4,1.0,1,1,1
427000,627.6,275.3,1.0,1,1,1
431000,627.7,275.5,1.0,1,1,1
435000,627.8,275.4,1.0,1,1,1
439000,627.8,275.4,1.0,1,1,1
440000,628.1,275.0,1.0,1,1,1
441000,628.2,274.5,1.0,1,1,1
443000,628.2,274.0,1.0,1,1,1
447000,628.5,273.9,1.0,1,1,1
451000,628.6,273.2,1.0,1,1,1
468000,628.7,273.3,1.0,1,1,1
472000,629.2,272.2,1.0,1,1,1
