Index	Time	X_coord	Y_coord	Confidence
1	1000	295.0	279.9	1
2	4000	295.3	280.0	1
3	8000	296.0	280.1	1
4	12000	296.2	280.8	1
5	16000	296.4	281.6	1
6	20000	296.7	281.8	1
7	24000	296.8	282.8	1
8	28000	296.9	283.7	1
9	32000	297.0	283.8	1
10	36000	297.5	283.9	1
11	37000	297.6	283.9	1
12	38000	297.6	284.3	1
13	42000	297.7	284.2	1
14	46000	297.8	284.3	1
15	50000	297.9	284.4	1
16	54000	297.9	284.2	1
17	67000	298.9	284.5	1
18	71000	299.1	284.6	1
19	75000	299.3	284.8	1
20	79000	300.0	284.7	1
21	83000	300.3	285.0	1
22	87000	300.7	285.4	1
23	100000	300.8	285.7	1
24	104000	300.9	286.1	1
25	108000	301.1	287.7	1
26	112000	301.9	288.5	1
27	116000	302.4	289.2	1
28	120000	301.9	289.3	1
29	124000	301.8	289.0	1
30	128000	301.9	288.8	1
31	134000	301.6	289.2	1
32	138000	301.8	289.3	1
33	142000	301.9	289.3	1
34	146000	302.5	289.5	1
35	150000	302.7	289.6	1
36	154000	302.9	289.7	1
37	158000	303.1	289.6	1
38	162000	303.1	289.6	1
39	170000	303.5	289.3	1
40	174000	303.5	289.0	1
41	178000	303.3	288.7	1
42	182000	303.1	288.4	1
43	186000	303.8	289.0	1
44	190000	303.8	289.1	1
45	201000	303.8	289.1	1
46	205000	303.7	289.1	1
47	209000	304.0	289.1	1
48	213000	303.8	289.1	1
49	217000	303.7	289.1	1
50	221000	303.5	289.0	1
51	225000	303.8	288.5	1
52	229000	303.8	288.7	1
53	233000	303.8	288.6	1
54	237000	303.5	288.4	1
55	241000	303.6	287.9	1
56	245000	303.6	286.8	1
57	246000	303.7	287.7	1
58	247000	305.1	288.7	1
59	248000	306.5	291.8	1
60	249000	311.1	294.7	1
61	250000	326.7	301.3	1
62	254000	356.8	330.6	1
63	269000	406.0	366.2	1
64	273000	445.3	398.6	1
65	277000	486.0	411.9	1
66	281000	484.9	416.4	1
67	285000	483.5	417.6	1
68	301000	472.9	399.3	1
69	305000	445.5	380.7	1
70	309000	446.2	375.5	1
71	313000	447.2	374.6	1
72	317000	452.4	381.0	1
73	321000	464.1	387.5	1
74	325000	470.4	404.4	1
75	329000	475.7	418.0	1
76	336000	481.6	422.5	1
77	340000	484.6	424.6	1
78	344000	484.7	425.5	1
79	348000	485.3	425.0	1
80	352000	485.1	424.6	1
81	356000	484.7	421.0	1
82	367000	483.4	420.7	1
83	371000	482.0	420.4	1
84	375000	480.6	420.3	1
85	379000	480.1	420.4	1
86	383000	479.6	420.6	1
87	387000	479.1	420.9	1
88	391000	478.8	421.1	1
89	395000	478.9	420.7	1
90	403000	478.9	421.2	1
91	407000	479.0	421.7	1
92	411000	478.8	422.2	1
93	415000	478.7	422.7	1
94	419000	478.2	422.9	1
95	423000	478.7	422.9	1
96	427000	479.1	423.0	1
97	431000	479.0	423.2	1
98	435000	478.9	423.3	1
99	436000	479.1	423.2	1
100	438000	479.3	423.1	1
