% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,226.3,346.7,1.0,0,0,1
6000,226.4,346.7,1.0,1,1,1
10000,226.3,347.3,1.0,1,1,1
14000,226.4,347.0,1.0,1,1,1
18000,226.0,347.1,1.0,1,1,1
22000,225.7,347.1,1.0,1,1,1
26000,225.9,346.6,1.0,1,1,1
30000,225.6,346.6,1.0,1,1,1
34000,225.4,346.6,1.0,1,1,1
35000,225.7,346.0,1.0,1,1,1
37000,225.6,346.2,1.0,1,1,1
41000,225.7,345.9,1.0,1,1,1
45000,225.7,345.5,1.0,1,1,1
49000,225.9,345.5,1.0,1,1,1
53000,225.5,345.6,1.0,1,1,1
67000,226.0,345.3,1.0,1,1,1
71000,226.4,345.6,1.0,1,1,1
75000,226.8,345.7,1.0,1,1,1
79000,227.2,345.7,1.0,1,1,1
83000,227.5,345.8,1.0,1,1,1
87000,227.7,345.6,1.0,1,1,1
103000,227.7,345.5,1.0,1,1,1
107000,229.0,339.3,1.0,1,1,1
111000,231.7,327.2,1.0,4,1,4
115000,233.6,318.8,1.0,4,1,4
119000,234.7,312.1,1.0,4,1,4
123000,236.5,313.2,1.0,4,1,4
127000,237.3,314.4,1.0,4,1,4
131000,237.7,315.6,1.0,4,1,4
135000,237.6,316.2,1.0,4,1,4
139000,237.9,311.8,1.0,4,1,4
143000,238.2,307.3,1.0,4,1,4
147000,239.1,307.2,1.0,4,1,4
151000,239.2,306.5,1.0,4,1,4
155000,239.0,306.5,1.0,4,1,4
169000,238.8,308.2,1.0,4,1,4
173000,238.6,309.8,1.0,4,1,4
177000,238.3,312.9,1.0,4,1,4
181000,236.4,318.3,1.0,4,1,4
185000,234.1,320.3,1.0,4,1,4
189000,232.3,327.6,1.0,4,1,4
201000,230.6,334.3,1.0,4,1,4
205000,229.5,336.8,1.0,4,1,4
209000,227.3,340.8,1.0,4,1,4
213000,222.2,347.8,1.0,4,4,4
217000,222.8,358.8,1.0,4,4,4
221000,220.2,368.8,1.0,4,4,4
225000,220.0,367.7,1.0,4,4,4
229000,219.4,366.6,1.0,4,4,4
233000,219.3,364.8,1.0,4,4,4
237000,219.2,363.9,1.0,4,4,4
241000,219.2,363.0,1.0,4,4,4
242000,199.2,408.3,1.0,4,4,4
243000,194.1,419.7,1.0,4,4,4
244000,189.0,431.1,1.0,4,4,4
245000,183.9,442.5,1.0,4,4,4
249000,178.7,454.0,1.0,4,4,4
253000,178.7,454.0,1.0,4,4,4
269000,0.0,0.0,0.0,4,4,4
273000,0.0,0.0,0.0,4,4,4
277000,0.0,0.0,0.0,4,4,4
281000,0.0,0.0,0.0,4,4,4
285000,0.0,0.0,0.0,4,4,4
289000,0.0,0.0,0.0,4,4,4
293000,0.0,0.0,0.0,4,4,4
297000,0.0,0.0,0.0,4,4,4
301000,0.0,0.0,0.0,4,4,4
305000,0.0,0.0,0.0,4,4,4
309000,0.0,0.0,0.0,4,4,4
313000,0.0,0.0,0.0,4,4,4
317000,0.0,0.0,0.0,4,4,4
321000,274.8,495.3,1.0,4,4,4
325000,274.7,495.3,1.0,4,4,4
329000,276.8,488.5,1.0,4,4,4
333000,278.8,481.7,1.0,4,4,4
337000,282.9,468.0,1.0,4,4,4
341000,291.0,440.9,1.0,4,4,4
345000,296.9,419.2,1.0,4,4,4
349000,305.7,391.7,1.0,4,4,4
353000,313.4,367.6,1.0,4,4,4
354000,316.0,356.3,1.0,4,4,4
355000,316.2,356.0,1.0,4,4,4
356000,316.7,354.1,1.0,4,4,4
357000,317.2,353.7,1.0,4,4,4
358000,317.2,353.9,1.0,4,4,4
359000,317.1,354.2,1.0,4,4,4
360000,316.9,354.9,1.0,4,4,4
361000,315.0,357.2,1.0,4,4,4
362000,314.7,357.8,1.0,4,4,4
363000,318.5,326.0,1.0,4,4,4
364000,314.4,338.2,1.0,4,4,4
365000,306.2,362.7,1.0,4,4,4
366000,297.9,373.7,1.0,4,4,4
367000,290.7,378.9,1.0,4,4,4
368000,289.3,378.6,1.0,4,4,4
372000,289.1,378.1,1.0,4,4,4
376000,296.3,374.0,1.0,4,4,4
380000,303.1,371.7,1.0,4,4,4
384000,314.7,369.3,1.0,4,4,4
