Index	Time	X_coord	Y_coord	Confidence
1	1000	660.4	433.2	1
2	5000	660.5	433.5	1
3	9000	660.7	433.7	1
4	13000	661.4	433.2	1
5	17000	661.3	433.2	1
6	21000	661.2	432.9	1
7	25000	661.2	432.9	1
8	29000	661.3	432.8	1
9	33000	660.9	433.0	1
10	37000	660.6	432.7	1
11	41000	660.5	432.7	1
12	42000	660.4	432.7	1
13	43000	660.5	432.3	1
14	44000	660.3	432.3	1
15	48000	660.1	432.1	1
16	52000	660.1	432.4	1
17	66000	660.1	432.1	1
18	70000	660.0	431.7	1
19	74000	660.0	431.7	1
20	78000	660.0	431.7	1
21	82000	659.9	430.9	1
22	86000	659.8	430.0	1
23	90000	659.5	429.7	1
24	104000	657.2	429.1	1
25	108000	651.4	426.6	1
26	112000	649.7	424.6	1
27	116000	648.9	415.6	1
28	120000	648.1	412.3	1
29	124000	648.0	410.8	1
30	128000	647.9	410.1	1
31	134000	647.8	411.2	1
32	138000	647.2	412.3	1
33	142000	647.7	412.9	1
34	146000	648.2	414.2	1
35	150000	648.1	414.5	1
36	154000	648.1	414.7	1
37	158000	649.4	415.2	1
38	169000	649.7	415.6	1
39	173000	649.8	416.1	1
40	177000	649.8	416.6	1
41	181000	650.2	417.1	1
42	185000	650.6	416.9	1
43	189000	651.2	417.2	1
44	202000	651.4	417.5	1
45	206000	651.5	417.6	1
46	210000	651.3	417.6	1
47	214000	651.7	418.2	1
48	218000	652.1	418.8	1
49	222000	652.0	418.9	1
50	226000	652.0	418.7	1
51	230000	652.0	419.5	1
52	234000	652.1	419.4	1
53	238000	653.0	419.7	1
54	242000	653.2	419.3	1
55	243000	653.4	419.2	1
56	244000	653.5	419.2	1
57	245000	653.6	419.1	1
58	248000	654.5	419.4	1
59	252000	654.6	419.1	1
60	256000	654.2	418.7	1
61	268000	654.7	418.9	1
62	272000	654.6	419.1	1
63	276000	655.5	419.9	1
64	280000	656.4	420.1	1
65	284000	656.0	420.2	1
66	288000	656.4	420.4	1
67	301000	656.4	420.5	1
68	305000	656.3	421.0	1
69	309000	656.3	420.7	1
70	313000	656.2	421.4	1
71	317000	656.4	422.2	1
72	321000	656.1	423.9	1
73	325000	655.7	423.9	1
74	333000	656.1	424.0	1
75	337000	656.2	424.3	1
76	341000	656.2	424.5	1
77	345000	655.8	424.3	1
78	349000	651.0	423.5	1
79	353000	639.2	417.9	1
80	357000	614.2	413.5	1
81	368000	587.3	411.0	1
82	372000	565.4	408.9	1
83	376000	546.6	407.3	1
84	380000	534.4	407.4	1
85	384000	531.2	408.5	1
86	388000	528.0	408.6	1
87	392000	528.0	408.9	1
88	402000	527.6	408.9	1
89	406000	527.2	408.8	1
90	410000	526.4	408.4	1
91	414000	525.8	407.9	1
92	418000	525.2	407.3	1
93	422000	524.9	404.3	1
94	426000	525.3	404.4	1
95	430000	525.1	404.3	1
96	434000	525.0	404.3	1
97	438000	525.0	404.1	1
98	442000	524.7	402.1	1
99	446000	524.7	401.7	1
100	447000	524.7	401.6	1
101	448000	524.3	401.5	1
102	449000	524.2	401.3	1
103	450000	524.1	401.0	1
