% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,660.4,433.2,1.0,1,0,1
5000,660.5,433.5,1.0,1,1,1
9000,660.7,433.7,1.0,1,1,1
13000,661.4,433.2,1.0,1,1,1
17000,661.3,433.2,1.0,1,1,1
21000,661.2,432.9,1.0,1,1,1
25000,661.2,432.9,1.0,1,1,1
29000,661.3,432.8,1.0,1,1,1
33000,660.9,433.0,1.0,1,1,1
37000,660.6,432.7,1.0,1,1,1
41000,660.5,432.7,1.0,1,1,1
42000,660.4,432.7,1.0,1,1,1
43000,660.5,432.3,1.0,1,1,1
44000,660.3,432.3,1.0,1,1,1
48000,660.1,432.1,1.0,1,1,1
52000,660.1,432.4,1.0,1,1,1
66000,660.1,432.1,1.0,1,1,1
70000,660.0,431.7,1.0,1,1,1
74000,660.0,431.7,1.0,1,1,1
78000,660.0,431.7,1.0,1,1,1
82000,659.9,430.9,1.0,1,1,1
86000,659.8,430.0,1.0,1,1,1
90000,659.5,429.7,1.0,1,1,1
104000,657.2,429.1,1.0,1,1,1
108000,651.4,426.6,1.0,1,1,1
112000,649.7,424.6,1.0,1,1,1
116000,648.9,415.6,1.0,1,1,1
120000,648.1,412.3,1.0,1,1,1
124000,648.0,410.8,1.0,1,1,1
128000,647.9,410.1,1.0,1,1,1
134000,647.8,411.2,1.0,1,1,1
138000,647.2,412.3,1.0,1,1,1
142000,647.7,412.9,1.0,1,1,1
146000,648.2,414.2,1.0,1,1,1
150000,648.1,414.5,1.0,1,1,1
154000,648.1,414.7,1.0,1,1,1
158000,649.4,415.2,1.0,1,1,1
169000,649.7,415.6,1.0,1,1,1
173000,649.8,416.1,1.0,1,1,1
177000,649.8,416.6,1.0,1,1,1
181000,650.2,417.1,1.0,1,1,1
185000,650.6,416.9,1.0,1,1,1
189000,651.2,417.2,1.0,1,1,1
202000,651.4,417.5,1.0,1,1,1
206000,651.5,417.6,1.0,1,1,1
210000,651.3,417.6,1.0,1,1,1
214000,651.7,418.2,1.0,1,1,1
218000,652.1,418.8,1.0,1,1,1
222000,652.0,418.9,1.0,1,1,1
226000,652.0,418.7,1.0,1,1,1
230000,652.0,419.5,1.0,1,1,1
234000,652.1,419.4,1.0,1,1,1
238000,653.0,419.7,1.0,1,1,1
242000,653.2,419.3,1.0,1,1,1
