% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,608.8,-75.9,1.0,4,1,4
7000,608.9,-75.2,1.0,4,1,4
11000,609.0,-75.6,1.0,4,1,4
15000,609.0,-75.5,1.0,4,1,4
19000,609.1,-75.3,1.0,4,1,4
23000,609.2,-75.5,1.0,4,1,4
27000,609.2,-75.6,1.0,4,1,4
31000,609.9,-75.5,1.0,4,1,4
35000,609.8,-75.5,1.0,4,1,4
36000,609.8,-75.3,1.0,4,1,4
37000,609.5,-75.1,1.0,4,1,4
41000,609.4,-75.0,1.0,4,1,4
45000,609.5,-74.8,1.0,4,1,4
49000,609.4,-74.9,1.0,4,1,4
53000,609.2,-74.9,1.0,4,1,4
57000,609.4,-74.6,1.0,4,1,4
68000,609.0,-74.4,1.0,4,1,4
72000,608.9,-73.4,1.0,4,1,4
76000,608.7,-73.0,1.0,4,1,4
80000,608.6,-73.4,1.0,4,1,4
84000,608.3,-73.9,1.0,4,1,4
88000,608.1,-74.1,1.0,4,1,4
101000,608.1,-74.3,1.0,4,1,4
105000,607.8,-74.8,1.0,4,1,4
109000,607.8,-74.5,1.0,4,1,4
113000,607.5,-74.6,1.0,4,1,4
117000,607.2,-74.6,1.0,4,1,4
121000,606.7,-74.5,1.0,4,1,4
125000,606.7,-74.8,1.0,4,1,4
129000,606.7,-75.1,1.0,4,1,4
135000,606.7,-74.6,1.0,4,1,4
139000,606.7,-74.4,1.0,4,1,4
143000,606.7,-74.4,1.0,4,1,4
147000,606.7,-74.4,1.0,4,1,4
151000,607.7,-74.2,1.0,4,1,4
155000,607.7,-74.2,1.0,4,1,4
159000,607.8,-73.8,1.0,4,1,4
163000,608.0,-73.4,1.0,4,1,4
170000,607.5,-72.2,1.0,4,1,4
174000,607.5,-71.6,1.0,4,1,4
178000,607.3,-71.4,1.0,4,1,4
182000,607.3,-71.6,1.0,4,1,4
186000,607.4,-71.4,1.0,4,1,4
190000,607.0,-71.3,1.0,4,1,4
194000,607.1,-70.6,1.0,4,1,4
203000,607.3,-71.0,1.0,4,2,4
207000,607.9,-71.3,1.0,4,2,4
211000,607.8,-70.8,1.0,4,2,4
215000,607.7,-70.2,1.0,4,2,4
219000,608.4,-68.7,1.0,4,2,4
223000,608.7,-60.4,1.0,4,2,4
227000,614.3,-38.2,1.0,4,2,4
231000,640.4,-9.4,1.0,4,2,4
235000,648.9,15.5,1.0,4,2,4
236000,666.2,44.9,1.0,4,2,4
239000,701.5,78.4,1.0,4,2,4
243000,715.9,108.1,1.0,4,2,4
247000,735.3,137.6,1.0,4,2,4
251000,748.8,165.7,1.0,4,2,4
255000,754.1,177.3,1.0,4,2,4
267000,759.9,178.7,1.0,4,2,4
271000,760.9,178.8,1.0,4,2,4
275000,762.4,178.9,1.0,4,2,4
279000,763.0,181.1,1.0,4,2,4
283000,763.6,183.2,1.0,1,1,1
287000,763.7,186.5,1.0,1,1,1
291000,763.6,189.8,1.0,1,1,1
301000,763.7,189.1,1.0,1,1,1
305000,763.8,188.9,1.0,1,1,1
309000,764.4,188.9,1.0,1,1,1
313000,764.5,189.4,1.0,1,1,1
317000,764.6,189.8,1.0,1,1,1
321000,765.3,190.6,1.0,1,1,1
325000,765.7,190.6,1.0,1,1,1
329000,765.8,190.7,1.0,1,1,1
336000,765.9,191.0,1.0,1,1,1
340000,765.9,191.3,1.0,1,1,1
344000,766.1,192.0,1.0,1,1,1
348000,766.2,192.7,1.0,1,1,1
352000,767.2,193.2,1.0,1,1,1
356000,767.2,193.7,1.0,1,1,1
360000,767.1,194.8,1.0,1,1,1
368000,768.8,195.0,1.0,1,1,1
372000,768.9,195.1,1.0,1,1,1
376000,768.8,195.1,1.0,1,1,1
380000,768.7,195.1,1.0,1,1,1
384000,768.7,195.1,1.0,1,1,1
388000,768.6,195.5,1.0,1,1,1
392000,768.5,195.9,1.0,1,1,1
396000,768.7,196.1,1.0,1,1,1
403000,768.6,196.1,1.0,1,1,1
407000,768.6,196.1,1.0,1,1,1
411000,768.6,196.5,1.0,1,1,1
415000,768.3,197.0,1.0,1,1,1
419000,768.1,197.4,1.0,1,1,1
423000,767.9,197.9,1.0,1,1,1
427000,767.3,198.4,1.0,1,1,1
431000,766.6,198.9,1.0,1,1,1
435000,766.7,197.8,1.0,1,1,1
436000,766.8,197.4,1.0,1,1,1
