Index	Time	X_coord	Y_coord	Confidence
1	3000	715.3	404.0	1
2	7000	701.6	403.1	1
3	11000	697.0	402.0	1
4	15000	696.4	400.6	1
5	19000	696.3	399.2	1
6	23000	696.4	399.3	1
7	27000	696.6	399.3	1
8	31000	696.5	399.3	1
9	35000	696.4	399.8	1
10	36000	696.4	400.3	1
11	38000	696.5	400.1	1
12	42000	696.5	400.1	1
13	46000	696.5	400.1	1
14	50000	696.6	400.0	1
15	54000	696.6	399.9	1
16	58000	696.6	400.3	1
17	69000	696.7	400.6	1
18	73000	696.8	400.6	1
19	77000	697.0	401.0	1
20	81000	696.9	401.4	1
21	85000	697.0	401.5	1
22	89000	696.8	401.5	1
23	102000	696.5	401.5	1
24	106000	696.6	401.3	1
25	110000	696.8	400.9	1
26	114000	696.6	400.8	1
27	118000	696.5	400.6	1
28	122000	695.8	397.5	1
29	126000	695.1	397.8	1
30	133000	694.8	398.0	1
31	137000	694.8	398.2	1
32	141000	694.7	398.3	1
33	145000	694.8	398.3	1
34	149000	694.8	398.6	1
35	153000	694.7	399.0	1
36	157000	694.4	399.1	1
37	161000	694.3	399.3	1
38	168000	694.3	400.3	1
39	172000	694.4	400.4	1
40	176000	694.2	401.5	1
41	180000	694.0	401.6	1
42	184000	693.5	401.0	1
43	188000	693.0	400.5	1
44	192000	692.8	399.8	1
45	201000	692.9	399.2	1
46	205000	692.6	398.2	1
47	209000	692.7	398.0	1
48	213000	692.5	398.2	1
49	217000	692.4	398.4	1
50	221000	691.9	399.1	1
51	225000	691.5	399.0	1
52	229000	691.7	398.9	1
53	233000	691.8	399.3	1
54	234000	692.1	399.4	1
55	237000	692.2	399.3	1
56	241000	691.8	399.3	1
57	245000	692.0	399.6	1
58	249000	692.1	399.7	1
59	253000	692.1	399.8	1
60	257000	692.1	399.8	1
61	269000	691.8	399.9	1
62	273000	691.7	400.3	1
63	277000	691.8	400.8	1
64	281000	691.8	401.5	1
65	285000	692.0	402.1	1
66	289000	692.4	402.8	1
67	293000	700.4	412.3	1
68	304000	716.2	423.2	1
69	308000	744.6	450.2	1
70	312000	762.9	493.8	1
71	316000	781.9	524.7	1
72	320000	797.1	548.8	1
73	324000	808.7	563.8	1
74	328000	810.8	582.2	1
75	335000	811.2	580.5	1
76	339000	810.6	578.8	1
77	343000	809.9	574.7	1
78	347000	810.0	573.5	1
79	351000	810.1	573.4	1
80	355000	810.4	573.6	1
81	359000	811.5	573.7	1
82	363000	811.8	575.5	1
83	371000	812.2	576.5	1
84	375000	813.7	577.2	1
85	379000	814.4	577.2	1
86	383000	814.3	577.1	1
87	387000	814.8	577.4	1
88	391000	815.0	577.7	1
89	395000	815.0	578.0	1
90	402000	815.0	578.2	1
91	406000	815.6	578.3	1
92	410000	815.8	578.5	1
93	414000	816.0	578.5	1
94	418000	816.3	578.5	1
95	422000	816.6	578.9	1
96	426000	816.7	579.3	1
97	430000	817.4	579.3	1
98	434000	817.4	579.5	1
99	435000	817.4	579.6	1
100	438000	817.7	579.8	1
101	442000	817.8	580.1	1
102	446000	817.8	580.4	1
103	450000	817.8	580.5	1
104	454000	818.1	580.6	1
105	468000	818.3	580.8	1
106	472000	818.3	580.9	1
107	476000	818.4	580.9	1
108	480000	819.4	580.9	1
109	484000	819.3	581.0	1
110	488000	819.2	580.4	1
111	501000	819.3	579.8	1
112	505000	819.3	579.7	1
113	509000	819.6	580.1	1
114	513000	819.7	579.7	1
115	517000	819.7	579.3	1
116	521000	819.8	579.3	1
117	525000	819.9	579.3	1
118	533000	820.0	579.7	1
119	537000	820.5	580.0	1
120	541000	820.9	580.2	1
121	545000	821.0	580.5	1
122	549000	821.0	580.8	1
123	553000	820.9	580.8	1
124	557000	820.9	581.1	1
125	567000	820.9	581.3	1
126	571000	821.0	581.4	1
127	575000	821.1	581.4	1
128	579000	821.4	581.3	1
129	583000	821.8	581.3	1
130	587000	822.2	580.8	1
131	591000	822.4	580.8	1
132	600000	822.6	580.8	1
133	604000	822.4	581.2	1
134	608000	822.7	581.3	1
135	612000	822.8	581.3	1
136	616000	822.9	581.1	1
137	620000	823.0	581.0	1
138	624000	823.2	581.0	1
139	628000	823.2	580.5	1
140	632000	823.1	580.0	1
141	634000	822.9	580.2	1
142	638000	823.3	580.3	1
143	642000	823.8	580.5	1
144	646000	824.3	580.7	1
145	650000	824.4	580.9	1
146	654000	824.4	580.7	1
147	668000	824.8	580.6	1
