Index	Time	X_coord	Y_coord	Confidence
1	1000	325.3	341.3	1
2	5000	314.1	340.9	1
3	9000	308.1	342.5	1
4	13000	304.6	343.6	1
5	17000	303.4	343.9	1
6	21000	301.6	343.7	1
7	25000	300.6	343.4	1
8	29000	300.6	343.6	1
9	33000	299.6	343.6	1
10	37000	299.2	343.4	1
11	38000	299.2	343.4	1
12	39000	299.1	343.0	1
13	43000	299.3	343.4	1
14	47000	299.5	343.8	1
15	51000	299.5	344.0	1
16	55000	299.6	344.1	1
17	67000	299.7	343.8	1
18	71000	299.9	343.6	1
19	75000	300.0	342.9	1
20	79000	299.6	341.8	1
21	83000	299.8	342.3	1
22	87000	299.7	342.7	1
23	91000	299.8	343.6	1
24	103000	299.8	343.6	1
25	107000	300.0	343.7	1
26	111000	300.1	344.3	1
27	115000	300.0	343.5	1
28	119000	300.0	342.7	1
29	123000	300.0	342.5	1
30	127000	300.1	342.5	1
31	134000	300.2	342.5	1
32	138000	300.4	342.7	1
33	142000	300.6	342.7	1
34	146000	300.7	342.8	1
35	150000	300.7	342.6	1
36	154000	300.9	342.7	1
37	158000	301.1	342.9	1
38	162000	301.4	343.0	1
39	169000	301.8	343.2	1
40	173000	301.8	343.2	1
41	177000	301.8	342.7	1
42	181000	301.7	342.1	1
43	185000	301.5	342.2	1
44	189000	301.7	342.3	1
45	193000	301.8	342.2	1
46	202000	302.2	342.2	1
47	206000	302.0	342.3	1
48	210000	301.7	342.5	1
49	214000	301.4	342.9	1
50	218000	301.6	343.3	1
51	222000	301.6	343.3	1
52	226000	301.4	343.5	1
53	230000	301.4	343.4	1
54	234000	301.4	343.7	1
55	235000	301.4	344.0	1
56	239000	301.4	344.0	1
57	243000	301.7	343.8	1
58	247000	302.0	343.5	1
59	251000	308.6	342.9	1
60	255000	333.1	343.1	1
61	266000	377.4	339.8	1
62	270000	435.3	328.4	1
63	274000	484.9	308.4	1
64	278000	524.5	305.8	1
65	282000	557.7	305.3	1
66	286000	578.6	301.8	1
67	290000	595.2	297.3	1
68	301000	599.5	297.6	1
69	305000	601.2	297.8	1
70	309000	603.1	299.0	1
71	313000	605.6	300.2	1
72	317000	608.1	301.4	1
73	321000	609.6	303.9	1
74	325000	609.5	304.3	1
75	329000	609.7	304.7	1
76	336000	609.8	305.2	1
77	340000	609.8	305.5	1
78	344000	609.8	305.7	1
79	348000	611.1	305.9	1
80	352000	611.4	305.9	1
81	356000	612.2	306.2	1
82	360000	612.2	306.5	1
83	368000	612.6	307.1	1
84	372000	612.6	307.2	1
85	376000	612.6	307.3	1
86	380000	612.6	307.6	1
87	384000	612.6	307.6	1
88	388000	612.6	307.6	1
89	392000	612.9	307.2	1
90	400000	613.0	306.8	1
91	404000	612.9	305.6	1
92	408000	612.9	305.3	1
93	412000	613.1	304.7	1
94	416000	613.1	303.3	1
95	420000	612.9	302.0	1
96	424000	612.9	301.8	1
97	428000	612.7	301.7	1
98	432000	614.0	301.8	1
99	436000	615.2	300.8	1
100	437000	618.1	299.7	1
101	439000	628.4	297.8	1
102	443000	647.3	285.1	1
103	447000	664.1	264.5	1
104	451000	672.6	255.7	1
105	455000	673.4	253.6	1
106	469000	674.2	251.5	1
107	473000	675.4	249.6	1
108	477000	676.3	249.7	1
109	481000	676.6	249.7	1
110	485000	677.0	249.9	1
111	489000	677.5	250.1	1
112	502000	677.8	250.4	1
113	506000	677.7	250.6	1
114	510000	678.1	250.8	1
115	514000	678.3	251.6	1
116	518000	678.4	251.6	1
117	522000	678.5	251.6	1
118	526000	678.4	251.7	1
119	534000	678.4	251.8	1
120	538000	678.4	251.8	1
121	542000	678.5	251.8	1
122	546000	678.7	252.1	1
123	550000	679.0	252.1	1
124	554000	678.7	252.1	1
125	558000	678.6	252.0	1
126	568000	678.5	251.9	1
127	572000	678.5	251.9	1
128	576000	678.3	250.6	1
129	580000	678.3	250.2	1
130	584000	678.1	249.7	1
131	588000	678.3	249.6	1
132	592000	678.5	249.8	1
133	601000	679.0	249.5	1
134	605000	679.0	249.2	1
135	609000	679.2	248.7	1
136	613000	679.2	248.4	1
137	617000	679.1	247.9	1
138	621000	679.1	248.2	1
139	625000	679.0	248.1	1
140	629000	679.0	248.0	1
141	633000	678.8	247.5	1
142	635000	678.7	247.4	1
143	639000	678.6	247.3	1
144	643000	678.5	247.2	1
145	647000	678.6	247.2	1
146	651000	678.7	247.1	1
147	655000	679.3	247.3	1
148	669000	678.5	247.4	1
149	673000	677.8	249.0	1
150	677000	676.2	252.1	1
151	681000	665.3	268.9	1
152	685000	647.5	293.0	1
153	689000	623.3	330.4	1
154	701000	599.2	371.1	1
155	705000	583.0	407.8	1
156	709000	565.3	443.4	1
157	713000	557.3	469.5	1
158	717000	546.3	494.0	1
159	721000	540.8	511.7	1
160	725000	538.3	512.1	1
161	734000	535.2	512.5	1
162	738000	532.3	514.4	1
163	742000	530.7	516.2	1
164	746000	530.3	518.9	1
165	750000	531.0	522.4	1
166	754000	531.4	523.6	1
167	758000	531.4	523.9	1
168	767000	531.4	524.1	1
169	771000	531.4	524.2	1
170	775000	531.5	524.3	1
171	779000	531.7	524.8	1
172	783000	532.1	525.4	1
173	787000	534.0	525.5	1
174	791000	534.2	525.7	1
175	800000	534.4	525.7	1
176	804000	534.4	525.8	1
177	808000	534.3	526.5	1
178	812000	534.4	526.6	1
179	816000	534.5	526.8	1
180	820000	535.0	527.2	1
181	824000	535.0	527.6	1
182	828000	535.0	528.3	1
183	832000	535.0	528.6	1
184	836000	534.9	529.0	1
185	837000	534.9	529.5	1
186	841000	534.8	529.4	1
187	845000	534.8	529.5	1
188	849000	534.8	529.1	1
189	853000	534.9	528.6	1
190	857000	534.9	527.6	1
191	870000	535.0	527.1	1
192	874000	534.9	527.0	1
193	878000	534.8	526.9	1
194	882000	534.8	526.7	1
195	886000	534.3	526.5	1
196	890000	534.4	525.3	1
197	902000	534.5	524.2	1
198	906000	534.8	524.2	1
199	910000	535.0	524.1	1
200	914000	535.5	524.0	1
201	918000	535.6	524.0	1
202	922000	535.7	524.0	1
203	926000	535.6	523.8	1
204	930000	535.6	523.6	1
205	934000	535.5	523.3	1
206	938000	534.8	523.3	1
207	942000	534.6	522.6	1
208	946000	534.5	521.3	1
209	950000	534.5	520.9	1
210	954000	534.8	520.6	1
211	958000	534.9	520.2	1
212	962000	534.8	518.9	1
213	967000	534.8	518.4	1
214	971000	534.8	518.2	1
215	975000	535.2	518.0	1
216	979000	535.3	518.2	1
217	983000	535.3	518.4	1
218	987000	535.5	518.5	1
219	991000	535.7	518.7	1
220	995000	535.7	518.9	1
221	999000	535.9	519.2	1
222	1002000	536.1	519.6	1
223	1006000	536.4	519.4	1
224	1010000	536.4	519.2	1
225	1014000	536.5	519.1	1
226	1018000	536.4	519.0	1
227	1022000	536.3	518.8	1
228	1026000	536.2	519.0	1
229	1030000	536.0	519.2	1
230	1034000	535.9	519.4	1
231	1038000	536.0	519.3	1
232	1042000	536.2	519.3	1
233	1046000	536.9	519.0	1
234	1050000	537.3	518.9	1
235	1054000	537.4	518.9	1
236	1058000	537.4	518.8	1
237	1062000	537.3	518.6	1
238	1066000	537.2	518.4	1
239	1070000	537.3	518.2	1
240	1074000	537.4	518.2	1
241	1078000	537.4	517.7	1
242	1082000	537.4	517.2	1
243	1086000	537.9	515.9	1
244	1090000	537.9	514.7	1
245	1094000	537.9	514.7	1
246	1098000	537.9	514.7	1
247	1102000	538.0	514.7	1
248	1106000	538.1	514.6	1
249	1110000	538.1	514.5	1
250	1114000	538.8	514.0	1
251	1118000	539.0	513.5	1
252	1122000	538.9	512.9	1
253	1126000	538.8	512.7	1
