Index	Time	X_coord	Y_coord	Confidence
1	2000	339.8	285.1	1
2	6000	339.4	285.0	1
3	10000	339.3	285.0	1
4	14000	339.1	284.7	1
5	18000	338.6	284.3	1
6	22000	338.5	284.3	1
7	26000	338.2	284.2	1
8	30000	338.1	283.8	1
9	34000	338.0	283.4	1
10	35000	337.9	282.8	1
11	37000	337.9	282.3	1
12	41000	337.9	282.1	1
13	45000	338.6	282.2	1
14	49000	339.8	282.5	1
15	53000	339.8	282.2	1
16	57000	340.0	282.1	1
17	68000	340.7	282.1	1
18	72000	340.5	282.1	1
19	76000	340.4	282.0	1
20	80000	340.1	281.8	1
21	84000	339.8	281.7	1
22	88000	339.6	281.7	1
23	100000	339.3	281.8	1
24	104000	338.5	281.8	1
25	108000	338.0	281.9	1
26	112000	337.5	281.8	1
27	116000	337.3	282.0	1
28	120000	337.1	282.0	1
29	124000	336.9	282.0	1
30	128000	336.8	281.9	1
31	135000	336.8	281.9	1
32	139000	336.9	281.9	1
33	143000	336.9	281.7	1
34	147000	337.1	281.4	1
35	151000	337.2	281.1	1
36	155000	337.2	281.0	1
37	159000	337.2	280.8	1
38	166000	337.9	280.6	1
39	170000	338.7	280.4	1
40	174000	338.6	279.7	1
41	178000	338.6	279.4	1
42	182000	338.7	279.2	1
43	186000	338.5	279.1	1
44	190000	338.5	279.1	1
45	194000	338.4	278.8	1
46	203000	338.4	278.5	1
47	207000	337.8	278.2	1
48	211000	337.9	278.1	1
49	215000	337.7	278.0	1
50	219000	337.5	278.3	1
51	223000	337.6	278.4	1
52	227000	337.6	278.6	1
53	231000	337.8	278.9	1
54	235000	338.0	278.7	1
55	236000	338.5	278.6	1
56	240000	344.8	279.2	1
57	244000	365.0	278.1	1
58	248000	396.9	278.0	1
59	252000	438.3	283.3	1
60	256000	571.1	296.6	1
61	268000	576.8	293.2	1
62	272000	588.2	286.4	1
63	276000	642.9	288.9	1
64	280000	680.9	289.7	1
65	284000	690.8	289.6	1
66	288000	700.7	290.1	1
67	292000	700.1	290.7	1
68	303000	699.6	290.7	1
69	307000	697.8	290.1	1
70	311000	698.4	290.0	1
71	315000	698.9	288.3	1
72	319000	698.3	287.7	1
73	323000	698.4	286.7	1
74	327000	698.2	286.4	1
75	334000	698.0	286.2	1
76	338000	698.0	286.2	1
77	342000	697.3	287.0	1
78	346000	697.0	286.3	1
79	350000	697.1	285.7	1
80	354000	697.0	283.5	1
81	358000	697.2	284.5	1
82	362000	697.3	285.4	1
83	370000	697.6	285.2	1
84	374000	697.2	284.8	1
85	378000	696.9	285.0	1
86	382000	697.0	284.8	1
87	386000	697.0	284.5	1
88	390000	697.1	283.7	1
