% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,357.4,262.0,1.0,2,1,2
5000,356.7,261.8,1.0,2,1,2
9000,356.0,261.7,1.0,2,1,2
13000,354.4,261.2,1.0,2,1,2
17000,354.7,260.8,1.0,2,1,2
21000,354.6,260.5,1.0,2,1,2
25000,354.6,260.3,1.0,2,1,2
29000,354.9,260.6,1.0,2,1,2
33000,354.9,260.9,1.0,2,1,2
37000,355.3,261.6,1.0,2,1,2
38000,355.7,262.2,1.0,2,1,2
39000,356.1,262.0,1.0,2,1,2
43000,358.4,261.4,1.0,2,2,2
47000,362.9,260.3,1.0,2,2,2
51000,373.2,255.6,1.0,2,2,2
55000,388.1,249.3,1.0,2,2,2
67000,404.3,246.3,1.0,2,2,2
71000,414.3,244.6,1.0,2,2,2
75000,413.8,244.6,1.0,2,2,2
79000,413.3,244.7,1.0,1,1,1
83000,411.1,245.1,1.0,1,1,1
87000,409.7,245.3,1.0,1,1,1
91000,408.4,246.0,1.0,1,1,1
103000,407.5,246.0,1.0,1,1,1
107000,407.2,246.2,1.0,1,1,1
111000,407.1,246.3,1.0,1,1,1
115000,407.1,246.8,1.0,1,1,1
119000,406.6,246.7,1.0,1,1,1
123000,406.7,246.7,1.0,1,1,1
127000,406.8,246.7,1.0,1,1,1
134000,407.4,246.2,1.0,1,1,1
138000,407.4,246.3,1.0,1,1,1
142000,408.0,246.3,1.0,1,1,1
146000,407.9,246.8,1.0,1,1,1
150000,408.0,247.0,1.0,1,1,1
154000,408.1,246.9,1.0,1,1,1
158000,408.2,246.7,1.0,1,1,1
162000,408.3,246.6,1.0,1,1,1
169000,408.5,246.5,1.0,1,1,1
173000,408.8,246.5,1.0,1,1,1
177000,409.1,246.5,1.0,1,1,1
181000,409.2,246.4,1.0,1,1,1
185000,409.4,246.4,1.0,1,1,1
189000,410.0,246.3,1.0,1,1,1
193000,410.1,246.4,1.0,1,1,1
202000,410.5,248.0,1.0,1,1,1
206000,410.5,248.3,1.0,1,1,1
210000,410.5,248.6,1.0,1,1,1
214000,411.1,249.1,1.0,1,1,1
218000,411.5,249.0,1.0,1,1,1
222000,412.5,248.8,1.0,1,1,1
226000,420.6,250.2,1.0,2,2,2
230000,444.5,266.0,1.0,2,2,2
234000,482.7,265.7,1.0,2,2,2
235000,531.7,276.0,1.0,2,2,2
238000,579.1,277.0,1.0,2,2,2
242000,617.0,275.0,1.0,2,2,2
246000,652.1,288.4,1.0,2,2,2
250000,676.2,311.4,1.0,2,2,2
254000,714.3,333.9,1.0,2,2,2
266000,728.5,353.0,1.0,2,2,2
270000,740.1,377.1,1.0,2,2,2
274000,744.1,384.3,1.0,2,2,2
278000,751.4,405.9,1.0,2,2,2
282000,751.0,405.5,1.0,2,2,2
286000,751.7,404.7,1.0,1,1,1
290000,752.0,402.2,1.0,1,1,1
301000,754.1,402.4,1.0,1,1,1
305000,756.4,402.5,1.0,1,1,1
309000,759.2,404.9,1.0,1,1,1
313000,759.8,405.8,1.0,1,1,1
317000,760.8,408.8,1.0,1,1,1
321000,761.6,411.8,1.0,1,1,1
325000,761.6,412.0,1.0,1,1,1
329000,761.8,412.2,1.0,1,1,1
336000,761.9,414.4,1.0,1,1,1
340000,761.8,415.4,1.0,1,1,1
344000,761.6,416.4,1.0,1,1,1
348000,761.2,416.4,1.0,1,1,1
352000,761.9,416.6,1.0,1,1,1
356000,762.5,416.3,1.0,1,1,1
360000,762.4,416.2,1.0,1,1,1
368000,762.3,416.2,1.0,1,1,1
372000,762.3,416.1,1.0,1,1,1
376000,761.9,416.5,1.0,1,1,1
380000,761.5,416.9,1.0,1,1,1
384000,761.3,416.8,1.0,1,1,1
388000,761.2,417.1,1.0,1,1,1
392000,759.9,417.8,1.0,1,1,1
396000,760.2,419.0,1.0,1,1,1
403000,760.4,419.0,1.0,1,1,1
407000,760.7,419.4,1.0,1,1,1
411000,760.7,419.5,1.0,1,1,1
415000,761.4,419.4,1.0,1,1,1
419000,761.6,420.7,1.0,1,1,1
423000,761.6,421.4,1.0,1,1,1
427000,761.5,422.1,1.0,1,1,2
431000,760.9,430.1,1.0,2,2,2
435000,764.7,460.7,1.0,2,2,2
436000,767.2,484.5,1.0,2,2,2
439000,768.3,495.4,1.0,2,2,2
443000,769.7,499.6,1.0,2,2,2
447000,770.1,499.5,1.0,2,2,2
451000,770.2,499.4,1.0,1,1,1
455000,770.0,497.8,1.0,1,1,1
469000,770.5,495.3,1.0,1,1,1
473000,770.9,495.3,1.0,1,1,1
477000,771.0,495.4,1.0,1,1,1
481000,770.9,496.1,1.0,1,1,1
485000,771.6,498.1,1.0,1,1,1
489000,772.3,501.1,1.0,1,1,1
501000,772.4,501.3,1.0,1,1,1
505000,772.4,501.4,1.0,1,1,1
509000,772.4,501.6,1.0,1,1,1
513000,772.5,501.7,1.0,1,1,1
517000,772.4,501.8,1.0,1,1,1
521000,772.6,502.2,1.0,1,1,1
525000,772.7,502.6,1.0,1,1,1
533000,773.0,503.8,1.0,1,1,1
537000,773.1,504.1,1.0,1,1,1
541000,773.1,504.5,1.0,1,1,1
545000,773.3,505.1,1.0,1,1,1
549000,773.4,505.7,1.0,1,1,1
553000,774.0,506.9,1.0,1,1,1
557000,774.4,507.4,1.0,1,1,1
561000,774.8,508.0,1.0,1,1,1
571000,775.2,508.6,1.0,1,1,1
575000,775.6,509.1,1.0,1,1,1
579000,775.5,509.1,1.0,1,1,1
583000,775.5,509.3,1.0,1,1,1
587000,775.5,509.6,1.0,1,1,1
591000,775.5,509.5,1.0,1,1,1
600000,775.5,509.5,1.0,1,1,1
604000,776.0,509.4,1.0,1,1,1
608000,776.1,509.2,1.0,1,1,1
612000,776.3,509.0,1.0,1,1,1
616000,777.2,508.1,1.0,1,1,1
620000,777.6,508.0,1.0,1,1,1
624000,777.5,507.5,1.0,1,1,1
628000,777.3,507.1,1.0,1,1,1
632000,777.3,507.1,1.0,1,1,1
633000,777.1,507.0,1.0,1,1,1
637000,776.9,507.3,1.0,1,1,1
641000,777.2,506.5,1.0,1,1,1
645000,777.5,505.8,1.0,1,1,1
649000,778.6,504.0,1.0,2,2,2
653000,776.6,494.1,1.0,2,2,2
668000,774.0,481.9,1.0,2,2,2
672000,771.9,449.1,1.0,2,2,2
