% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
4000,387.5,516.8,1.0,1,0,1
8000,387.2,517.4,1.0,1,1,1
12000,386.9,517.5,1.0,1,1,1
16000,387.0,517.6,1.0,1,1,1
20000,386.9,518.2,1.0,1,1,1
24000,387.5,518.8,1.0,1,1,1
28000,387.8,518.9,1.0,1,1,1
32000,387.8,518.6,1.0,1,1,1
36000,387.7,518.2,1.0,1,1,1
37000,387.6,518.1,1.0,1,1,1
38000,387.4,517.9,1.0,1,1,1
42000,387.2,517.7,1.0,1,1,1
46000,387.1,517.6,1.0,1,1,1
50000,387.0,517.5,1.0,1,1,1
54000,386.2,517.4,1.0,1,1,1
69000,386.5,517.3,1.0,1,1,1
73000,386.2,517.3,1.0,1,1,1
77000,386.1,517.0,1.0,1,1,1
81000,386.1,517.1,1.0,1,1,1
85000,386.0,517.3,1.0,1,1,1
102000,386.0,518.0,1.0,1,1,1
106000,386.1,517.7,1.0,1,1,1
110000,386.4,517.7,1.0,1,1,1
114000,386.5,517.9,1.0,1,1,1
118000,386.3,518.1,1.0,1,1,1
122000,386.2,517.9,1.0,1,1,1
126000,386.2,517.8,1.0,1,1,1
134000,386.4,517.8,1.0,1,1,1
138000,386.4,517.5,1.0,1,1,1
142000,387.0,517.2,1.0,1,1,1
146000,387.1,517.5,1.0,1,1,1
150000,387.1,517.7,1.0,1,1,1
154000,387.3,517.7,1.0,1,1,1
168000,387.4,517.8,1.0,1,1,1
172000,387.4,517.7,1.0,1,1,1
176000,387.5,517.6,1.0,1,1,1
180000,387.8,517.1,1.0,1,1,1
184000,387.8,516.9,1.0,1,1,1
188000,387.7,516.9,1.0,1,1,1
202000,387.6,517.2,1.0,1,1,1
206000,387.5,517.2,1.0,1,1,1
210000,387.2,517.3,1.0,1,1,1
214000,387.1,517.5,1.0,1,1,1
218000,387.1,517.6,1.0,1,1,1
222000,390.2,517.4,1.0,2,2,2
226000,393.2,517.3,1.0,2,2,2
230000,409.2,516.5,1.0,2,2,2
234000,447.6,508.2,1.0,2,2,2
238000,482.7,499.1,1.0,2,2,2
239000,521.7,497.7,1.0,2,2,2
240000,547.8,497.3,1.0,2,2,2
244000,581.5,492.1,1.0,2,2,2
248000,603.9,477.8,1.0,2,2,2
252000,608.9,476.0,1.0,2,2,2
266000,613.9,475.6,1.0,2,2,2
270000,614.0,474.5,1.0,1,1,1
274000,614.1,472.0,1.0,1,1,1
278000,615.8,472.7,1.0,1,1,1
282000,615.9,473.5,1.0,1,1,1
286000,616.1,474.2,1.0,1,1,1
303000,616.6,474.2,1.0,1,1,1
307000,617.1,474.2,1.0,1,1,1
311000,617.3,474.0,1.0,1,1,1
315000,617.4,473.7,1.0,1,1,1
319000,617.3,473.5,1.0,1,1,1
323000,617.5,473.4,1.0,1,1,1
327000,617.6,474.3,1.0,1,1,1
334000,617.6,474.2,1.0,1,1,1
338000,617.8,474.1,1.0,1,1,1
342000,618.0,473.2,1.0,1,1,1
346000,618.3,472.8,1.0,1,1,1
350000,619.1,472.9,1.0,1,1,1
354000,619.0,472.9,1.0,1,1,1
368000,619.0,473.1,1.0,1,1,1
372000,619.0,473.3,1.0,1,1,1
376000,619.0,473.3,1.0,1,1,1
380000,619.1,473.1,1.0,1,1,1
384000,619.2,473.3,1.0,1,1,1
388000,619.2,473.5,1.0,1,1,1
401000,619.2,473.5,1.0,1,1,1
405000,619.1,473.8,1.0,1,1,1
409000,619.0,473.8,1.0,1,1,1
413000,619.1,473.8,1.0,1,1,1
417000,619.1,475.3,1.0,1,1,1
421000,619.1,476.7,1.0,1,1,1
425000,619.4,476.9,1.0,1,1,1
429000,619.6,476.9,1.0,1,1,1
433000,619.9,476.6,1.0,1,1,1
437000,619.9,476.3,1.0,1,1,1
438000,619.9,476.0,1.0,1,1,1
439000,620.5,475.8,1.0,1,1,1
442000,621.2,475.9,1.0,1,1,1
446000,621.7,475.8,1.0,1,1,1
450000,621.6,475.9,1.0,1,1,1
467000,621.6,476.0,1.0,1,1,1
471000,621.4,475.8,1.0,1,1,1
475000,621.1,475.6,1.0,1,1,1
479000,621.1,475.7,1.0,1,1,1
483000,621.2,475.7,1.0,1,1,1
487000,621.5,475.4,1.0,1,1,1
503000,623.4,475.0,1.0,1,1,1
507000,624.2,475.0,1.0,1,1,1
511000,624.6,474.9,1.0,1,1,1
515000,624.5,475.5,1.0,1,1,1
519000,624.5,475.7,1.0,1,1,1
523000,624.4,475.7,1.0,1,1,1
533000,624.6,475.7,1.0,1,1,1
537000,624.8,476.2,1.0,1,1,1
541000,624.6,476.8,1.0,1,1,1
545000,624.3,478.3,1.0,1,1,1
549000,623.4,481.9,1.0,2,2,2
553000,610.7,500.1,1.0,2,2,2
557000,591.1,519.8,1.0,2,2,2
568000,571.4,551.4,1.0,2,2,2
572000,559.4,574.9,1.0,2,2,2
576000,554.7,574.9,1.0,2,2,2
580000,554.2,574.9,1.0,2,2,2
584000,551.6,575.2,1.0,1,1,1
588000,548.9,575.5,1.0,1,1,1
592000,548.2,576.8,1.0,1,1,1
596000,547.5,578.0,1.0,1,1,1
600000,545.2,579.3,1.0,1,1,1
603000,544.6,580.6,1.0,1,1,1
607000,544.1,581.8,1.0,1,1,1
611000,544.1,582.2,1.0,1,1,1
615000,544.0,582.7,1.0,1,1,1
619000,544.0,582.7,1.0,1,1,1
623000,544.4,583.2,1.0,1,1,1
627000,544.4,583.2,1.0,1,1,1
631000,544.5,583.2,1.0,1,1,1
635000,544.5,582.6,1.0,1,1,1
639000,544.5,580.6,1.0,1,1,1
643000,544.4,579.5,1.0,1,1,1
647000,543.3,578.5,1.0,1,1,1
651000,543.1,577.6,1.0,1,1,1
655000,542.0,577.1,1.0,1,1,1
659000,541.7,576.6,1.0,1,1,1
663000,541.5,576.5,1.0,1,1,1
668000,541.4,576.3,1.0,1,1,1
672000,540.5,575.3,1.0,1,1,1
676000,540.1,574.8,1.0,1,1,1
680000,539.7,574.3,1.0,1,1,1
684000,539.5,573.2,1.0,1,1,1
688000,539.3,572.1,1.0,1,1,1
692000,538.4,571.9,1.0,1,1,1
696000,537.2,571.7,1.0,1,1,1
700000,537.6,571.0,1.0,1,1,1
703000,537.7,570.7,1.0,1,1,1
707000,537.7,570.4,1.0,1,1,1
711000,537.7,570.0,1.0,1,1,1
715000,537.8,570.0,1.0,1,1,1
719000,537.5,571.3,1.0,1,1,1
723000,537.5,572.7,1.0,1,1,1
727000,537.4,573.1,1.0,1,1,1
731000,536.9,573.8,1.0,1,1,1
736000,536.4,574.7,1.0,1,1,1
740000,534.8,574.9,1.0,1,1,1
744000,534.6,575.2,1.0,1,1,1
748000,533.9,575.3,1.0,1,1,1
752000,533.8,575.4,1.0,1,1,1
756000,533.7,575.3,1.0,1,1,1
760000,533.6,575.2,1.0,1,1,1
764000,533.5,575.0,1.0,1,1,1
768000,532.7,574.8,1.0,1,1,1
771000,532.1,573.8,1.0,1,1,1
775000,521.8,573.3,1.0,2,2,2
779000,496.0,581.2,1.0,2,2,2
783000,447.1,588.9,1.0,2,2,2
787000,403.2,589.5,1.0,2,2,2
791000,350.9,587.9,1.0,2,2,2
795000,299.9,588.4,1.0,2,2,2
799000,251.8,588.4,1.0,2,2,2
803000,197.5,587.9,1.0,2,2,2
807000,170.1,587.4,1.0,2,2,2
811000,142.5,586.7,1.0,2,2,2
815000,112.8,586.7,1.0,2,2,2
819000,93.4,586.2,1.0,2,2,2
823000,94.1,585.9,1.0,2,2,2
827000,94.8,585.9,1.0,1,1,1
831000,94.8,586.0,1.0,1,1,1
835000,94.6,586.0,1.0,1,1,1
839000,94.4,586.9,1.0,1,1,1
843000,94.0,587.5,1.0,1,1,1
847000,93.7,587.5,1.0,1,1,1
851000,93.3,587.4,1.0,1,1,1
855000,92.9,587.3,1.0,1,1,1
859000,92.8,587.2,1.0,1,1,1
863000,92.7,587.2,1.0,1,1,1
867000,92.1,587.1,1.0,1,1,1
871000,91.5,586.8,1.0,1,1,1
875000,90.3,586.4,1.0,1,1,1
879000,89.1,585.8,1.0,1,1,1
883000,88.5,585.2,1.0,1,1,1
887000,88.5,584.6,1.0,1,1,1
891000,88.6,583.9,1.0,1,1,1
895000,88.6,583.6,1.0,1,1,1
899000,88.7,583.2,1.0,1,1,1
903000,88.7,583.2,1.0,1,1,1
907000,88.9,582.9,1.0,1,1,1
911000,89.1,582.9,1.0,1,1,1
915000,89.2,583.0,1.0,1,1,1
919000,89.5,583.3,1.0,1,1,1
923000,89.7,583.6,1.0,1,1,1
927000,89.8,583.9,1.0,1,1,1
931000,89.7,584.2,1.0,1,1,1
935000,89.9,584.6,1.0,1,1,1
