% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,310.4,274.7,1.0,1,0,1
4000,310.5,274.5,1.0,1,1,1
8000,310.5,274.4,1.0,1,1,1
12000,310.4,274.3,1.0,1,1,1
16000,310.4,274.3,1.0,1,1,1
20000,310.6,274.5,1.0,1,1,1
24000,310.7,274.5,1.0,1,1,1
28000,310.4,274.3,1.0,1,1,1
32000,310.1,273.9,1.0,1,1,1
36000,309.8,273.5,1.0,1,1,1
40000,309.6,273.6,1.0,1,1,1
41000,308.9,272.8,1.0,1,1,1
42000,308.2,272.0,1.0,1,1,1
44000,308.3,272.5,1.0,1,1,1
48000,308.5,273.0,1.0,1,1,1
52000,309.1,273.1,1.0,1,1,1
67000,310.2,273.3,1.0,1,1,1
71000,310.3,273.3,1.0,1,1,1
75000,310.4,273.2,1.0,1,1,1
79000,310.4,273.0,1.0,1,1,1
83000,310.7,272.0,1.0,1,1,1
100000,310.9,272.0,1.0,1,1,1
104000,310.9,272.0,1.0,1,1,1
108000,310.9,271.7,1.0,1,1,1
112000,311.0,271.4,1.0,1,1,1
116000,311.0,270.9,1.0,1,1,1
120000,311.0,270.8,1.0,1,1,1
124000,311.4,270.8,1.0,1,1,1
128000,311.5,270.3,1.0,1,1,1
136000,311.6,269.7,1.0,1,1,1
140000,311.7,270.0,1.0,1,1,1
144000,311.7,270.2,1.0,1,1,1
148000,311.7,270.3,1.0,1,1,1
152000,311.7,270.4,1.0,1,1,1
166000,311.7,270.8,1.0,1,1,1
170000,311.8,270.9,1.0,1,1,1
174000,311.8,271.0,1.0,1,1,1
178000,311.7,271.0,1.0,1,1,1
182000,311.7,271.0,1.0,1,1,1
186000,311.7,271.3,1.0,1,1,1
190000,311.9,271.8,1.0,1,1,1
204000,312.0,272.0,1.0,1,1,1
208000,312.3,272.3,1.0,1,1,2
212000,317.7,281.2,1.0,2,2,2
216000,333.6,304.6,1.0,2,2,2
220000,363.1,344.7,1.0,2,2,2
224000,400.2,391.0,1.0,2,2,2
228000,435.3,415.4,1.0,2,2,2
232000,464.1,443.5,1.0,2,2,2
236000,496.7,463.7,1.0,2,2,2
240000,525.4,489.4,1.0,2,2,2
241000,551.1,502.2,1.0,2,2,2
242000,574.9,521.1,1.0,2,2,2
245000,589.2,543.6,1.0,2,2,2
249000,595.4,554.2,1.0,2,2,2
253000,600.0,555.9,1.0,2,2,2
268000,602.3,556.5,1.0,2,2,2
272000,604.6,557.1,1.0,1,1,1
276000,606.0,558.5,1.0,1,1,1
280000,607.4,560.0,1.0,1,1,1
284000,607.8,561.4,1.0,1,1,1
301000,607.1,563.0,1.0,1,1,1
305000,606.5,564.9,1.0,1,1,1
309000,605.8,565.7,1.0,1,1,1
313000,605.1,566.5,1.0,1,1,1
317000,604.8,567.1,1.0,1,1,1
321000,604.6,567.3,1.0,1,1,1
325000,604.0,567.2,1.0,1,1,1
333000,603.6,567.4,1.0,1,1,1
337000,603.3,567.7,1.0,1,1,1
341000,601.2,568.1,1.0,1,1,1
345000,600.9,568.4,1.0,1,1,1
349000,600.5,568.4,1.0,1,1,1
353000,600.2,568.5,1.0,1,1,1
357000,600.2,568.5,1.0,1,1,1
370000,600.1,568.6,1.0,1,1,1
374000,599.4,568.7,1.0,1,1,1
378000,598.7,568.7,1.0,1,1,1
382000,598.4,568.8,1.0,1,1,1
386000,598.1,568.8,1.0,1,1,1
390000,598.6,568.9,1.0,1,1,1
403000,598.5,569.4,1.0,1,1,1
407000,598.6,569.9,1.0,1,1,1
411000,598.6,569.8,1.0,1,1,1
415000,598.7,570.0,1.0,1,1,1
419000,599.2,570.0,1.0,1,1,1
423000,599.8,570.0,1.0,1,1,1
427000,600.6,570.2,1.0,1,1,1
431000,606.1,569.8,1.0,2,2,2
435000,636.6,568.5,1.0,2,2,2
439000,678.9,562.3,1.0,2,2,2
440000,726.1,563.2,1.0,2,2,2
441000,765.9,564.0,1.0,2,2,2
444000,801.5,561.7,1.0,2,2,2
448000,836.0,561.9,1.0,2,2,2
452000,868.3,561.3,1.0,2,2,2
469000,898.5,560.8,1.0,2,2,2
473000,932.3,560.0,1.0,2,2,2
477000,938.4,559.9,1.0,2,2,2
481000,939.5,560.3,1.0,2,2,2
485000,939.3,559.8,1.0,1,1,1
502000,940.3,559.2,1.0,1,1,1
506000,941.3,559.1,1.0,1,1,1
510000,943.4,559.4,1.0,1,1,1
514000,944.1,559.8,1.0,1,1,1
518000,944.5,559.9,1.0,1,1,1
522000,944.6,560.0,1.0,1,1,1
526000,944.3,560.5,1.0,1,1,1
535000,944.0,560.8,1.0,1,1,1
539000,943.4,561.2,1.0,1,1,1
543000,942.6,561.6,1.0,1,1,1
547000,942.2,561.9,1.0,1,1,1
551000,941.9,562.2,1.0,1,1,1
555000,940.9,562.3,1.0,1,1,1
559000,940.7,562.5,1.0,1,1,1
568000,940.5,562.8,1.0,1,1,1
572000,939.9,563.1,1.0,1,1,1
576000,939.3,562.7,1.0,1,1,1
580000,939.3,562.3,1.0,1,1,1
584000,939.3,561.4,1.0,1,1,1
588000,939.0,561.0,1.0,1,1,1
592000,938.7,560.6,1.0,1,1,1
596000,938.1,560.8,1.0,1,1,1
600000,937.3,561.0,1.0,1,1,1
603000,937.3,561.5,1.0,1,1,1
607000,937.3,561.3,1.0,1,1,1
611000,936.7,561.2,1.0,1,1,1
615000,936.4,560.9,1.0,1,1,1
619000,936.2,561.3,1.0,1,1,1
623000,936.1,561.6,1.0,1,1,1
627000,935.6,561.5,1.0,1,1,1
631000,935.5,561.4,1.0,1,1,1
635000,935.4,561.4,1.0,1,1,1
639000,935.4,561.3,1.0,1,1,1
643000,934.9,561.2,1.0,1,1,1
647000,934.5,561.1,1.0,1,1,1
651000,934.1,560.1,1.0,1,1,1
655000,933.8,560.1,1.0,1,1,1
659000,933.7,560.1,1.0,1,1,1
663000,933.5,560.2,1.0,1,1,1
667000,933.5,560.3,1.0,1,1,1
671000,933.5,560.4,1.0,1,1,1
675000,933.2,560.2,1.0,1,1,1
679000,932.8,560.1,1.0,1,1,1
683000,932.0,560.2,1.0,1,1,1
687000,931.2,560.2,1.0,1,1,1
691000,930.6,560.2,1.0,1,1,1
695000,930.6,560.3,1.0,1,1,1
699000,930.5,560.3,1.0,1,1,1
703000,930.2,560.6,1.0,1,1,1
707000,929.8,560.9,1.0,1,1,1
711000,929.4,560.8,1.0,1,1,1
715000,929.1,560.8,1.0,1,1,1
719000,929.1,560.6,1.0,1,1,1
723000,928.8,560.5,1.0,1,1,1
727000,928.6,560.0,1.0,1,1,1
731000,928.4,559.9,1.0,1,1,1
736000,928.3,559.8,1.0,1,1,1
740000,928.0,559.7,1.0,1,1,1
744000,927.8,559.6,1.0,1,1,1
748000,927.6,559.6,1.0,1,1,1
752000,927.4,559.6,1.0,1,1,1
756000,926.9,559.7,1.0,1,1,1
760000,926.8,559.8,1.0,1,1,1
764000,926.7,559.9,1.0,1,1,1
767000,926.3,560.0,1.0,1,1,1
771000,925.9,560.1,1.0,1,1,1
775000,925.8,559.9,1.0,1,1,1
779000,926.2,560.0,1.0,1,1,1
783000,926.3,559.8,1.0,1,1,1
787000,926.4,560.4,1.0,1,1,1
791000,926.6,560.9,1.0,1,1,1
795000,926.7,560.8,1.0,1,1,1
799000,926.8,560.7,1.0,1,1,2
803000,928.0,560.2,1.0,1,1,2
807000,929.4,556.5,1.0,2,2,2
811000,936.9,546.2,1.0,2,2,2
815000,938.4,528.6,1.0,2,2,2
819000,938.5,517.7,1.0,2,2,2
823000,938.3,516.5,1.0,2,2,2
827000,937.8,516.5,1.0,1,1,1
831000,937.4,516.5,1.0,1,1,1
836000,937.3,518.3,1.0,1,1,1
840000,937.3,520.2,1.0,1,1,1
844000,937.4,520.6,1.0,1,1,1
848000,937.5,520.6,1.0,1,1,1
852000,937.5,521.0,1.0,1,1,1
856000,937.3,520.9,1.0,1,1,1
860000,937.4,521.1,1.0,1,1,1
864000,937.4,521.1,1.0,1,1,1
867000,937.3,521.4,1.0,1,1,1
871000,937.3,521.1,1.0,1,1,1
