Index	Time	X_coord	Y_coord	Confidence
1	1000	293.8	298.0	1
2	5000	293.6	298.1	1
3	9000	293.8	298.1	1
4	13000	293.8	298.2	1
5	17000	293.7	298.4	1
6	21000	293.7	298.8	1
7	25000	293.6	299.2	1
8	29000	293.6	299.5	1
9	33000	293.6	299.5	1
10	37000	293.6	299.5	1
11	38000	293.9	299.5	1
12	39000	294.3	299.2	1
13	43000	294.6	299.2	1
14	47000	294.9	299.2	1
15	51000	295.0	298.7	1
16	66000	295.1	298.6	1
17	70000	295.3	298.7	1
18	74000	295.5	298.3	1
19	78000	295.6	298.2	1
20	82000	295.8	298.1	1
21	86000	296.0	298.2	1
22	102000	296.1	298.3	1
23	106000	296.0	298.3	1
24	110000	296.1	298.6	1
25	114000	296.3	298.8	1
26	118000	296.6	299.1	1
27	122000	296.7	299.4	1
28	126000	296.5	298.9	1
29	134000	297.0	298.7	1
30	138000	297.5	298.7	1
31	142000	297.7	299.0	1
32	146000	297.9	299.3	1
33	150000	297.8	299.5	1
34	154000	297.7	299.6	1
35	168000	297.9	299.5	1
36	172000	297.9	299.5	1
37	176000	297.8	299.3	1
38	180000	297.8	299.3	1
39	184000	297.9	299.2	1
40	188000	297.8	299.1	1
41	202000	298.1	299.2	1
42	206000	298.2	299.2	1
43	210000	298.3	299.5	1
44	214000	298.5	299.8	1
45	218000	299.7	300.8	1
46	222000	300.8	300.9	1
47	226000	317.9	302.7	1
48	230000	359.8	317.1	1
49	234000	427.0	318.8	1
50	238000	491.8	335.3	1
51	239000	535.1	347.0	1
52	240000	561.5	371.2	1
53	243000	563.4	378.4	1
54	247000	563.7	380.3	1
55	251000	563.7	380.2	1
56	255000	578.8	379.7	1
57	269000	592.9	379.3	1
58	273000	597.0	381.9	1
59	277000	599.9	391.4	1
60	281000	598.7	397.8	1
61	285000	597.2	401.8	1
62	301000	593.9	406.6	1
63	305000	593.8	407.1	1
64	309000	593.7	406.4	1
65	313000	593.7	405.7	1
66	317000	593.9	406.3	1
67	321000	594.0	407.0	1
68	325000	594.2	407.6	1
69	333000	594.2	408.3	1
70	337000	594.7	409.5	1
71	341000	595.2	410.4	1
72	345000	595.2	410.8	1
73	349000	595.3	411.1	1
74	353000	595.9	411.8	1
75	357000	596.8	412.0	1
76	371000	597.6	412.2	1
77	375000	597.6	412.5	1
78	379000	597.6	412.9	1
79	383000	598.8	415.1	1
80	387000	600.9	415.7	1
81	391000	600.9	416.3	1
82	403000	600.7	416.8	1
83	407000	600.7	417.0	1
84	411000	600.6	417.2	1
85	415000	600.4	417.2	1
86	419000	600.4	417.3	1
87	423000	600.5	417.6	1
88	427000	600.6	417.8	1
89	431000	601.2	417.9	1
90	435000	601.1	418.1	1
91	436000	601.2	418.6	1
92	437000	600.9	418.8	1
93	441000	600.8	418.9	1
94	445000	599.7	419.3	1
95	449000	599.5	419.5	1
96	453000	599.7	419.6	1
97	470000	599.8	419.5	1
98	474000	599.3	419.4	1
99	478000	599.1	419.3	1
100	482000	599.2	419.4	1
101	486000	602.9	417.6	1
102	502000	606.6	415.9	1
103	506000	634.6	409.2	1
104	510000	679.9	370.2	1
105	514000	725.8	320.5	1
106	518000	755.8	304.6	1
107	522000	763.0	292.5	1
108	526000	769.1	285.2	1
109	535000	796.0	274.3	1
110	539000	813.6	255.5	1
111	543000	813.1	254.9	1
112	547000	813.3	254.9	1
113	551000	813.6	254.9	1
114	555000	814.6	255.1	1
115	568000	819.6	254.1	1
116	572000	821.4	253.7	1
117	576000	820.8	253.7	1
118	580000	820.4	255.1	1
119	584000	819.5	256.5	1
120	588000	819.0	259.2	1
121	592000	818.7	260.5	1
122	596000	818.3	261.2	1
123	601000	817.7	262.0	1
124	605000	817.5	262.6	1
125	609000	817.5	263.1	1
126	613000	817.7	263.6	1
127	617000	817.8	263.9	1
128	621000	817.8	263.7	1
129	625000	817.9	264.0	1
130	629000	818.5	264.3	1
131	633000	818.6	264.7	1
132	636000	818.6	265.1	1
133	640000	818.4	265.2	1
134	644000	818.2	265.1	1
135	648000	818.1	265.0	1
136	652000	818.0	261.5	1
137	656000	818.1	261.4	1
138	660000	818.0	261.3	1
139	664000	818.5	261.0	1
140	668000	818.4	261.2	1
141	672000	818.5	261.2	1
142	676000	818.5	261.1	1
143	680000	818.2	261.1	1
144	684000	817.8	261.1	1
145	688000	818.3	261.0	1
146	692000	818.5	260.6	1
147	696000	818.7	261.3	1
148	700000	818.3	261.0	1
149	704000	817.8	260.8	1
150	708000	817.6	261.0	1
151	712000	817.3	261.0	1
152	716000	816.4	261.1	1
153	720000	816.4	261.3	1
154	724000	816.4	261.5	1
155	728000	816.2	262.0	1
156	732000	816.4	262.7	1
157	737000	818.6	277.7	1
158	741000	819.6	290.0	1
159	745000	822.9	319.1	1
160	749000	819.5	357.5	1
161	753000	816.2	362.0	1
162	757000	814.6	361.4	1
163	761000	816.3	360.2	1
164	765000	817.1	351.9	1
165	768000	816.3	348.4	1
166	772000	816.5	352.4	1
167	776000	815.3	356.6	1
168	780000	813.9	368.6	1
169	784000	812.9	374.2	1
170	788000	812.7	373.7	1
171	792000	812.5	373.2	1
172	796000	812.6	372.7	1
173	800000	812.4	372.5	1
174	804000	812.3	372.5	1
175	808000	812.1	372.6	1
176	812000	812.0	372.7	1
177	816000	812.0	372.8	1
178	820000	811.9	374.0	1
179	824000	811.9	375.2	1
180	828000	811.9	375.7	1
181	832000	811.8	375.8	1
182	837000	811.7	375.6	1
183	841000	811.7	376.2	1
184	845000	811.7	375.8	1
185	849000	811.6	375.4	1
186	853000	811.6	374.7	1
187	857000	811.3	374.5	1
188	861000	810.9	374.3	1
189	865000	811.1	374.4	1
190	868000	811.2	374.4	1
191	872000	811.1	374.4	1
192	876000	811.1	374.6	1
193	880000	811.0	374.8	1
194	884000	810.8	374.6	1
195	888000	811.2	374.8	1
196	892000	811.5	374.6	1
197	896000	812.3	374.3	1
198	900000	812.4	373.6	1
199	904000	812.6	374.1	1
200	908000	812.7	374.5	1
201	912000	813.2	374.4	1
202	916000	813.4	374.5	1
203	920000	813.3	374.5	1
204	924000	813.3	374.4	1
205	928000	813.3	374.3	1
206	932000	813.3	374.2	1
207	936000	813.3	374.2	1
208	940000	813.0	374.2	1
209	944000	812.8	373.9	1
210	948000	812.8	374.2	1
211	952000	812.8	374.1	1
212	956000	812.7	374.2	1
213	960000	812.7	374.2	1
214	964000	812.8	374.3	1
215	968000	812.5	374.5	1
216	972000	812.6	374.6	1
217	976000	812.6	374.6	1
218	980000	812.2	374.8	1
219	984000	813.2	374.7	1
220	988000	814.2	374.6	1
221	992000	817.2	382.1	1
222	996000	836.0	399.0	1
223	1000000	874.5	446.8	1
224	1004000	915.6	490.4	1
225	1008000	927.5	533.1	1
226	1012000	933.8	529.2	1
227	1016000	935.9	526.2	1
228	1020000	967.0	522.5	1
229	1024000	1002.8	517.4	1
230	1028000	1004.0	524.7	1
231	1032000	1001.9	529.8	1
232	1036000	1001.3	535.5	1
233	1040000	1001.3	540.9	1
