% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,293.8,298.0,1.0,1,0,1
5000,293.6,298.1,1.0,1,1,1
9000,293.8,298.1,1.0,1,1,1
13000,293.8,298.2,1.0,1,1,1
17000,293.7,298.4,1.0,1,1,1
21000,293.7,298.8,1.0,1,1,1
25000,293.6,299.2,1.0,1,1,1
29000,293.6,299.5,1.0,1,1,1
33000,293.6,299.5,1.0,1,1,1
37000,293.6,299.5,1.0,1,1,1
38000,293.9,299.5,1.0,1,1,1
39000,294.3,299.2,1.0,1,1,1
43000,294.6,299.2,1.0,1,1,1
47000,294.9,299.2,1.0,1,1,1
51000,295.0,298.7,1.0,1,1,1
66000,295.1,298.6,1.0,1,1,1
70000,295.3,298.7,1.0,1,1,1
74000,295.5,298.3,1.0,1,1,1
78000,295.6,298.2,1.0,1,1,1
82000,295.8,298.1,1.0,1,1,1
86000,296.0,298.2,1.0,1,1,1
102000,296.1,298.3,1.0,1,1,1
106000,296.0,298.3,1.0,1,1,1
110000,296.1,298.6,1.0,1,1,1
114000,296.3,298.8,1.0,1,1,1
118000,296.6,299.1,1.0,1,1,1
122000,296.7,299.4,1.0,1,1,1
126000,296.5,298.9,1.0,1,1,1
134000,297.0,298.7,1.0,1,1,1
138000,297.5,298.7,1.0,1,1,1
142000,297.7,299.0,1.0,1,1,1
146000,297.9,299.3,1.0,1,1,1
150000,297.8,299.5,1.0,1,1,1
154000,297.7,299.6,1.0,1,1,1
168000,297.9,299.5,1.0,1,1,1
172000,297.9,299.5,1.0,1,1,1
176000,297.8,299.3,1.0,1,1,1
180000,297.8,299.3,1.0,1,1,1
184000,297.9,299.2,1.0,1,1,1
188000,297.8,299.1,1.0,1,1,1
202000,298.1,299.2,1.0,1,1,1
206000,298.2,299.2,1.0,1,1,1
210000,298.3,299.5,1.0,1,1,1
214000,298.5,299.8,1.0,1,1,1
218000,299.7,300.8,1.0,1,1,1
222000,300.8,300.9,1.0,1,1,1
226000,317.9,302.7,1.0,2,2,2
230000,359.8,317.1,1.0,2,2,2
234000,427.0,318.8,1.0,2,2,2
238000,491.8,335.3,1.0,2,2,2
239000,535.1,347.0,1.0,2,2,2
240000,561.5,371.2,1.0,2,2,2
243000,563.4,378.4,1.0,2,2,2
247000,563.7,380.3,1.0,2,2,2
251000,563.7,380.2,1.0,2,2,2
255000,578.8,379.7,1.0,2,2,2
269000,592.9,379.3,1.0,2,2,2
273000,597.0,381.9,1.0,2,2,2
277000,599.9,391.4,1.0,2,2,2
281000,598.7,397.8,1.0,2,2,2
285000,597.2,401.8,1.0,2,2,2
301000,593.9,406.6,1.0,2,2,2
305000,593.8,407.1,1.0,1,1,1
309000,593.7,406.4,1.0,1,1,1
313000,593.7,405.7,1.0,1,1,1
317000,593.9,406.3,1.0,1,1,1
321000,594.0,407.0,1.0,1,1,1
325000,594.2,407.6,1.0,1,1,1
333000,594.2,408.3,1.0,1,1,1
337000,594.7,409.5,1.0,1,1,1
341000,595.2,410.4,1.0,1,1,1
345000,595.2,410.8,1.0,1,1,1
349000,595.3,411.1,1.0,1,1,1
353000,595.9,411.8,1.0,1,1,1
357000,596.8,412.0,1.0,1,1,1
371000,597.6,412.2,1.0,1,1,1
375000,597.6,412.5,1.0,1,1,1
379000,597.6,412.9,1.0,1,1,1
383000,598.8,415.1,1.0,1,1,1
387000,600.9,415.7,1.0,1,1,1
391000,600.9,416.3,1.0,1,1,1
403000,600.7,416.8,1.0,1,1,1
407000,600.7,417.0,1.0,1,1,1
411000,600.6,417.2,1.0,1,1,1
415000,600.4,417.2,1.0,1,1,1
419000,600.4,417.3,1.0,1,1,1
423000,600.5,417.6,1.0,1,1,1
427000,600.6,417.8,1.0,1,1,1
431000,601.2,417.9,1.0,1,1,1
435000,601.1,418.1,1.0,1,1,1
436000,601.2,418.6,1.0,1,1,1
437000,600.9,418.8,1.0,1,1,1
441000,600.8,418.9,1.0,1,1,1
445000,599.7,419.3,1.0,1,1,1
449000,599.5,419.5,1.0,1,1,1
453000,599.7,419.6,1.0,1,1,1
470000,599.8,419.5,1.0,1,1,1
474000,599.3,419.4,1.0,1,1,1
478000,599.1,419.3,1.0,1,1,1
482000,599.2,419.4,1.0,1,1,1
486000,602.9,417.6,1.0,1,1,1
502000,606.6,415.9,1.0,1,1,1
506000,634.6,409.2,1.0,2,2,2
510000,679.9,370.2,1.0,2,2,2
514000,725.8,320.5,1.0,2,2,2
518000,755.8,304.6,1.0,2,2,2
522000,763.0,292.5,1.0,2,2,2
526000,769.1,285.2,1.0,2,2,2
535000,796.0,274.3,1.0,2,2,2
539000,813.6,255.5,1.0,2,2,2
543000,813.1,254.9,1.0,2,2,2
547000,813.3,254.9,1.0,1,1,1
551000,813.6,254.9,1.0,1,1,1
555000,814.6,255.1,1.0,1,1,1
568000,819.6,254.1,1.0,1,1,1
572000,821.4,253.7,1.0,1,1,1
576000,820.8,253.7,1.0,1,1,1
580000,820.4,255.1,1.0,1,1,1
584000,819.5,256.5,1.0,1,1,1
588000,819.0,259.2,1.0,1,1,1
592000,818.7,260.5,1.0,1,1,1
596000,818.3,261.2,1.0,1,1,1
601000,817.7,262.0,1.0,1,1,1
605000,817.5,262.6,1.0,1,1,1
609000,817.5,263.1,1.0,1,1,1
613000,817.7,263.6,1.0,1,1,1
617000,817.8,263.9,1.0,1,1,1
621000,817.8,263.7,1.0,1,1,1
625000,817.9,264.0,1.0,1,1,1
629000,818.5,264.3,1.0,1,1,1
633000,818.6,264.7,1.0,1,1,1
636000,818.6,265.1,1.0,1,1,1
640000,818.4,265.2,1.0,1,1,1
644000,818.2,265.1,1.0,1,1,1
648000,818.1,265.0,1.0,1,1,1
652000,818.0,261.5,1.0,1,1,1
656000,818.1,261.4,1.0,1,1,1
660000,818.0,261.3,1.0,1,1,1
664000,818.5,261.0,1.0,1,1,1
668000,818.4,261.2,1.0,1,1,1
672000,818.5,261.2,1.0,1,1,1
676000,818.5,261.1,1.0,1,1,1
680000,818.2,261.1,1.0,1,1,1
684000,817.8,261.1,1.0,1,1,1
688000,818.3,261.0,1.0,1,1,1
692000,818.5,260.6,1.0,1,1,1
696000,818.7,261.3,1.0,1,1,1
700000,818.3,261.0,1.0,1,1,1
704000,817.8,260.8,1.0,1,1,1
708000,817.6,261.0,1.0,1,1,1
712000,817.3,261.0,1.0,1,1,1
716000,816.4,261.1,1.0,1,1,1
720000,816.4,261.3,1.0,1,1,1
724000,816.4,261.5,1.0,1,1,1
728000,816.2,262.0,1.0,1,1,1
732000,816.4,262.7,1.0,1,1,1
737000,818.6,277.7,1.0,2,2,2
741000,819.6,290.0,1.0,2,2,2
745000,822.9,319.1,1.0,2,2,2
749000,819.5,357.5,1.0,2,2,2
753000,816.2,362.0,1.0,2,2,2
757000,814.6,361.4,1.0,2,2,2
761000,816.3,360.2,1.0,2,2,2
765000,817.1,351.9,1.0,2,2,2
768000,816.3,348.4,1.0,2,2,2
772000,816.5,352.4,1.0,2,2,2
776000,815.3,356.6,1.0,2,2,2
780000,813.9,368.6,1.0,2,1,1
784000,812.9,374.2,1.0,2,1,1
788000,812.7,373.7,1.0,2,1,1
792000,812.5,373.2,1.0,2,1,1
796000,812.6,372.7,1.0,1,1,1
800000,812.4,372.5,1.0,1,1,1
804000,812.3,372.5,1.0,1,1,1
808000,812.1,372.6,1.0,1,1,1
812000,812.0,372.7,1.0,1,1,1
816000,812.0,372.8,1.0,1,1,1
820000,811.9,374.0,1.0,1,1,1
824000,811.9,375.2,1.0,1,1,1
828000,811.9,375.7,1.0,1,1,1
832000,811.8,375.8,1.0,1,1,1
837000,811.7,375.6,1.0,1,1,1
841000,811.7,376.2,1.0,1,1,1
845000,811.7,375.8,1.0,1,1,1
849000,811.6,375.4,1.0,1,1,1
853000,811.6,374.7,1.0,1,1,1
857000,811.3,374.5,1.0,1,1,1
861000,810.9,374.3,1.0,1,1,1
865000,811.1,374.4,1.0,1,1,1
868000,811.2,374.4,1.0,1,1,1
872000,811.1,374.4,1.0,1,1,1
876000,811.1,374.6,1.0,1,1,1
880000,811.0,374.8,1.0,1,1,1
884000,810.8,374.6,1.0,1,1,1
888000,811.2,374.8,1.0,1,1,1
892000,811.5,374.6,1.0,1,1,1
896000,812.3,374.3,1.0,1,1,1
900000,812.4,373.6,1.0,1,1,1
904000,812.6,374.1,1.0,1,1,1
908000,812.7,374.5,1.0,1,1,1
912000,813.2,374.4,1.0,1,1,1
916000,813.4,374.5,1.0,1,1,1
920000,813.3,374.5,1.0,1,1,1
924000,813.3,374.4,1.0,1,1,1
928000,813.3,374.3,1.0,1,1,1
932000,813.3,374.2,1.0,1,1,1
936000,813.3,374.2,1.0,1,1,1
940000,813.0,374.2,1.0,1,1,1
944000,812.8,373.9,1.0,1,1,1
948000,812.8,374.2,1.0,1,1,1
952000,812.8,374.1,1.0,1,1,1
956000,812.7,374.2,1.0,1,1,1
960000,812.7,374.2,1.0,1,1,1
964000,812.8,374.3,1.0,1,1,1
968000,812.5,374.5,1.0,1,1,1
972000,812.6,374.6,1.0,1,1,1
976000,812.6,374.6,1.0,1,1,1
980000,812.2,374.8,1.0,1,1,1
984000,813.2,374.7,1.0,1,1,1
988000,814.2,374.6,1.0,1,1,1
992000,817.2,382.1,1.0,2,2,2
996000,836.0,399.0,1.0,2,2,2
1000000,874.5,446.8,1.0,2,2,2
1004000,915.6,490.4,1.0,2,2,2
1008000,927.5,533.1,1.0,2,2,2
1012000,933.8,529.2,1.0,2,2,2
1016000,935.9,526.2,1.0,2,2,2
1020000,967.0,522.5,1.0,2,2,2
1024000,1002.8,517.4,1.0,2,2,2
1028000,1004.0,524.7,1.0,2,2,2
1032000,1001.9,529.8,1.0,2,2,2
1036000,1001.3,535.5,1.0,2,2,2
1040000,1001.3,540.9,1.0,2,2,2
1044000,1005.3,545.9,1.0,2,2,2
1048000,1008.8,547.4,1.0,2,2,2
1052000,1012.0,547.5,1.0,2,2,2
1056000,1011.8,547.9,1.0,2,2,2
1060000,1011.6,547.9,1.0,1,1,1
1064000,1010.8,548.2,1.0,1,1,1
1068000,1010.9,548.4,1.0,1,1,1
1072000,1010.8,548.7,1.0,1,1,1
1076000,1010.8,548.9,1.0,1,1,1
1080000,1010.4,549.2,1.0,1,1,1
1084000,1010.8,550.7,1.0,1,1,1
1088000,1010.9,551.9,1.0,1,1,1
1092000,1011.0,553.0,1.0,1,1,1
1096000,1011.0,555.3,1.0,1,1,1
1101000,1010.8,555.6,1.0,1,1,1
1105000,1010.6,556.0,1.0,1,1,1
1109000,1010.6,556.8,1.0,1,1,1
1113000,1010.7,557.6,1.0,1,1,1
1117000,1010.8,557.7,1.0,1,1,1
1121000,1011.3,557.6,1.0,1,1,1
1125000,1011.5,558.4,1.0,1,1,1
1129000,1011.5,558.1,1.0,1,1,1
1133000,1012.0,558.4,1.0,1,1,1
1136000,1012.4,558.1,1.0,1,1,1
1140000,1012.3,558.1,1.0,1,1,1
1144000,1012.4,557.7,1.0,1,1,1
1148000,1012.1,557.4,1.0,1,1,1
1152000,1011.8,557.8,1.0,1,1,1
