Index	Time	X_coord	Y_coord	Confidence
1	4000	365.7	273.3	1
2	8000	366.1	273.2	1
3	12000	366.0	273.0	1
4	16000	365.9	272.9	1
5	20000	365.7	272.9	1
6	24000	365.1	272.9	1
7	28000	365.2	273.2	1
8	32000	365.0	273.5	1
9	36000	364.9	273.2	1
10	40000	364.5	272.9	1
11	41000	364.2	271.8	1
12	42000	364.4	271.6	1
13	43000	364.6	271.6	1
14	47000	364.9	271.7	1
15	51000	365.0	271.7	1
16	66000	365.1	271.7	1
17	70000	364.8	271.8	1
18	74000	365.0	271.2	1
19	78000	365.0	270.6	1
20	82000	365.0	269.2	1
21	86000	364.8	269.3	1
22	103000	364.5	269.3	1
23	107000	364.1	269.6	1
24	111000	363.5	269.7	1
25	115000	363.3	270.2	1
26	119000	363.6	270.8	1
27	123000	363.5	271.2	1
28	127000	363.4	271.6	1
29	135000	363.0	271.9	1
30	139000	362.5	272.2	1
31	143000	363.0	272.2	1
32	147000	363.5	272.3	1
33	151000	364.0	272.2	1
34	155000	364.1	273.1	1
35	168000	364.3	273.9	1
36	172000	364.6	274.2	1
37	176000	364.9	274.5	1
38	180000	364.9	274.4	1
39	184000	364.9	275.2	1
40	188000	364.9	275.5	1
41	202000	364.8	275.8	1
42	206000	364.7	276.5	1
43	210000	364.7	277.2	1
44	214000	364.5	279.1	1
45	218000	364.4	279.6	1
46	222000	364.4	279.7	1
47	226000	364.4	280.4	1
48	230000	364.5	281.1	1
49	234000	373.9	291.7	1
50	238000	395.1	296.5	1
51	239000	429.4	319.1	1
52	240000	456.7	334.0	1
53	244000	484.1	343.9	1
54	248000	523.9	375.1	1
55	252000	555.4	385.1	1
56	267000	578.6	401.6	1
57	271000	594.6	417.2	1
58	275000	606.5	435.7	1
59	279000	613.9	438.7	1
60	283000	613.6	438.6	1
61	287000	613.6	438.4	1
62	302000	613.7	437.5	1
63	306000	613.8	438.5	1
64	310000	616.9	439.5	1
65	314000	620.4	441.9	1
66	318000	620.6	444.6	1
67	322000	620.6	445.1	1
68	326000	620.5	445.6	1
69	330000	619.4	446.2	1
70	337000	618.9	447.0	1
71	341000	618.1	447.8	1
72	345000	618.0	448.2	1
73	349000	617.9	448.1	1
74	353000	617.9	448.1	1
75	367000	616.4	447.7	1
76	371000	615.6	447.8	1
77	375000	614.7	448.0	1
78	379000	614.6	448.3	1
79	383000	614.7	448.6	1
80	387000	614.7	448.7	1
81	400000	615.1	448.8	1
82	404000	615.5	449.3	1
83	408000	616.4	449.7	1
84	412000	616.0	449.6	1
85	416000	615.7	449.5	1
86	420000	614.8	449.6	1
87	424000	614.7	449.6	1
88	428000	614.5	449.0	1
89	432000	614.5	449.0	1
90	436000	614.6	449.1	1
91	437000	613.8	449.2	1
92	438000	614.0	449.0	1
93	442000	614.0	449.0	1
94	446000	613.9	448.4	1
95	450000	613.9	448.3	1
96	454000	614.0	448.3	1
97	470000	614.7	448.1	1
98	474000	629.5	447.8	1
99	478000	663.3	446.2	1
100	482000	702.3	446.4	1
101	486000	748.1	445.4	1
102	503000	791.4	443.7	1
103	507000	828.0	442.2	1
104	511000	870.4	447.4	1
105	515000	908.6	445.2	1
106	519000	945.0	442.6	1
107	523000	981.1	449.8	1
108	527000	989.5	459.6	1
109	536000	992.3	458.8	1
110	540000	988.8	458.8	1
111	544000	989.2	456.1	1
112	548000	989.7	452.7	1
113	552000	993.9	451.7	1
114	556000	1001.6	451.5	1
115	568000	1001.8	452.4	1
116	572000	1001.7	452.7	1
117	576000	1001.5	453.7	1
118	580000	1000.4	455.2	1
119	584000	998.1	457.1	1
120	588000	997.4	458.3	1
121	592000	995.1	459.0	1
122	596000	994.7	459.6	1
123	600000	994.1	459.8	1
124	604000	993.7	460.0	1
125	608000	993.3	460.1	1
126	612000	993.1	460.2	1
127	616000	993.5	460.1	1
128	620000	993.2	460.6	1
129	624000	992.9	460.9	1
130	628000	992.9	461.1	1
131	632000	992.8	461.2	1
132	636000	992.3	461.4	1
