% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,629.0,278.6,1.0,1,0,1
7000,628.8,278.6,1.0,1,1,1
11000,628.6,278.5,1.0,1,1,1
15000,628.6,278.5,1.0,1,1,1
19000,628.7,278.6,1.0,1,1,1
23000,628.8,278.5,1.0,1,1,1
27000,629.2,278.4,1.0,1,1,1
31000,628.9,278.4,1.0,1,1,1
35000,628.8,277.9,1.0,1,1,1
36000,628.8,277.8,1.0,1,1,1
37000,628.8,277.9,1.0,1,1,1
41000,629.0,278.1,1.0,1,1,1
45000,629.1,278.2,1.0,1,1,1
49000,629.1,278.2,1.0,1,1,1
53000,629.0,278.2,1.0,1,1,1
68000,628.9,277.6,1.0,1,1,1
72000,628.8,277.1,1.0,1,1,1
76000,628.5,276.5,1.0,1,1,1
80000,628.4,276.2,1.0,1,1,1
84000,628.3,276.8,1.0,1,1,1
101000,628.3,276.7,1.0,1,1,1
105000,628.3,276.6,1.0,1,1,1
109000,628.2,277.1,1.0,1,1,1
113000,628.2,277.5,1.0,1,1,1
117000,628.1,277.6,1.0,1,1,1
121000,628.3,277.6,1.0,1,1,1
125000,628.3,277.8,1.0,1,1,1
129000,628.6,277.5,1.0,1,1,1
136000,628.7,277.2,1.0,1,1,1
140000,628.8,277.7,1.0,1,1,1
144000,629.0,277.4,1.0,1,1,1
148000,629.1,277.0,1.0,1,1,1
152000,628.9,277.3,1.0,1,1,1
156000,628.7,277.6,1.0,1,1,1
169000,628.8,278.4,1.0,1,1,1
173000,628.8,277.5,1.0,1,1,1
177000,628.8,277.4,1.0,1,1,1
181000,628.8,277.3,1.0,1,1,1
185000,628.8,277.5,1.0,1,1,1
189000,628.6,277.3,1.0,1,1,1
203000,630.2,281.2,1.0,1,1,1
207000,631.9,285.0,1.0,2,2,2
211000,635.5,292.9,1.0,2,2,2
215000,645.0,316.2,1.0,2,2,2
219000,660.7,342.4,1.0,2,2,2
223000,676.0,370.5,1.0,2,2,2
227000,692.5,373.4,1.0,2,2,2
231000,707.9,380.0,1.0,2,2,2
235000,712.5,388.4,1.0,2,2,2
239000,713.4,392.2,1.0,2,2,2
240000,713.8,392.9,1.0,2,2,2
241000,714.1,391.8,1.0,2,2,2
243000,717.7,391.4,1.0,2,2,2
247000,719.4,391.7,1.0,2,2,2
251000,721.1,392.1,1.0,1,1,1
255000,721.5,393.4,1.0,1,1,1
269000,721.9,396.2,1.0,1,1,1
273000,722.1,399.0,1.0,1,1,1
277000,722.2,400.8,1.0,1,1,1
281000,722.3,401.4,1.0,1,1,1
285000,721.8,402.1,1.0,1,1,1
301000,722.2,402.1,1.0,1,1,1
305000,722.1,402.0,1.0,1,1,1
309000,722.3,400.8,1.0,1,1,1
313000,721.9,398.9,1.0,1,1,1
317000,722.3,399.3,1.0,1,1,1
321000,722.3,399.7,1.0,1,1,1
325000,722.2,399.8,1.0,1,1,1
329000,721.6,399.8,1.0,1,1,1
335000,721.7,399.7,1.0,1,1,1
339000,721.7,399.7,1.0,1,1,1
343000,721.9,399.7,1.0,1,1,1
347000,722.2,400.2,1.0,1,1,1
351000,722.5,400.3,1.0,1,1,1
355000,722.5,400.3,1.0,1,1,1
370000,722.5,400.3,1.0,1,1,1
374000,722.0,399.3,1.0,1,1,1
378000,721.5,399.4,1.0,1,1,1
382000,721.2,399.6,1.0,1,1,1
386000,721.1,399.6,1.0,1,1,1
390000,721.0,399.7,1.0,1,1,1
400000,721.3,399.7,1.0,1,1,1
404000,721.5,399.5,1.0,1,1,1
408000,721.2,399.4,1.0,1,1,1
412000,721.0,399.3,1.0,1,1,1
416000,720.9,399.3,1.0,1,1,1
420000,720.9,399.7,1.0,1,1,1
424000,720.8,400.0,1.0,1,1,1
428000,721.3,400.1,1.0,1,1,1
432000,721.3,400.0,1.0,1,1,1
436000,721.7,399.7,1.0,1,1,1
437000,721.3,399.9,1.0,1,1,1
438000,721.2,399.5,1.0,1,1,1
442000,721.1,399.1,1.0,1,1,1
446000,721.0,399.5,1.0,1,1,1
450000,721.0,399.9,1.0,1,1,1
454000,722.0,400.6,1.0,1,1,1
470000,722.9,406.9,1.0,1,1,1
474000,732.8,428.1,1.0,2,2,2
478000,751.8,443.3,1.0,2,2,2
482000,778.8,460.7,1.0,2,2,2
486000,806.1,464.6,1.0,2,2,2
502000,807.8,471.8,1.0,2,2,2
506000,827.3,471.5,1.0,2,2,2
510000,850.9,476.0,1.0,2,2,2
514000,863.7,477.9,1.0,2,2,2
518000,864.5,480.9,1.0,2,2,2
522000,861.9,482.1,1.0,2,2,2
526000,861.2,483.1,1.0,2,2,2
536000,861.0,484.2,1.0,2,1,1
540000,861.1,485.3,1.0,2,1,1
544000,861.2,487.1,1.0,1,1,1
