Index	Time	X_coord	Y_coord	Confidence
1	4000	751.3	252.5	1
2	8000	751.6	253.1	1
3	12000	751.5	253.6	1
4	16000	751.7	254.0	1
5	20000	751.4	253.8	1
6	24000	751.1	254.0	1
7	28000	750.8	253.7	1
8	32000	750.6	253.4	1
9	36000	751.2	253.1	1
10	40000	751.3	253.0	1
11	41000	751.3	252.9	1
12	42000	751.9	252.9	1
13	44000	751.5	253.0	1
14	48000	751.4	253.0	1
15	52000	751.5	253.2	1
16	67000	751.3	253.4	1
17	71000	751.6	253.3	1
18	75000	751.3	253.5	1
19	79000	751.5	253.5	1
20	83000	751.7	253.9	1
21	87000	751.2	254.1	1
22	104000	750.6	254.2	1
23	108000	750.1	254.3	1
24	112000	749.5	254.4	1
25	116000	749.2	253.8	1
26	120000	748.9	253.2	1
27	124000	748.6	254.0	1
28	128000	747.9	254.2	1
29	133000	748.9	254.1	1
30	137000	749.9	254.6	1
31	141000	750.2	254.5	1
32	145000	750.2	254.4	1
33	149000	750.3	253.9	1
34	153000	749.9	253.9	1
35	157000	750.0	254.4	1
36	168000	749.5	253.6	1
37	172000	750.1	253.9	1
38	176000	749.5	254.1	1
39	180000	749.7	253.6	1
40	184000	749.7	254.9	1
41	188000	749.9	255.3	1
42	202000	749.6	255.6	1
43	206000	749.3	255.5	1
44	210000	749.7	255.3	1
45	214000	749.5	256.2	1
46	218000	750.0	256.6	1
47	222000	750.5	256.8	1
48	226000	749.8	256.9	1
49	230000	749.0	256.4	1
50	234000	749.2	256.3	1
51	238000	748.0	256.2	1
52	239000	748.1	256.2	1
53	240000	747.3	256.1	1
54	243000	746.7	258.7	1
55	247000	745.2	261.3	1
56	251000	742.3	266.6	1
57	266000	720.8	275.1	1
58	270000	697.8	301.6	1
59	274000	667.0	323.9	1
60	278000	629.8	357.7	1
61	282000	600.3	386.9	1
62	286000	573.2	401.9	1
63	303000	561.5	401.1	1
64	307000	561.1	403.2	1
65	311000	560.7	403.4	1
66	315000	560.3	403.6	1
67	319000	559.9	405.8	1
68	323000	559.1	412.3	1
69	327000	558.2	412.3	1
70	334000	555.5	412.1	1
71	338000	554.8	412.9	1
72	342000	554.6	412.5	1
73	346000	554.6	412.0	1
74	350000	554.2	412.8	1
75	354000	554.9	412.5	1
76	369000	554.7	412.1	1
77	373000	554.5	412.8	1
78	377000	554.3	413.6	1
79	381000	554.1	414.7	1
80	385000	554.5	414.9	1
81	389000	554.8	414.5	1
82	401000	554.9	414.2	1
83	405000	554.8	415.3	1
84	409000	554.9	416.4	1
85	413000	554.9	416.2	1
86	417000	555.0	416.0	1
87	421000	555.0	416.0	1
88	425000	555.1	417.4	1
89	429000	555.5	417.7	1
90	433000	555.9	417.9	1
91	437000	555.0	418.2	1
92	438000	554.2	418.5	1
93	439000	554.3	418.3	1
94	442000	554.4	418.4	1
95	446000	554.4	417.3	1
96	450000	554.5	417.5	1
97	454000	553.4	416.7	1
98	471000	556.0	417.0	1
99	475000	558.7	416.2	1
100	479000	564.9	415.7	1
101	483000	586.4	416.8	1
102	487000	620.9	418.6	1
103	503000	666.5	420.3	1
104	507000	714.8	425.6	1
105	511000	770.4	431.1	1
106	515000	820.1	437.3	1
107	519000	871.3	440.9	1
