% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,324.7,314.1,1.0,1,0,1
4000,328.1,315.0,1.0,1,1,1
8000,328.3,315.8,1.0,1,1,1
12000,330.6,316.1,1.0,1,1,1
16000,331.1,316.0,1.0,1,1,1
20000,331.4,316.1,1.0,1,1,1
24000,331.7,316.1,1.0,1,1,1
28000,331.6,314.5,1.0,1,1,1
32000,331.5,314.4,1.0,1,1,1
36000,331.5,314.4,1.0,1,1,1
40000,331.5,313.3,1.0,1,1,1
41000,331.6,312.2,1.0,1,1,1
42000,331.6,308.6,1.0,1,1,1
44000,332.1,308.3,1.0,1,1,1
48000,332.5,306.7,1.0,1,1,1
52000,332.9,305.1,1.0,1,1,1
67000,332.8,304.6,1.0,1,1,1
71000,333.0,304.6,1.0,1,1,1
75000,333.3,304.6,1.0,1,1,1
79000,333.4,304.5,1.0,1,1,1
83000,333.4,304.7,1.0,1,1,1
100000,333.7,305.0,1.0,1,1,1
104000,334.0,305.2,1.0,1,1,1
108000,334.1,305.2,1.0,1,1,1
112000,334.1,305.2,1.0,1,1,1
116000,334.4,305.8,1.0,1,1,1
120000,334.4,305.7,1.0,1,1,1
124000,334.4,306.1,1.0,1,1,1
128000,334.8,306.6,1.0,1,1,1
136000,335.2,306.3,1.0,1,1,1
140000,335.3,306.0,1.0,1,1,1
144000,335.4,306.0,1.0,1,1,1
148000,335.5,306.0,1.0,1,1,1
152000,335.7,306.5,1.0,1,1,1
167000,335.3,306.5,1.0,1,1,1
171000,335.1,306.4,1.0,1,1,1
175000,335.1,307.2,1.0,1,1,1
179000,335.0,307.2,1.0,1,1,1
183000,334.7,307.1,1.0,1,1,1
187000,334.5,308.7,1.0,1,1,1
200000,334.3,310.2,1.0,1,1,1
204000,335.1,311.2,1.0,1,1,1
208000,336.0,314.2,1.0,2,2,2
212000,337.7,319.6,1.0,2,2,2
216000,356.6,324.3,1.0,2,2,2
220000,398.6,327.5,1.0,2,2,2
224000,429.9,363.5,1.0,2,2,2
228000,477.2,384.1,1.0,2,2,2
232000,523.5,413.8,1.0,2,2,2
236000,564.4,418.9,1.0,2,2,2
237000,616.5,438.8,1.0,2,2,2
238000,647.0,449.9,1.0,2,2,2
242000,677.4,456.6,1.0,2,2,2
246000,698.6,478.3,1.0,2,2,2
250000,703.3,486.0,1.0,2,2,2
254000,705.0,489.6,1.0,2,2,2
268000,705.8,491.1,1.0,2,2,2
272000,706.1,491.5,1.0,1,1,1
276000,706.3,491.5,1.0,1,1,1
280000,706.4,491.2,1.0,1,1,1
284000,706.2,491.0,1.0,1,1,1
301000,706.6,490.5,1.0,1,1,1
305000,706.1,489.9,1.0,1,1,1
309000,705.7,489.0,1.0,1,1,1
313000,704.5,489.2,1.0,1,1,1
317000,704.2,489.2,1.0,1,1,1
321000,704.0,489.2,1.0,1,1,1
325000,704.2,489.0,1.0,1,1,1
329000,704.2,489.3,1.0,1,1,1
336000,704.6,489.6,1.0,1,1,1
340000,705.0,489.7,1.0,1,1,1
344000,705.3,489.7,1.0,1,1,1
348000,705.5,489.7,1.0,1,1,1
352000,704.7,489.5,1.0,1,1,1
356000,704.4,489.5,1.0,1,1,1
370000,704.1,489.6,1.0,1,1,1
374000,703.5,489.1,1.0,1,1,1
378000,703.3,488.6,1.0,1,1,1
382000,703.1,489.0,1.0,1,1,1
386000,701.7,489.2,1.0,1,1,1
390000,701.7,489.1,1.0,1,1,1
403000,702.0,490.0,1.0,1,1,1
407000,702.2,490.1,1.0,1,1,1
411000,702.1,489.9,1.0,1,1,1
415000,702.2,489.6,1.0,1,1,1
419000,701.7,489.4,1.0,1,1,1
423000,702.0,489.5,1.0,1,1,1
427000,701.9,489.5,1.0,1,1,1
431000,702.2,489.8,1.0,1,1,1
435000,702.5,491.9,1.0,1,1,1
436000,703.1,492.2,1.0,1,1,1
437000,704.0,492.5,1.0,1,1,1
441000,704.0,493.3,1.0,1,2,1
445000,703.5,494.1,1.0,1,2,1
449000,703.0,495.1,1.0,1,2,1
453000,702.6,496.1,1.0,1,2,1
470000,702.2,496.4,1.0,1,2,1
474000,702.0,496.2,1.0,1,2,1
478000,701.9,496.4,1.0,1,2,1
482000,702.8,496.7,1.0,1,2,1
486000,703.6,496.3,1.0,1,2,1
502000,712.1,496.1,1.0,2,2,2
506000,734.5,495.9,1.0,2,2,2
510000,769.7,495.2,1.0,2,2,2
514000,811.2,507.0,1.0,2,2,2
518000,852.7,519.2,1.0,2,2,2
522000,885.9,520.4,1.0,2,2,2
526000,923.8,520.7,1.0,2,2,2
536000,950.7,521.8,1.0,2,2,2
540000,964.5,523.9,1.0,2,2,2
544000,964.6,523.9,1.0,2,2,2
548000,964.4,523.3,1.0,1,1,1
552000,964.9,522.7,1.0,1,1,1
556000,965.5,522.7,1.0,1,1,1
560000,965.5,522.7,1.0,1,1,1
571000,965.6,523.2,1.0,1,1,1
575000,965.0,524.6,1.0,1,1,1
579000,964.4,525.8,1.0,1,1,1
583000,963.1,526.3,1.0,1,1,1
587000,962.4,526.6,1.0,1,1,1
591000,962.2,528.5,1.0,1,1,1
595000,961.9,529.2,1.0,1,1,1
599000,961.2,529.4,1.0,1,1,1
602000,960.5,529.5,1.0,1,1,1
606000,960.8,529.0,1.0,1,1,1
610000,961.0,528.6,1.0,1,1,1
614000,960.2,525.1,1.0,1,1,1
618000,959.7,526.0,1.0,1,1,1
622000,959.6,526.9,1.0,1,1,1
626000,959.4,527.6,1.0,1,1,1
630000,958.9,528.3,1.0,1,1,1
634000,958.8,530.1,1.0,1,1,1
638000,958.8,531.9,1.0,1,1,1
642000,958.7,531.6,1.0,1,1,1
646000,959.0,531.7,1.0,1,1,1
650000,959.1,531.9,1.0,1,1,1
654000,959.1,532.1,1.0,1,1,1
658000,959.0,532.4,1.0,1,1,1
662000,959.0,532.6,1.0,1,1,1
667000,959.0,532.2,1.0,1,1,1
671000,958.3,532.0,1.0,1,1,1
675000,957.9,532.0,1.0,1,1,1
