Index	Time	X_coord	Y_coord	Confidence
1	2000	402.1	254.3	1
2	6000	402.2	254.4	1
3	10000	403.0	254.1	1
4	14000	403.6	254.6	1
5	18000	404.2	255.1	1
6	22000	404.9	254.9	1
7	26000	405.7	254.8	1
8	30000	409.9	255.6	1
9	34000	420.6	259.0	1
10	38000	433.6	261.3	1
11	39000	443.7	258.9	1
12	40000	447.9	257.9	1
13	42000	448.6	257.2	1
14	46000	449.0	255.5	1
15	50000	449.5	254.8	1
16	66000	449.6	254.7	1
17	70000	449.7	254.7	1
18	74000	449.8	254.7	1
19	78000	449.8	254.7	1
20	82000	450.1	253.9	1
21	86000	450.5	253.6	1
22	103000	450.9	253.2	1
23	107000	451.5	253.4	1
24	111000	451.5	253.1	1
25	115000	451.1	252.8	1
26	119000	451.3	253.0	1
27	123000	451.5	253.0	1
28	127000	452.1	252.9	1
29	135000	452.7	253.6	1
30	139000	452.9	253.8	1
31	143000	452.9	253.9	1
32	147000	452.9	254.0	1
33	151000	453.0	254.0	1
34	155000	453.0	254.1	1
35	169000	452.9	254.2	1
36	173000	452.8	254.0	1
37	177000	451.5	254.4	1
38	181000	450.6	254.6	1
39	185000	450.2	254.9	1
40	189000	450.9	254.7	1
41	203000	451.2	254.5	1
42	207000	451.6	254.7	1
43	211000	452.4	254.9	1
44	215000	453.4	255.5	1
45	219000	458.2	268.4	1
46	223000	476.9	287.0	1
47	227000	503.5	318.8	1
48	231000	534.5	352.3	1
49	235000	564.8	364.7	1
50	236000	588.6	364.9	1
51	237000	603.5	366.4	1
52	241000	610.7	373.0	1
53	245000	613.7	376.1	1
54	249000	614.1	376.6	1
55	253000	614.2	376.5	1
56	268000	614.3	376.8	1
57	272000	614.4	377.1	1
58	276000	615.9	377.6	1
59	280000	616.8	380.0	1
60	284000	617.8	382.7	1
61	300000	621.0	385.3	1
62	304000	621.9	385.6	1
63	308000	622.3	385.9	1
64	312000	622.9	387.0	1
65	316000	623.8	388.0	1
66	320000	624.6	388.8	1
67	324000	627.4	388.5	1
68	328000	628.0	388.7	1
69	336000	628.1	389.3	1
70	340000	628.3	390.0	1
71	344000	628.5	390.3	1
72	348000	628.7	390.6	1
73	352000	629.0	391.6	1
74	356000	630.4	392.2	1
75	370000	630.2	392.5	1
76	374000	629.9	392.6	1
77	378000	629.7	392.7	1
78	382000	629.7	393.0	1
79	386000	629.7	393.3	1
80	390000	629.6	393.4	1
81	403000	629.7	393.4	1
82	407000	630.1	395.2	1
83	411000	639.1	397.4	1
84	415000	668.6	411.0	1
85	419000	704.4	423.1	1
86	423000	738.8	426.8	1
87	427000	774.3	421.5	1
88	431000	783.6	423.0	1
89	435000	802.5	421.5	1
90	436000	826.1	428.7	1
91	437000	832.8	438.9	1
92	441000	833.6	438.1	1
93	445000	832.8	437.9	1
94	449000	833.0	437.3	1
95	453000	833.3	437.4	1
96	470000	834.6	436.9	1
97	474000	836.3	437.6	1
98	478000	839.1	438.0	1
99	482000	840.0	440.4	1
100	486000	840.8	442.5	1
101	502000	841.2	442.7	1
102	506000	841.9	444.7	1
103	510000	843.0	446.2	1
104	514000	843.0	446.4	1
105	518000	843.4	446.6	1
106	522000	843.6	449.1	1
107	526000	843.4	449.0	1
108	536000	843.6	449.9	1
109	540000	843.9	449.9	1
110	544000	844.1	450.0	1
111	548000	844.4	451.3	1
112	552000	844.5	451.9	1
113	556000	844.6	452.5	1
114	560000	844.8	453.6	1
115	567000	844.7	453.7	1
116	571000	844.3	453.9	1
117	575000	843.9	454.4	1
118	579000	843.7	454.9	1
119	583000	844.2	454.9	1
120	587000	844.7	455.0	1
121	591000	844.5	455.2	1
122	595000	844.7	455.2	1
123	599000	845.0	456.5	1
124	602000	845.2	457.0	1
125	606000	845.3	457.4	1
126	610000	845.7	458.3	1
127	614000	846.2	457.7	1
128	618000	846.7	457.1	1
129	622000	846.7	457.4	1
130	626000	847.1	457.6	1
131	630000	847.2	457.9	1
132	634000	847.3	458.2	1
133	638000	847.4	458.3	1
134	642000	847.2	458.5	1
135	646000	847.3	459.8	1
136	650000	847.1	461.2	1
137	654000	844.7	463.7	1
138	658000	845.1	479.3	1
139	662000	844.4	513.9	1
140	667000	837.9	552.9	1
141	671000	830.0	568.4	1
142	675000	830.6	574.0	1
143	679000	831.2	576.7	1
144	683000	831.5	577.9	1
145	687000	834.4	576.0	1
146	691000	839.7	573.1	1
147	695000	838.7	568.8	1
148	699000	838.1	567.1	1
149	702000	837.8	566.8	1
150	706000	838.1	567.6	1
151	710000	838.1	568.6	1
