Index	Time	X_coord	Y_coord	Confidence
1	2000	253.4	367.7	1
2	6000	253.3	368.1	1
3	10000	252.7	369.0	1
4	14000	252.6	369.3	1
5	18000	252.4	369.6	1
6	22000	252.5	369.7	1
7	26000	252.3	369.8	1
8	34000	252.1	370.3	1
9	38000	251.6	370.9	1
10	42000	252.0	373.1	1
11	46000	252.2	373.5	1
12	50000	251.8	373.8	1
13	54000	252.4	374.9	1
14	58000	253.1	376.4	1
15	62000	253.2	376.5	1
16	67000	253.3	376.4	1
17	71000	253.5	376.4	1
18	75000	253.3	374.9	1
19	79000	253.3	374.8	1
20	83000	253.8	374.6	1
21	87000	254.3	374.7	1
22	91000	254.4	374.6	1
23	95000	254.4	374.5	1
24	101000	254.3	374.1	1
25	105000	254.1	374.0	1
26	109000	253.9	373.6	1
27	113000	253.6	373.4	1
28	117000	253.4	373.2	1
29	121000	253.3	373.1	1
30	125000	253.2	372.9	1
31	129000	253.2	372.8	1
32	133000	253.4	372.8	1
33	134000	253.4	372.5	1
34	138000	253.4	372.2	1
35	142000	253.7	371.9	1
36	146000	254.0	371.6	1
37	150000	254.1	371.2	1
38	154000	256.6	370.7	1
39	158000	256.5	370.5	1
40	167000	256.3	369.8	1
41	171000	256.7	369.6	1
42	175000	256.8	369.6	1
43	179000	256.9	369.6	1
44	183000	256.7	369.4	1
45	187000	256.6	369.2	1
46	191000	256.5	368.5	1
47	203000	256.5	368.2	1
48	207000	256.4	368.1	1
49	211000	256.5	367.9	1
50	215000	256.5	367.7	1
51	219000	256.8	367.4	1
52	223000	260.2	367.0	1
53	227000	279.9	363.4	1
54	234000	320.6	349.2	1
55	238000	374.0	311.9	1
56	242000	427.3	289.3	1
57	246000	465.4	251.5	1
58	250000	498.4	220.5	1
59	254000	528.1	190.3	1
60	258000	555.0	164.5	1
61	268000	575.3	151.4	1
62	272000	583.0	140.1	1
63	276000	580.8	135.4	1
64	280000	579.8	136.9	1
65	284000	581.8	137.9	1
66	288000	584.2	141.7	1
67	292000	588.9	147.9	1
68	302000	594.9	146.0	1
69	306000	597.3	144.6	1
70	310000	596.7	142.4	1
71	314000	596.4	142.0	1
72	318000	595.9	141.9	1
73	322000	594.9	142.0	1
74	326000	593.6	142.9	1
75	330000	593.3	143.2	1
76	334000	593.1	143.5	1
77	336000	591.6	144.3	1
78	340000	591.1	145.0	1
79	344000	590.6	146.1	1
80	348000	590.5	147.7	1
81	352000	590.4	147.9	1
82	356000	590.1	148.1	1
83	368000	589.9	148.4	1
84	372000	589.7	149.4	1
85	376000	589.5	150.4	1
86	380000	589.5	150.5	1
87	384000	589.3	150.5	1
88	388000	589.2	150.5	1
89	400000	589.1	150.7	1
90	404000	589.0	150.6	1
91	408000	588.8	150.6	1
92	412000	590.3	150.1	1
93	416000	591.8	149.9	1
94	420000	594.6	147.0	1
95	424000	616.2	124.4	1
96	428000	634.3	98.1	1
97	435000	630.6	84.6	1
