Index	Time	X_coord	Y_coord	Confidence
1	3000	330.7	276.1	1
2	7000	330.4	276.4	1
3	11000	329.2	276.1	1
4	15000	328.3	275.7	1
5	19000	328.3	275.6	1
6	23000	328.2	275.6	1
7	27000	327.7	275.4	1
8	34000	327.5	275.1	1
9	38000	327.9	275.1	1
10	42000	328.3	275.2	1
11	46000	328.7	275.7	1
12	50000	329.1	275.8	1
13	54000	329.2	276.2	1
14	66000	329.2	276.5	1
15	70000	330.2	277.0	1
16	74000	330.3	276.9	1
17	78000	330.6	276.9	1
18	82000	330.6	276.9	1
19	86000	330.6	276.8	1
20	90000	330.2	276.6	1
21	101000	330.6	276.6	1
22	105000	331.0	276.6	1
23	109000	331.3	276.6	1
24	113000	331.4	276.6	1
25	117000	331.5	276.7	1
26	121000	332.3	276.9	1
27	125000	332.2	276.7	1
28	129000	332.5	276.6	1
29	133000	332.9	276.3	1
30	135000	333.7	276.1	1
31	139000	333.6	276.4	1
32	143000	333.6	276.4	1
33	147000	333.6	276.5	1
34	151000	333.5	277.7	1
35	155000	333.0	277.4	1
36	166000	332.2	277.4	1
37	170000	331.6	276.8	1
38	174000	331.3	276.3	1
39	178000	331.0	276.0	1
40	182000	331.4	275.9	1
41	186000	331.8	275.9	1
42	200000	332.5	276.0	1
43	204000	334.8	276.6	1
44	208000	343.0	279.1	1
45	212000	371.6	279.8	1
46	216000	431.3	264.7	1
47	220000	495.2	237.8	1
48	224000	550.5	210.4	1
49	228000	587.8	191.9	1
50	235000	598.0	195.3	1
51	239000	601.8	197.0	1
52	243000	595.9	198.6	1
53	247000	593.2	199.0	1
54	251000	591.9	199.6	1
55	255000	593.8	205.2	1
56	259000	594.6	209.0	1
57	269000	595.5	211.2	1
58	273000	596.4	212.4	1
59	277000	596.7	213.3	1
60	281000	596.8	214.7	1
61	285000	596.7	216.1	1
62	289000	596.1	216.1	1
63	301000	595.5	216.1	1
64	305000	595.2	218.6	1
65	309000	595.2	219.2	1
66	313000	595.3	219.1	1
67	317000	595.4	218.1	1
68	321000	595.8	217.0	1
69	325000	596.2	216.0	1
70	329000	596.3	214.9	1
71	333000	596.4	214.8	1
72	335000	598.3	215.2	1
73	339000	598.6	215.2	1
74	343000	598.9	215.2	1
75	347000	599.1	215.2	1
76	351000	599.1	215.2	1
77	355000	599.1	215.0	1
78	368000	599.6	214.9	1
79	372000	600.0	215.0	1
80	376000	600.3	215.3	1
81	380000	600.3	215.6	1
82	384000	600.3	216.0	1
83	388000	600.9	216.2	1
84	400000	601.5	216.4	1
85	404000	601.4	217.7	1
86	408000	601.3	217.8	1
87	412000	601.1	217.2	1
88	416000	599.5	216.2	1
89	420000	599.4	215.1	1
90	424000	600.7	201.1	1
91	428000	603.3	169.9	1
92	436000	606.2	126.8	1
93	440000	609.2	74.9	1
94	444000	610.4	41.1	1
95	448000	610.7	32.6	1
96	452000	614.4	30.7	1
97	456000	617.9	34.5	1
98	468000	617.0	36.9	1
99	472000	615.9	42.4	1
100	476000	615.9	44.7	1
101	480000	616.1	43.2	1
102	484000	616.4	42.8	1
103	488000	616.4	42.9	1
104	492000	615.9	42.8	1
105	503000	615.5	45.3	1
106	507000	615.3	45.7	1
107	511000	615.4	46.9	1
108	515000	615.0	47.9	1
109	519000	615.3	47.8	1
110	523000	615.5	47.7	1
111	527000	615.5	47.7	1
112	531000	615.8	47.8	1
113	534000	616.1	46.8	1
114	538000	616.5	47.2	1
115	542000	616.7	47.7	1
116	546000	616.9	48.6	1
117	550000	617.3	49.2	1
118	554000	617.6	49.4	1
119	568000	617.2	49.2	1
120	572000	616.8	49.5	1
121	576000	616.4	49.3	1
122	580000	616.3	49.2	1
123	584000	616.2	49.3	1
124	588000	616.0	49.0	1
125	603000	615.8	49.9	1
126	607000	615.5	49.9	1
127	611000	615.4	49.5	1
128	615000	615.3	49.5	1
129	619000	615.3	49.5	1
130	623000	615.6	49.6	1
131	627000	615.9	49.7	1
132	635000	616.0	49.6	1
133	639000	615.9	49.5	1
134	643000	616.1	49.3	1
135	647000	616.1	49.1	1
136	651000	616.1	49.1	1
137	655000	616.4	49.0	1
138	659000	616.6	49.2	1
139	663000	616.7	49.1	1
140	667000	617.0	49.3	1
141	671000	617.3	49.3	1
142	675000	617.4	49.4	1
143	679000	617.5	49.5	1
144	683000	617.5	49.6	1
145	687000	617.5	50.0	1
146	691000	617.1	50.3	1
147	695000	616.6	50.6	1
148	700000	615.8	50.4	1
149	704000	615.9	50.7	1
150	708000	615.9	51.1	1
151	712000	616.6	51.1	1
152	716000	616.2	50.8	1
153	720000	616.0	50.9	1
154	724000	615.9	51.0	1
155	728000	615.8	51.4	1
156	732000	615.3	52.1	1
157	736000	615.4	52.2	1
158	740000	615.5	52.3	1
159	744000	615.5	52.4	1
160	748000	616.1	52.7	1
161	752000	616.6	52.9	1
162	756000	616.7	52.9	1
163	760000	616.8	53.0	1
164	764000	616.7	53.1	1
165	768000	616.7	52.9	1
166	772000	616.6	52.8	1
167	776000	616.5	52.7	1
168	780000	616.7	52.9	1
169	784000	616.7	52.9	1
170	788000	616.7	53.1	1
171	792000	616.6	53.8	1
172	796000	616.5	54.0	1
173	800000	615.7	54.2	1
174	803000	615.7	54.5	1
175	807000	615.7	54.9	1
176	811000	615.8	54.7	1
177	815000	616.0	55.2	1
178	819000	616.7	55.4	1
179	823000	617.0	55.6	1
180	827000	616.7	55.6	1
181	831000	616.7	55.7	1
182	835000	616.6	56.5	1
183	839000	616.6	57.2	1
184	843000	616.6	57.6	1
185	847000	616.8	58.0	1
186	851000	616.8	58.3	1
187	855000	616.8	58.4	1
188	859000	616.6	58.5	1
189	863000	616.5	58.8	1
190	867000	616.8	59.2	1
191	871000	617.0	59.3	1
192	875000	617.0	59.2	1
193	879000	616.9	59.0	1
194	883000	617.1	58.9	1
195	887000	616.9	58.7	1
196	891000	616.8	58.6	1
197	895000	616.9	58.6	1
198	899000	616.5	58.0	1
199	903000	617.3	57.8	1
200	907000	618.2	58.0	1
201	911000	619.0	58.2	1
202	915000	618.6	58.4	1
203	919000	618.5	58.3	1
204	923000	618.4	58.3	1
205	927000	618.4	58.4	1
206	931000	616.5	58.2	1
207	935000	614.3	63.9	1
208	939000	605.6	72.0	1
209	943000	586.1	101.0	1
210	947000	556.8	152.5	1
211	951000	530.7	195.3	1
212	955000	505.9	241.9	1
213	959000	505.1	277.0	1
214	963000	503.4	310.7	1
215	967000	505.6	336.8	1
216	971000	517.4	370.4	1
217	975000	520.0	404.2	1
218	979000	518.0	408.4	1
219	983000	516.4	409.7	1
220	987000	513.0	404.4	1
221	991000	509.0	399.1	1
222	995000	507.5	399.9	1
223	999000	508.7	401.5	1
224	1003000	509.6	405.3	1
225	1007000	510.0	409.1	1
226	1011000	510.9	410.2	1
227	1015000	511.5	415.1	1
228	1019000	513.7	416.0	1
229	1023000	513.7	416.3	1
230	1027000	513.5	417.5	1
231	1031000	513.8	419.1	1
232	1035000	514.2	419.3	1
233	1039000	514.6	419.5	1
234	1043000	514.6	421.2	1
235	1047000	514.5	423.0	1
236	1051000	515.2	423.6	1
237	1055000	515.4	423.3	1
238	1059000	515.6	423.3	1
239	1063000	515.6	423.4	1
240	1067000	516.5	423.8	1
241	1071000	516.6	424.2	1
242	1075000	516.5	424.7	1
243	1079000	516.3	424.7	1
244	1083000	516.4	425.2	1
245	1087000	516.5	425.9	1
246	1091000	517.1	425.9	1
247	1095000	517.2	426.4	1
248	1099000	517.3	426.9	1
249	1104000	517.7	427.1	1
250	1108000	518.1	427.3	1
251	1112000	518.3	428.6	1
252	1116000	518.6	428.9	1
253	1120000	519.3	427.1	1
254	1124000	520.0	425.3	1
255	1128000	520.6	421.2	1
256	1132000	523.6	411.9	1
257	1135000	532.2	393.9	1
258	1139000	533.6	393.6	1
259	1143000	541.0	395.3	1
260	1147000	539.6	396.2	1
261	1151000	538.3	397.2	1
262	1155000	536.9	398.1	1
263	1159000	536.5	399.3	1
264	1163000	536.6	400.4	1
265	1167000	536.4	400.7	1
266	1171000	536.2	400.7	1
267	1175000	536.2	400.7	1
268	1179000	536.0	400.6	1
269	1183000	535.6	401.1	1
270	1187000	534.9	401.6	1
271	1191000	535.0	401.7	1
272	1195000	535.1	401.9	1
273	1199000	535.2	401.9	1
274	1203000	535.3	401.9	1
275	1207000	536.4	402.3	1
276	1211000	536.7	402.5	1
277	1215000	536.9	402.7	1
278	1219000	537.3	402.7	1
279	1223000	537.6	402.6	1
280	1227000	537.8	402.7	1
281	1231000	538.0	402.6	1
282	1235000	538.2	403.2	1
283	1239000	538.7	403.8	1
284	1243000	538.3	403.7	1
285	1247000	538.3	403.6	1
286	1251000	538.4	403.5	1
287	1255000	538.5	403.1	1
288	1259000	538.5	403.0	1
289	1263000	539.8	403.1	1
290	1267000	540.0	403.2	1
291	1271000	540.2	403.3	1
292	1275000	540.3	403.6	1
293	1279000	540.4	403.4	1
294	1283000	541.7	403.6	1
295	1287000	542.4	403.3	1
296	1291000	542.3	403.0	1
297	1295000	542.2	403.3	1
298	1299000	542.5	403.2	1
299	1303000	542.7	403.4	1
300	1307000	543.6	403.1	1
