% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,330.7,276.1,1.0,1,0,1
7000,330.4,276.4,1.0,1,1,1
11000,329.2,276.1,1.0,1,1,1
15000,328.3,275.7,1.0,1,1,1
19000,328.3,275.6,1.0,1,1,1
23000,328.2,275.6,1.0,1,1,1
27000,327.7,275.4,1.0,1,1,1
34000,327.5,275.1,1.0,1,1,1
38000,327.9,275.1,1.0,1,1,1
42000,328.3,275.2,1.0,1,1,1
46000,328.7,275.7,1.0,1,1,1
50000,329.1,275.8,1.0,1,1,1
54000,329.2,276.2,1.0,1,1,1
66000,329.2,276.5,1.0,1,1,1
70000,330.2,277.0,1.0,1,1,1
74000,330.3,276.9,1.0,1,1,1
78000,330.6,276.9,1.0,1,1,1
82000,330.6,276.9,1.0,1,1,1
86000,330.6,276.8,1.0,1,1,1
90000,330.2,276.6,1.0,1,1,1
101000,330.6,276.6,1.0,1,1,1
105000,331.0,276.6,1.0,1,1,1
109000,331.3,276.6,1.0,1,1,1
113000,331.4,276.6,1.0,1,1,1
117000,331.5,276.7,1.0,1,1,1
121000,332.3,276.9,1.0,1,1,1
125000,332.2,276.7,1.0,1,1,1
129000,332.5,276.6,1.0,1,1,1
133000,332.9,276.3,1.0,1,1,1
135000,333.7,276.1,1.0,1,1,1
139000,333.6,276.4,1.0,1,1,1
143000,333.6,276.4,1.0,1,1,1
147000,333.6,276.5,1.0,1,1,1
151000,333.5,277.7,1.0,1,1,1
155000,333.0,277.4,1.0,1,1,1
166000,332.2,277.4,1.0,1,1,1
170000,331.6,276.8,1.0,1,1,1
174000,331.3,276.3,1.0,1,1,1
178000,331.0,276.0,1.0,1,1,1
182000,331.4,275.9,1.0,1,1,1
186000,331.8,275.9,1.0,1,1,1
200000,332.5,276.0,1.0,1,1,1
204000,334.8,276.6,1.0,2,2,2
