% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,619.1,326.5,1.0,1,0,1
5000,619.1,326.8,1.0,1,1,1
9000,619.0,326.8,1.0,1,1,1
13000,618.7,326.9,1.0,1,1,1
17000,618.9,326.8,1.0,1,1,1
21000,618.7,326.9,1.0,1,1,1
25000,618.4,326.8,1.0,1,1,1
29000,618.5,326.9,1.0,1,1,1
35000,618.6,326.7,1.0,1,1,1
39000,618.5,326.8,1.0,1,1,1
43000,618.4,326.6,1.0,1,1,1
47000,618.3,326.6,1.0,1,1,1
51000,618.2,326.6,1.0,1,1,1
55000,617.9,326.9,1.0,1,1,1
59000,617.6,326.9,1.0,1,1,1
69000,617.6,326.9,1.0,1,1,1
73000,617.5,327.3,1.0,1,1,1
77000,617.3,327.5,1.0,1,1,1
81000,617.2,327.6,1.0,1,1,1
85000,617.0,327.7,1.0,1,1,1
89000,616.8,327.7,1.0,1,1,1
100000,617.4,328.2,1.0,1,1,1
104000,617.5,328.2,1.0,1,1,1
108000,617.3,328.3,1.0,1,1,1
112000,617.3,328.5,1.0,1,1,1
116000,617.2,328.5,1.0,1,1,1
120000,617.0,328.5,1.0,1,1,1
124000,616.9,328.9,1.0,1,1,1
128000,616.9,329.0,1.0,1,1,1
132000,616.7,329.0,1.0,1,1,1
133000,616.6,329.9,1.0,1,1,1
137000,616.1,330.2,1.0,1,1,1
141000,616.3,330.7,1.0,1,1,1
145000,616.2,330.6,1.0,1,1,1
149000,616.1,330.6,1.0,1,1,1
153000,616.2,330.6,1.0,1,1,1
157000,616.1,330.6,1.0,1,1,1
169000,616.3,330.5,1.0,1,1,1
173000,616.5,330.0,1.0,1,1,1
177000,617.0,329.9,1.0,1,1,1
181000,616.5,329.6,1.0,1,1,1
185000,616.3,329.6,1.0,1,1,1
189000,616.2,329.6,1.0,1,1,1
202000,616.1,329.6,1.0,1,1,1
206000,616.1,329.7,1.0,1,1,1
210000,616.0,329.8,1.0,1,1,1
214000,616.4,329.6,1.0,1,1,1
218000,616.7,329.6,1.0,1,1,1
222000,617.5,327.5,1.0,2,2,2
226000,617.7,325.5,1.0,2,2,2
234000,632.4,320.3,1.0,2,2,2
238000,653.2,291.4,1.0,2,2,2
242000,673.4,262.4,1.0,2,2,2
246000,680.3,243.2,1.0,2,2,2
250000,680.6,220.5,1.0,2,2,2
254000,683.0,202.3,1.0,2,2,2
258000,683.9,186.2,1.0,2,2,2
268000,683.8,168.0,1.0,2,2,2
272000,684.1,158.0,1.0,2,2,2
276000,684.5,157.5,1.0,2,2,2
280000,685.2,157.6,1.0,1,2,1
284000,685.7,157.8,1.0,1,2,1
288000,686.2,163.1,1.0,1,1,1
292000,686.0,164.8,1.0,1,1,1
303000,685.9,165.2,1.0,1,1,1
307000,685.8,165.7,1.0,1,1,1
311000,684.5,165.9,1.0,1,1,1
315000,684.3,166.9,1.0,1,1,1
319000,684.2,167.3,1.0,1,1,1
323000,683.7,167.8,1.0,1,1,1
327000,683.4,168.4,1.0,1,1,1
