% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,327.0,252.3,1.0,2,2,2
7000,326.8,252.2,1.0,2,2,2
11000,326.3,252.1,1.0,2,2,2
15000,325.8,252.2,1.0,2,2,2
19000,325.2,252.5,1.0,2,2,2
23000,321.0,253.2,1.0,2,2,2
27000,307.4,256.7,1.0,2,2,2
33000,291.8,261.5,1.0,2,2,2
37000,292.9,265.4,1.0,2,2,2
41000,314.5,264.6,1.0,2,2,2
45000,312.2,266.6,1.0,2,2,2
49000,307.5,270.3,1.0,2,2,2
53000,302.2,280.3,1.0,2,2,2
57000,296.3,287.1,1.0,2,2,2
67000,296.6,296.6,1.0,2,2,2
71000,295.3,298.5,1.0,2,2,2
75000,295.0,300.2,1.0,2,2,2
79000,292.9,302.4,1.0,1,1,1
83000,290.6,303.4,1.0,1,1,1
87000,290.3,304.3,1.0,1,1,1
91000,289.1,304.4,1.0,1,1,1
102000,288.7,304.7,1.0,1,1,1
106000,288.3,305.0,1.0,1,1,1
110000,288.0,304.8,1.0,1,1,1
114000,287.6,304.7,1.0,1,1,1
118000,287.2,304.7,1.0,1,1,1
122000,286.7,304.7,1.0,1,1,1
126000,285.7,304.7,1.0,1,1,1
130000,285.5,304.6,1.0,1,1,1
134000,285.1,303.4,1.0,1,1,1
135000,285.2,303.4,1.0,1,1,1
138000,285.2,303.4,1.0,1,1,1
142000,285.2,302.5,1.0,1,1,1
146000,285.2,301.5,1.0,1,1,1
150000,285.6,301.1,1.0,1,1,1
154000,285.5,301.1,1.0,1,1,1
158000,285.7,301.0,1.0,1,1,1
169000,285.8,301.2,1.0,1,1,1
173000,285.9,301.3,1.0,1,1,1
177000,287.9,301.1,1.0,2,2,2
181000,289.9,300.9,1.0,2,2,2
185000,314.9,295.9,1.0,2,2,2
189000,362.0,277.3,1.0,2,2,2
202000,421.5,241.9,1.0,2,2,2
206000,481.3,211.7,1.0,2,2,2
210000,535.3,191.7,1.0,2,2,2
214000,583.8,172.4,1.0,2,2,2
218000,620.8,160.4,1.0,2,2,2
222000,620.4,159.2,1.0,2,2,2
226000,620.3,159.4,1.0,1,1,1
234000,618.9,159.7,1.0,1,1,1
238000,619.2,161.2,1.0,1,1,1
242000,621.6,160.9,1.0,1,1,1
246000,622.5,161.1,1.0,1,1,1
250000,622.6,161.5,1.0,1,1,1
254000,620.3,163.9,1.0,1,1,1
258000,618.3,167.9,1.0,1,1,1
267000,615.5,168.8,1.0,1,1,1
271000,614.4,169.5,1.0,1,1,1
275000,613.9,170.7,1.0,1,1,1
279000,613.4,172.1,1.0,1,1,1
283000,612.9,172.5,1.0,1,1,1
287000,612.7,172.6,1.0,1,1,1
291000,612.6,172.6,1.0,1,1,1
302000,612.9,173.9,1.0,1,1,1
306000,610.0,175.8,1.0,1,1,1
310000,609.7,176.0,1.0,1,1,1
314000,609.3,176.3,1.0,1,1,1
318000,609.2,176.9,1.0,1,1,1
322000,608.9,177.5,1.0,1,1,1
326000,608.7,178.1,1.0,1,1,1
330000,608.6,178.7,1.0,1,1,1
334000,608.5,179.1,1.0,1,1,1
336000,608.4,179.4,1.0,1,1,1
340000,608.5,179.4,1.0,1,1,1
344000,608.3,179.5,1.0,1,1,1
348000,608.0,179.7,1.0,1,1,1
352000,607.9,180.4,1.0,1,1,1
356000,607.8,181.0,1.0,1,1,1
369000,607.7,180.4,1.0,1,1,1
373000,607.6,179.6,1.0,1,1,1
377000,607.6,177.6,1.0,2,2,2
381000,610.4,163.6,1.0,2,2,2
385000,626.4,130.2,1.0,2,2,2
389000,642.7,90.6,1.0,2,2,2
401000,639.0,65.9,1.0,2,2,2
405000,638.9,67.2,1.0,2,2,2
409000,638.8,68.5,1.0,1,1,1
413000,638.7,71.5,1.0,1,1,1
417000,637.9,76.8,1.0,1,1,1
421000,636.0,76.9,1.0,1,1,1
425000,636.0,76.8,1.0,1,1,1
429000,636.2,76.5,1.0,1,1,1
436000,636.5,76.4,1.0,1,1,1
440000,636.6,76.3,1.0,1,1,1
444000,636.6,76.4,1.0,1,1,1
448000,636.8,76.5,1.0,1,1,1
452000,636.7,76.9,1.0,1,1,1
456000,636.8,76.9,1.0,1,1,1
468000,636.8,77.0,1.0,1,1,1
472000,637.0,77.1,1.0,1,1,1
476000,636.9,77.3,1.0,1,1,1
480000,636.8,77.5,1.0,1,1,1
484000,636.5,77.8,1.0,1,1,1
488000,636.7,77.5,1.0,1,1,1
492000,636.6,77.8,1.0,1,1,1
502000,636.5,78.0,1.0,1,1,1
506000,636.3,78.1,1.0,1,1,1
510000,636.1,78.2,1.0,1,1,1
514000,636.3,78.6,1.0,1,1,1
518000,636.4,79.0,1.0,1,1,1
522000,636.5,79.6,1.0,1,1,1
526000,636.3,79.8,1.0,1,1,1
530000,636.0,80.0,1.0,1,1,1
534000,635.8,80.0,1.0,1,1,1
538000,635.7,80.4,1.0,1,1,1
542000,635.3,80.5,1.0,1,1,1
546000,635.4,80.4,1.0,1,1,1
550000,635.4,80.5,1.0,1,1,1
554000,635.5,80.5,1.0,1,1,1
567000,635.6,80.4,1.0,1,1,1
571000,635.6,80.9,1.0,1,1,1
575000,635.7,81.4,1.0,1,1,1
579000,635.7,81.0,1.0,1,1,1
583000,635.4,80.9,1.0,1,1,1
587000,635.4,80.8,1.0,1,1,1
601000,635.3,80.4,1.0,1,1,1
605000,635.3,80.4,1.0,1,1,1
609000,635.3,80.2,1.0,1,1,1
613000,635.3,80.2,1.0,1,1,1
617000,635.4,80.0,1.0,1,1,1
621000,635.4,79.7,1.0,1,1,1
625000,635.0,79.5,1.0,1,1,1
629000,634.5,79.1,1.0,1,1,1
636000,634.3,78.6,1.0,1,1,1
640000,634.2,78.0,1.0,1,1,1
644000,634.2,77.5,1.0,1,1,1
648000,633.9,76.5,1.0,1,1,1
652000,634.1,76.5,1.0,1,1,1
656000,634.2,76.4,1.0,1,1,1
669000,634.4,75.6,1.0,1,1,1
673000,634.7,75.4,1.0,1,1,1
677000,635.1,75.2,1.0,1,1,1
681000,635.2,75.2,1.0,1,1,1
685000,635.3,75.2,1.0,1,1,1
689000,635.9,75.1,1.0,1,1,1
693000,636.0,75.2,1.0,1,1,1
697000,635.9,74.6,1.0,1,1,1
701000,635.9,74.5,1.0,1,1,1
705000,635.8,74.3,1.0,1,1,1
709000,635.8,74.1,1.0,1,1,1
713000,635.7,73.9,1.0,1,1,1
717000,635.3,73.8,1.0,1,1,1
721000,635.0,73.9,1.0,1,1,1
725000,635.0,74.0,1.0,1,1,1
729000,635.0,74.1,1.0,1,1,1
733000,635.1,74.6,1.0,1,1,1
737000,635.3,75.1,1.0,1,1,1
741000,635.4,75.1,1.0,1,1,1
745000,635.8,75.1,1.0,1,1,1
749000,636.3,75.2,1.0,1,1,1
753000,636.7,75.3,1.0,1,1,1
757000,637.0,75.3,1.0,1,1,1
761000,637.6,75.3,1.0,1,1,1
765000,637.9,75.5,1.0,1,1,1
770000,638.2,75.6,1.0,1,1,1
774000,638.4,75.5,1.0,1,1,1
778000,638.5,75.4,1.0,1,1,1
782000,638.8,75.5,1.0,1,1,1
786000,639.0,75.5,1.0,1,1,1
790000,639.1,75.5,1.0,1,1,1
794000,639.2,75.4,1.0,1,1,1
798000,638.8,75.6,1.0,1,1,1
801000,638.7,75.4,1.0,1,1,1
805000,638.8,75.7,1.0,1,1,1
809000,637.8,76.1,1.0,1,1,1
813000,638.0,76.0,1.0,1,1,1
817000,637.8,75.9,1.0,1,1,1
821000,637.8,76.2,1.0,1,1,1
825000,637.8,76.0,1.0,1,1,1
829000,637.7,75.7,1.0,1,1,1
