% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,463.1,238.6,1.0,1,1,1
6000,462.0,239.0,1.0,1,1,1
10000,461.0,239.5,1.0,1,1,1
14000,460.9,239.7,1.0,1,1,1
18000,460.9,239.7,1.0,1,1,1
22000,461.0,239.7,1.0,1,1,1
26000,461.5,239.2,1.0,1,1,1
30000,460.9,238.6,1.0,1,1,1
36000,460.8,238.8,1.0,1,1,1
40000,460.7,238.8,1.0,1,1,1
44000,460.0,238.8,1.0,1,1,1
48000,459.4,238.9,1.0,1,1,1
52000,446.8,237.2,1.0,2,2,2
56000,427.6,238.5,1.0,2,2,2
66000,407.3,237.2,1.0,2,2,2
70000,387.0,238.1,1.0,2,2,2
74000,376.0,240.4,1.0,2,2,2
78000,377.2,241.1,1.0,2,2,2
82000,378.4,241.9,1.0,1,1,1
86000,381.9,242.6,1.0,1,1,1
90000,381.5,242.7,1.0,1,1,1
101000,381.0,243.4,1.0,1,1,1
105000,377.7,242.9,1.0,1,1,1
109000,373.6,242.3,1.0,1,1,1
113000,372.5,244.8,1.0,1,1,1
117000,372.1,245.7,1.0,1,1,1
121000,372.0,245.2,1.0,1,1,1
125000,372.1,244.7,1.0,1,1,1
129000,372.1,244.6,1.0,1,1,1
133000,371.8,244.4,1.0,1,1,1
135000,371.8,243.8,1.0,1,1,1
139000,371.7,243.6,1.0,1,1,1
143000,372.1,243.8,1.0,1,1,1
147000,372.4,243.6,1.0,1,1,1
151000,372.3,243.4,1.0,1,1,1
155000,372.2,243.6,1.0,1,1,1
159000,372.0,243.9,1.0,1,1,1
169000,372.0,243.8,1.0,1,1,1
173000,371.9,243.9,1.0,1,1,1
177000,370.7,243.8,1.0,1,1,1
181000,371.2,244.2,1.0,1,1,1
185000,371.5,244.2,1.0,1,1,1
189000,371.6,244.5,1.0,1,1,1
203000,371.7,244.7,1.0,1,1,1
207000,371.5,244.8,1.0,1,1,1
211000,371.8,244.6,1.0,1,1,1
215000,372.1,244.8,1.0,1,1,1
219000,372.9,245.0,1.0,1,1,1
223000,373.1,245.1,1.0,1,1,1
227000,373.3,244.9,1.0,1,1,1
234000,374.0,245.1,1.0,1,1,1
238000,374.0,244.4,1.0,1,1,1
242000,373.9,243.7,1.0,1,1,1
246000,374.4,243.8,1.0,1,1,1
250000,374.8,242.5,1.0,1,1,1
254000,376.0,241.4,1.0,1,1,1
258000,390.1,240.9,1.0,2,2,2
269000,418.8,227.6,1.0,2,2,2
273000,456.2,224.8,1.0,2,2,2
277000,484.7,217.1,1.0,2,2,2
281000,521.5,192.1,1.0,2,2,2
285000,549.9,188.3,1.0,2,2,2
289000,577.2,184.4,1.0,2,2,2
300000,596.5,179.8,1.0,2,2,2
304000,596.8,172.7,1.0,2,2,2
308000,595.8,170.7,1.0,2,2,2
312000,597.7,170.9,1.0,2,2,2
316000,599.6,171.1,1.0,2,2,2
320000,604.5,170.4,1.0,2,2,2
324000,614.2,169.4,1.0,2,2,2
328000,619.8,169.4,1.0,2,2,2
332000,619.6,169.1,1.0,2,2,2
336000,619.2,169.1,1.0,1,1,1
337000,618.6,169.3,1.0,1,1,1
