% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,589.2,204.8,1.0,1,1,1
5000,589.0,205.2,1.0,1,1,1
9000,588.1,205.5,1.0,1,1,1
13000,587.8,206.6,1.0,1,1,1
17000,587.5,207.1,1.0,1,1,1
21000,586.8,207.5,1.0,1,1,1
25000,586.8,209.5,1.0,1,1,1
29000,586.8,209.5,1.0,1,1,1
35000,587.3,209.6,1.0,1,1,1
39000,587.3,209.4,1.0,1,1,1
43000,587.7,209.5,1.0,1,1,1
47000,588.0,209.3,1.0,1,1,1
51000,588.0,209.2,1.0,1,1,1
55000,588.0,208.8,1.0,1,1,1
59000,587.3,208.4,1.0,1,1,1
69000,586.6,208.2,1.0,1,1,1
73000,580.6,207.7,1.0,2,2,2
77000,557.2,204.7,1.0,2,2,2
81000,536.0,201.8,1.0,2,2,2
85000,524.7,192.0,1.0,2,2,2
89000,513.5,186.2,1.0,2,2,2
100000,513.1,184.0,1.0,2,2,2
104000,512.9,184.1,1.0,1,1,1
108000,509.0,183.8,1.0,1,1,1
112000,508.7,186.9,1.0,1,1,1
116000,508.3,186.5,1.0,1,1,1
120000,508.4,187.1,1.0,1,1,1
124000,508.2,187.6,1.0,1,1,1
128000,508.0,188.9,1.0,1,1,1
132000,508.2,188.7,1.0,1,1,1
134000,508.4,188.7,1.0,1,1,1
138000,508.9,188.8,1.0,1,1,1
142000,508.9,188.7,1.0,1,1,1
146000,508.8,189.6,1.0,1,1,1
150000,508.9,189.5,1.0,1,1,1
154000,509.0,189.4,1.0,1,1,1
158000,508.7,190.3,1.0,1,1,1
168000,508.3,189.3,1.0,1,1,1
172000,508.4,189.7,1.0,1,1,1
176000,508.5,189.6,1.0,1,1,1
180000,508.6,189.5,1.0,1,1,1
184000,508.8,189.5,1.0,1,1,1
188000,509.1,189.5,1.0,1,1,1
202000,509.7,190.1,1.0,1,1,1
206000,509.9,189.8,1.0,1,1,1
