% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,625.7,266.6,1.0,0,0,1
6000,625.6,266.5,1.0,1,1,1
10000,625.5,266.2,1.0,1,1,1
14000,625.4,265.9,1.0,1,1,1
18000,625.7,265.6,1.0,1,1,1
22000,626.1,265.5,1.0,1,1,1
26000,626.3,265.7,1.0,1,1,1
34000,626.1,265.6,1.0,1,1,1
38000,625.8,265.6,1.0,1,1,1
42000,625.7,265.8,1.0,1,1,1
46000,625.7,266.0,1.0,1,1,1
50000,625.7,266.1,1.0,1,1,1
54000,625.7,266.0,1.0,1,1,1
58000,625.7,265.8,1.0,1,1,1
68000,625.6,265.1,1.0,1,1,1
72000,625.4,264.9,1.0,1,1,1
76000,625.5,264.9,1.0,1,1,1
80000,625.5,264.9,1.0,1,1,1
84000,625.7,265.0,1.0,1,1,1
88000,625.5,265.1,1.0,1,1,1
92000,625.4,265.1,1.0,1,1,1
103000,625.5,265.1,1.0,1,1,1
107000,625.4,265.1,1.0,1,1,1
111000,625.3,265.5,1.0,1,1,1
115000,625.2,265.3,1.0,1,1,1
119000,625.4,265.2,1.0,1,1,1
123000,625.2,265.1,1.0,1,1,1
127000,625.9,264.6,1.0,1,1,1
131000,625.6,264.7,1.0,1,1,1
135000,625.3,264.4,1.0,1,1,1
136000,625.3,264.1,1.0,1,1,1
140000,625.2,264.2,1.0,1,1,1
144000,625.7,264.1,1.0,1,1,1
148000,625.9,264.1,1.0,1,1,1
152000,626.0,264.5,1.0,1,1,1
156000,626.0,264.4,1.0,1,1,1
168000,626.6,264.7,1.0,1,1,1
172000,627.1,264.9,1.0,1,1,1
176000,627.8,265.0,1.0,1,1,1
180000,627.6,265.5,1.0,1,1,1
184000,627.7,265.9,1.0,1,1,1
188000,627.7,265.9,1.0,1,1,1
200000,627.7,265.9,1.0,1,1,1
204000,627.6,265.9,1.0,1,1,1
208000,627.6,265.9,1.0,1,1,1
212000,627.6,265.8,1.0,1,1,1
216000,627.7,265.7,1.0,1,1,1
220000,627.8,264.6,1.0,1,1,1
224000,627.6,264.4,1.0,1,1,1
228000,627.9,264.2,1.0,1,1,1
235000,628.0,262.6,1.0,1,1,1
239000,628.1,256.4,1.0,2,2,2
243000,624.8,222.7,1.0,2,2,2
247000,628.5,187.7,1.0,2,2,2
251000,627.4,167.7,1.0,2,2,2
255000,625.0,148.4,1.0,2,2,2
266000,624.0,142.2,1.0,2,2,2
270000,623.3,129.7,1.0,2,2,2
274000,624.1,126.5,1.0,2,2,2
278000,625.1,116.5,1.0,2,2,2
282000,625.8,117.0,1.0,2,2,2
286000,626.1,117.6,1.0,1,1,1
290000,626.7,119.7,1.0,1,1,1
301000,626.4,118.7,1.0,1,1,1
305000,626.2,117.7,1.0,1,1,1
309000,625.5,115.8,1.0,1,1,1
313000,625.6,115.9,1.0,1,1,1
317000,625.6,116.0,1.0,1,1,1
321000,626.2,116.3,1.0,1,1,1
325000,627.0,118.2,1.0,1,1,1
329000,627.9,120.1,1.0,1,1,1
333000,628.0,119.7,1.0,1,1,1
335000,628.0,119.9,1.0,1,1,1
339000,628.0,119.8,1.0,1,1,1
343000,627.6,119.8,1.0,1,1,1
347000,627.6,119.5,1.0,1,1,1
351000,627.5,119.1,1.0,1,1,1
355000,627.5,118.6,1.0,1,1,1
368000,628.4,115.1,1.0,1,1,1
372000,628.5,105.4,1.0,2,2,2
376000,630.6,88.9,1.0,2,2,2
380000,629.7,62.7,1.0,2,2,2
384000,630.4,60.5,1.0,2,2,2
388000,628.0,60.4,1.0,2,2,2
400000,626.6,66.4,1.0,2,2,2
404000,627.5,68.5,1.0,2,2,2
408000,628.2,68.9,1.0,2,2,2
412000,629.0,66.5,1.0,1,1,1
416000,629.5,64.2,1.0,1,1,1
420000,629.0,59.6,1.0,1,1,1
424000,629.0,60.4,1.0,1,1,1
428000,629.0,61.2,1.0,1,1,1
435000,627.2,63.3,1.0,1,1,1
439000,627.5,63.7,1.0,1,1,1
443000,628.0,64.5,1.0,1,1,1
447000,628.2,64.7,1.0,1,1,1
451000,628.3,63.9,1.0,1,1,1
455000,628.3,63.8,1.0,1,1,1
467000,628.4,63.6,1.0,1,1,1
471000,628.6,62.7,1.0,1,1,1
475000,628.8,62.2,1.0,1,1,1
479000,629.1,62.2,1.0,1,1,1
483000,629.1,62.0,1.0,1,1,1
487000,629.1,61.7,1.0,1,1,1
491000,629.1,61.8,1.0,1,1,1
501000,628.7,61.9,1.0,1,1,1
505000,628.6,61.8,1.0,1,1,1
509000,628.7,61.8,1.0,1,1,1
513000,628.8,61.7,1.0,1,1,1
517000,628.8,61.5,1.0,1,1,1
521000,629.0,61.5,1.0,1,1,1
525000,629.2,61.5,1.0,1,1,1
529000,629.8,61.7,1.0,1,1,1
533000,629.9,61.9,1.0,1,1,1
536000,630.1,62.2,1.0,1,1,1
540000,630.4,62.4,1.0,1,1,1
544000,630.6,62.6,1.0,1,1,1
548000,630.6,62.6,1.0,1,1,1
552000,630.5,62.7,1.0,1,1,1
556000,630.3,62.6,1.0,1,1,1
570000,629.8,62.6,1.0,1,1,1
574000,629.3,62.9,1.0,1,1,1
578000,629.6,62.7,1.0,1,1,1
582000,629.6,62.7,1.0,1,1,1
