Index	Time	X_coord	Y_coord	Confidence
1	1000	247.0	66.2	0
2	5000	252.9	62.5	0
3	9000	258.8	58.8	0
4	13000	259.1	53.5	0
5	17000	259.3	51.0	0
6	21000	259.4	48.4	0
7	25000	256.9	53.3	0
8	29000	254.4	58.2	0
9	34000	251.9	63.0	0
10	38000	249.5	68.0	0
11	42000	249.5	68.0	0
12	46000	0.0	0.0	0
13	50000	0.0	0.0	0
14	54000	0.0	0.0	0
15	58000	0.0	0.0	0
16	69000	0.0	0.0	0
17	73000	0.0	0.0	0
18	77000	0.0	0.0	0
19	81000	0.0	0.0	0
20	85000	0.0	0.0	0
21	89000	250.3	126.8	0
22	93000	250.3	126.8	0
23	104000	251.8	115.7	0
24	108000	253.4	104.6	0
25	112000	256.6	82.5	0
26	116000	263.3	38.6	0
27	120000	268.5	1.3	0
28	124000	269.9	-26.6	0
29	128000	270.3	-30.5	0
30	132000	270.7	-34.4	0
31	133000	270.5	-34.4	0
32	137000	223.9	-31.0	0
33	141000	226.5	-8.0	0
34	145000	231.6	37.8	0
35	149000	254.4	38.9	0
36	153000	274.8	37.2	0
37	157000	273.0	39.4	0
38	168000	271.3	41.6	0
39	172000	266.1	42.4	0
40	176000	253.8	41.4	0
41	180000	247.1	40.0	0
42	184000	246.2	39.7	0
43	188000	243.4	39.8	0
44	201000	241.2	40.0	0
45	205000	238.0	49.5	0
46	209000	235.6	54.1	0
47	213000	232.7	55.1	1
48	217000	229.9	57.0	1
49	221000	228.0	57.7	1
50	225000	227.9	59.3	1
51	233000	227.9	59.6	1
52	237000	228.0	60.4	1
53	241000	227.7	62.6	1
54	245000	227.4	62.7	1
55	249000	227.3	65.9	1
56	253000	227.7	66.1	1
57	257000	228.1	66.3	1
58	267000	228.4	66.6	1
59	271000	228.6	69.1	1
60	275000	228.6	69.6	1
61	279000	228.6	70.1	1
62	283000	229.3	70.5	1
63	287000	229.9	71.4	1
64	291000	230.3	72.3	1
65	302000	230.6	73.1	1
66	306000	230.9	73.4	1
67	310000	230.6	74.4	1
68	314000	230.3	74.8	1
69	318000	230.5	75.1	1
70	322000	230.7	75.3	1
71	326000	230.9	75.6	1
72	330000	231.0	75.9	1
73	334000	231.0	76.1	1
74	336000	230.6	76.4	1
75	340000	232.0	76.9	1
76	344000	233.5	77.4	1
77	348000	236.6	76.0	1
78	352000	260.7	73.3	1
79	356000	309.1	66.4	1
80	369000	369.9	46.2	1
81	373000	448.4	31.6	1
82	377000	517.7	26.5	1
83	381000	578.6	21.7	1
84	385000	625.8	13.4	1
85	389000	639.7	13.9	1
86	401000	646.5	14.5	1
87	405000	642.0	14.6	1
88	409000	641.6	19.2	1
89	413000	641.4	21.5	1
90	417000	645.8	23.1	1
91	421000	654.7	24.9	1
92	425000	658.5	26.0	1
93	433000	656.6	27.8	1
94	437000	654.6	31.3	1
95	441000	653.5	31.3	1
96	445000	652.3	31.5	1
97	449000	652.1	32.8	1
98	453000	652.7	34.1	1
99	457000	653.1	36.8	1
100	469000	653.3	37.5	1
101	473000	653.6	37.8	1
102	477000	653.5	37.8	1
