% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,679.0,256.0,1.0,1,0,1
6000,679.6,256.4,1.0,1,1,1
10000,679.9,256.7,1.0,1,1,1
14000,680.0,257.2,1.0,1,1,1
18000,680.1,257.8,1.0,1,1,1
22000,680.1,258.1,1.0,1,1,1
26000,680.0,258.4,1.0,1,1,1
30000,680.0,259.0,1.0,1,1,1
36000,680.0,259.3,1.0,1,1,1
40000,679.4,259.3,1.0,1,1,1
44000,678.9,259.4,1.0,1,1,1
48000,678.8,259.1,1.0,1,1,1
52000,678.8,259.1,1.0,1,1,1
56000,678.7,259.1,1.0,1,1,1
66000,678.9,259.2,1.0,1,1,1
70000,678.4,259.2,1.0,1,1,1
74000,678.2,258.8,1.0,1,1,1
78000,678.0,259.4,1.0,1,1,1
82000,678.0,259.9,1.0,1,1,1
86000,677.8,260.2,1.0,1,1,1
90000,678.0,260.5,1.0,1,1,1
101000,677.7,260.9,1.0,1,1,1
105000,677.5,261.0,1.0,1,1,1
109000,677.7,260.9,1.0,1,1,1
113000,677.5,261.6,1.0,1,1,1
117000,677.5,262.3,1.0,1,1,1
121000,677.6,262.5,1.0,1,1,1
125000,677.6,262.4,1.0,1,1,1
129000,677.6,262.4,1.0,1,1,1
133000,678.8,261.8,1.0,1,1,1
135000,679.0,261.9,1.0,1,1,1
139000,678.8,261.6,1.0,1,1,1
143000,678.7,261.3,1.0,1,1,1
147000,678.7,261.1,1.0,1,1,1
151000,678.9,261.3,1.0,1,1,1
155000,678.4,260.8,1.0,1,1,1
166000,677.9,260.7,1.0,1,1,1
170000,677.7,260.6,1.0,1,1,1
174000,678.1,261.1,1.0,1,1,1
178000,678.2,260.9,1.0,1,1,1
182000,678.2,261.2,1.0,1,1,1
186000,677.8,260.8,1.0,1,1,1
190000,677.4,261.4,1.0,1,1,1
203000,677.4,262.0,1.0,1,1,1
207000,677.7,262.0,1.0,1,1,1
211000,677.7,262.6,1.0,1,1,1
215000,678.0,262.0,1.0,1,1,1
219000,678.0,261.3,1.0,1,1,1
223000,678.1,261.0,1.0,1,1,1
227000,678.2,261.1,1.0,1,1,1
235000,678.4,259.0,1.0,1,1,1
239000,677.6,256.7,1.0,2,2,2
243000,676.7,252.2,1.0,2,2,2
247000,674.9,225.4,1.0,2,2,2
251000,666.4,193.9,1.0,2,2,2
255000,658.7,161.3,1.0,2,2,2
259000,654.4,141.1,1.0,2,2,2
269000,649.3,112.7,1.0,2,2,2
273000,649.1,86.4,1.0,2,2,2
277000,645.7,72.1,1.0,2,2,2
281000,645.1,71.8,1.0,2,2,2
285000,644.6,71.5,1.0,1,2,1
289000,644.1,71.2,1.0,1,2,1
301000,644.0,70.9,1.0,1,2,1
305000,644.1,69.8,1.0,1,1,1
309000,644.1,68.7,1.0,1,1,1
313000,644.0,67.7,1.0,1,1,1
317000,643.9,67.7,1.0,1,1,1
321000,643.9,68.1,1.0,1,1,1
325000,644.0,68.5,1.0,1,1,1
329000,644.1,69.1,1.0,1,1,1
333000,644.2,69.6,1.0,1,1,1
335000,644.3,70.1,1.0,1,1,1
339000,644.6,70.6,1.0,1,1,1
343000,644.9,71.7,1.0,1,1,1
347000,645.4,72.2,1.0,1,1,1
351000,645.9,72.7,1.0,1,1,1
355000,645.5,73.0,1.0,1,1,1
368000,645.7,73.4,1.0,1,1,1
372000,645.9,74.1,1.0,1,1,1
376000,646.3,74.3,1.0,1,1,1
380000,646.8,74.4,1.0,1,1,1
384000,647.6,74.7,1.0,1,1,1
388000,647.6,74.5,1.0,1,1,1
400000,647.6,74.2,1.0,1,1,1
404000,647.9,74.0,1.0,1,1,1
408000,647.9,73.8,1.0,1,1,1
412000,647.9,73.4,1.0,1,1,1
416000,647.9,74.2,1.0,1,1,1
420000,648.0,74.5,1.0,1,1,1
424000,648.2,74.7,1.0,1,1,1
428000,648.5,74.4,1.0,1,1,1
436000,648.2,73.9,1.0,1,1,1
440000,648.0,71.1,1.0,2,1,2
444000,644.9,58.4,1.0,2,1,2
448000,645.2,45.0,1.0,2,1,2
452000,644.8,37.9,1.0,2,1,2
456000,645.0,38.2,1.0,1,1,1
468000,645.0,38.3,1.0,1,1,1
472000,644.9,38.3,1.0,1,1,1
476000,645.1,38.5,1.0,1,1,1
480000,645.2,38.6,1.0,1,1,1
484000,645.6,38.7,1.0,1,1,1
488000,646.2,38.6,1.0,1,1,1
492000,646.3,38.4,1.0,1,1,1
503000,646.5,38.3,1.0,1,1,1
507000,646.9,38.3,1.0,1,1,1
511000,647.2,38.9,1.0,1,1,1
515000,647.7,39.4,1.0,1,1,1
519000,648.2,39.5,1.0,1,1,1
523000,648.5,39.7,1.0,1,1,1
527000,648.7,39.6,1.0,1,1,1
531000,648.4,40.2,1.0,1,1,1
535000,648.1,40.8,1.0,1,1,1
539000,648.0,40.7,1.0,1,1,1
543000,648.0,41.0,1.0,1,1,1
547000,648.3,41.3,1.0,1,1,1
551000,648.7,41.2,1.0,1,1,1
555000,648.5,41.4,1.0,1,1,1
568000,648.3,41.1,1.0,1,1,1
572000,647.6,41.2,1.0,1,1,1
576000,647.5,41.3,1.0,1,1,1
580000,647.5,41.9,1.0,1,1,1
584000,647.7,41.5,1.0,1,1,1
588000,648.0,41.5,1.0,1,1,1
603000,648.0,41.5,1.0,1,1,1
607000,647.9,41.6,1.0,1,1,1
611000,647.5,41.4,1.0,1,1,1
615000,647.8,41.6,1.0,1,1,1
619000,646.2,41.5,1.0,1,1,1
623000,646.2,41.6,1.0,1,1,1
627000,646.5,41.5,1.0,1,1,1
634000,646.7,42.2,1.0,1,1,1
638000,647.3,42.2,1.0,1,1,1
642000,647.1,42.1,1.0,1,1,1
646000,647.0,42.0,1.0,1,1,1
650000,647.0,41.9,1.0,1,1,1
654000,646.6,41.7,1.0,1,1,1
658000,646.2,41.5,1.0,1,1,1
662000,645.9,41.3,1.0,1,1,1
666000,645.5,41.5,1.0,1,1,1
671000,645.4,41.6,1.0,1,1,1
675000,645.2,42.1,1.0,1,1,1
679000,645.2,42.3,1.0,1,1,1
683000,645.3,42.7,1.0,1,1,1
687000,645.6,42.8,1.0,1,1,1
691000,645.7,43.4,1.0,1,1,1
695000,645.6,44.1,1.0,1,1,1
699000,645.8,44.1,1.0,1,1,1
703000,646.0,44.2,1.0,1,1,1
707000,645.5,43.6,1.0,1,1,1
711000,645.2,43.2,1.0,1,1,1
715000,645.2,42.8,1.0,1,1,1
719000,645.1,42.9,1.0,1,1,1
723000,644.9,43.1,1.0,1,1,1
727000,644.8,43.9,1.0,1,1,1
731000,644.8,43.5,1.0,1,1,1
736000,644.8,43.2,1.0,1,1,1
740000,644.7,43.3,1.0,1,1,1
744000,644.9,43.4,1.0,1,1,1
748000,644.7,43.4,1.0,1,1,1
752000,644.9,43.3,1.0,1,1,1
756000,645.1,43.6,1.0,1,1,1
760000,645.3,43.8,1.0,1,1,1
764000,645.6,44.4,1.0,1,1,1
768000,645.3,44.8,1.0,1,1,1
772000,645.1,46.1,1.0,1,1,1
776000,644.1,50.2,1.0,2,2,2
780000,631.9,64.4,1.0,2,2,2
784000,612.4,76.4,1.0,2,2,2
788000,586.1,107.2,1.0,2,2,2
792000,558.7,134.8,1.0,2,2,2
796000,528.4,174.8,1.0,2,2,2
800000,520.2,220.6,1.0,2,2,2
803000,518.1,259.8,1.0,2,2,2
807000,523.1,290.0,1.0,2,2,2
811000,528.1,309.2,1.0,2,2,2
815000,528.9,329.0,1.0,2,2,2
819000,531.1,334.0,1.0,2,2,2
823000,532.6,338.9,1.0,2,2,2
827000,534.1,340.8,1.0,2,2,2
831000,534.1,340.3,1.0,2,2,2
835000,534.2,341.4,1.0,1,1,1
839000,534.9,342.7,1.0,1,1,1
843000,535.1,343.2,1.0,1,1,1
847000,535.4,343.8,1.0,1,1,1
851000,537.3,346.7,1.0,1,1,1
855000,537.6,347.1,1.0,1,1,1
859000,537.9,347.0,1.0,1,1,1
863000,538.0,347.3,1.0,1,1,1
867000,538.1,347.5,1.0,1,1,1
870000,538.1,347.5,1.0,1,1,1
874000,538.7,347.9,1.0,1,1,1
878000,539.0,348.2,1.0,1,1,1
882000,539.1,348.5,1.0,1,1,1
886000,539.1,348.7,1.0,1,1,1
890000,539.1,351.0,1.0,1,1,1
894000,539.4,352.1,1.0,1,1,1
898000,539.8,353.3,1.0,1,1,1
903000,541.1,353.3,1.0,1,1,1
907000,541.2,353.0,1.0,1,1,1
911000,541.3,354.4,1.0,1,1,1
915000,541.9,355.9,1.0,1,1,1
919000,542.0,359.2,1.0,1,1,1
923000,542.0,359.4,1.0,1,1,1
927000,541.9,358.7,1.0,1,1,1
931000,542.0,359.0,1.0,1,1,1
935000,542.0,359.0,1.0,1,1,1
939000,542.1,359.0,1.0,1,1,1
943000,542.5,360.0,1.0,1,1,1
947000,542.4,360.8,1.0,1,1,1
951000,542.3,361.8,1.0,1,1,1
955000,542.7,362.7,1.0,1,1,1
959000,542.6,362.5,1.0,1,1,1
963000,542.5,362.4,1.0,1,1,1
967000,542.2,362.9,1.0,1,1,1
971000,542.1,362.5,1.0,1,1,1
975000,542.1,362.9,1.0,1,1,1
979000,542.1,362.7,1.0,1,1,1
983000,542.2,362.5,1.0,1,1,1
987000,543.0,362.3,1.0,1,1,1
991000,543.1,362.0,1.0,1,1,1
995000,543.1,360.8,1.0,1,1,1
999000,543.3,360.6,1.0,1,1,1
1003000,543.5,360.8,1.0,1,1,1
1007000,543.8,361.1,1.0,1,1,1
1011000,544.0,361.2,1.0,1,1,1
1015000,545.5,362.1,1.0,1,1,1
