% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,423.5,-112.4,1.0,0,0,4
6000,423.6,-112.4,1.0,4,4,4
10000,423.9,-111.9,1.0,4,4,4
14000,424.1,-112.1,1.0,4,4,4
18000,424.0,-112.2,1.0,4,4,4
22000,423.9,-112.5,1.0,4,4,4
26000,424.0,-112.4,1.0,4,4,4
34000,425.5,-112.6,1.0,4,4,4
38000,424.0,-111.9,1.0,4,4,4
42000,422.3,-111.2,1.0,4,4,4
46000,418.5,-111.6,1.0,4,4,4
50000,405.9,-110.0,1.0,4,4,4
54000,384.1,-107.7,1.0,4,4,4
58000,366.5,-104.7,1.0,4,4,4
68000,356.9,-102.6,1.0,4,4,4
72000,355.5,-102.8,1.0,4,4,4
76000,355.7,-103.2,1.0,4,4,4
80000,356.1,-102.8,1.0,4,4,4
84000,357.2,-102.6,1.0,4,4,4
88000,356.7,-102.6,1.0,4,4,4
92000,356.3,-102.5,1.0,4,4,4
103000,354.9,-102.4,1.0,4,4,4
107000,352.8,-102.1,1.0,4,4,4
111000,352.4,-102.2,1.0,4,4,4
115000,352.7,-102.4,1.0,4,4,4
119000,352.8,-102.8,1.0,4,4,4
123000,352.7,-103.4,1.0,4,4,4
127000,352.8,-103.2,1.0,4,4,4
131000,352.7,-103.3,1.0,4,4,4
135000,353.2,-102.9,1.0,4,4,4
136000,353.4,-103.3,1.0,4,4,4
140000,353.6,-103.7,1.0,4,4,4
144000,353.8,-104.0,1.0,4,4,4
148000,354.1,-104.1,1.0,4,4,4
152000,353.7,-104.0,1.0,4,4,4
156000,354.0,-103.7,1.0,4,4,4
168000,354.6,-103.5,1.0,4,2,4
