% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,689.2,-84.0,1.0,4,4,4
5000,689.4,-83.7,1.0,4,4,4
9000,689.7,-82.8,1.0,4,4,4
13000,689.8,-82.7,1.0,4,4,4
17000,689.7,-82.5,1.0,4,4,4
21000,689.6,-82.2,1.0,4,4,4
25000,689.4,-81.6,1.0,4,4,4
29000,689.7,-81.4,1.0,4,4,4
33000,688.9,-81.0,1.0,4,4,4
37000,688.1,-80.4,1.0,4,4,4
41000,686.3,-79.6,1.0,4,4,4
42000,686.6,-77.7,1.0,4,4,4
43000,684.5,-78.2,1.0,4,4,4
45000,680.1,-78.0,1.0,4,4,4
49000,676.8,-79.5,1.0,4,4,4
53000,674.8,-79.7,1.0,4,4,4
68000,675.9,-73.0,1.0,4,4,4
72000,660.4,-61.6,1.0,4,4,4
76000,648.3,-42.2,1.0,4,4,4
80000,635.0,35.1,1.0,4,4,4
84000,631.3,55.2,1.0,4,4,4
88000,627.6,75.5,1.0,4,4,4
103000,623.7,96.2,1.0,4,4,4
107000,619.8,117.1,1.0,4,4,4
111000,619.8,117.1,1.0,4,4,4
115000,0.0,0.0,0.0,4,4,4
119000,507.9,168.8,1.0,4,4,4
123000,508.1,168.8,1.0,4,4,4
127000,501.3,170.1,1.0,4,4,4
136000,494.5,171.4,1.0,4,4,4
140000,480.9,174.1,1.0,4,4,4
144000,453.2,179.4,1.0,4,4,4
148000,433.1,181.5,1.0,4,4,4
152000,543.4,147.1,1.0,4,4,4
156000,535.0,145.3,1.0,4,4,4
167000,523.7,161.7,1.0,4,4,4
171000,532.1,192.9,1.0,4,4,4
175000,523.2,196.9,1.0,4,4,4
179000,498.3,212.9,1.0,4,4,4
183000,464.2,227.7,1.0,4,4,4
187000,444.5,252.3,1.0,4,4,4
191000,439.2,255.9,1.0,4,4,4
203000,473.7,237.9,1.0,4,4,4
207000,507.7,220.4,1.0,4,4,4
211000,539.4,204.3,1.0,4,4,4
215000,549.0,199.3,1.0,4,4,4
219000,551.2,202.8,1.0,4,4,4
223000,550.3,206.4,1.0,4,1,4
227000,549.6,210.7,1.0,4,1,4
231000,546.2,215.2,1.0,4,1,4
235000,542.7,218.5,1.0,4,1,4
239000,542.3,223.6,1.0,4,1,4
240000,539.5,224.9,1.0,4,1,4
241000,540.0,227.1,1.0,4,1,4
243000,536.7,228.7,1.0,4,1,4
247000,536.8,229.7,1.0,4,1,4
251000,537.2,230.7,1.0,4,1,4
266000,537.5,231.9,1.0,4,1,4
270000,537.6,232.4,1.0,4,1,4
274000,537.6,231.9,1.0,4,1,4
278000,537.5,232.4,1.0,4,1,4
282000,538.0,232.4,1.0,1,1,1
286000,538.5,232.4,1.0,1,1,1
290000,539.1,232.9,1.0,1,1,1
303000,539.7,233.4,1.0,1,1,1
307000,539.5,234.2,1.0,1,1,1
311000,539.8,235.0,1.0,1,1,1
315000,539.9,235.1,1.0,1,1,1
319000,540.2,235.3,1.0,1,1,1
323000,540.5,235.8,1.0,1,1,1
327000,540.9,235.9,1.0,1,1,1
335000,541.2,236.0,1.0,1,1,1
339000,542.2,237.6,1.0,2,2,2
343000,543.2,239.3,1.0,2,2,2
347000,555.0,248.4,1.0,2,2,2
351000,578.8,269.0,1.0,2,2,2
355000,608.1,285.1,1.0,2,2,2
368000,618.2,283.5,1.0,2,2,2
372000,622.7,282.6,1.0,2,2,2
376000,622.7,278.5,1.0,2,2,2
380000,623.1,276.9,1.0,2,2,2
384000,626.4,278.5,1.0,1,2,1
388000,629.7,280.0,1.0,1,2,1
392000,632.9,283.9,1.0,1,2,1
404000,634.1,284.5,1.0,1,2,1
408000,635.3,285.1,1.0,1,2,1
412000,635.7,285.4,1.0,1,1,1
416000,635.9,285.8,1.0,1,1,1
