% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
4000,365.8,329.5,1.0,1,0,1
8000,364.6,330.7,1.0,1,1,1
12000,364.7,331.1,1.0,1,1,1
16000,364.9,331.2,1.0,1,1,1
20000,365.0,331.3,1.0,1,1,1
24000,365.0,331.7,1.0,1,1,1
28000,365.1,331.7,1.0,1,1,1
32000,364.8,331.6,1.0,1,1,1
36000,364.5,331.7,1.0,1,1,1
37000,363.2,331.8,1.0,1,1,1
39000,363.5,332.0,1.0,1,1,1
43000,363.8,332.6,1.0,1,1,1
47000,363.8,333.1,1.0,1,1,1
51000,363.8,333.5,1.0,1,1,1
66000,364.0,333.7,1.0,1,1,1
70000,364.3,333.9,1.0,1,1,1
74000,364.5,334.1,1.0,1,1,1
78000,364.7,334.3,1.0,1,1,1
82000,363.7,334.3,1.0,1,1,1
86000,362.7,334.4,1.0,1,1,1
90000,362.9,334.5,1.0,1,1,1
104000,363.1,334.6,1.0,1,1,1
108000,363.5,334.3,1.0,1,1,1
112000,363.6,334.0,1.0,1,1,1
116000,363.7,334.3,1.0,1,1,1
120000,363.7,334.3,1.0,1,1,1
124000,363.9,334.2,1.0,1,1,1
133000,364.0,334.4,1.0,1,1,1
137000,364.1,334.3,1.0,1,1,1
141000,364.3,334.1,1.0,1,1,1
145000,364.4,334.1,1.0,1,1,1
149000,364.5,334.3,1.0,1,1,1
153000,364.5,334.4,1.0,1,1,1
157000,364.4,334.5,1.0,1,1,1
168000,364.3,334.6,1.0,1,1,1
172000,364.0,334.9,1.0,1,1,1
176000,363.7,335.2,1.0,1,1,1
180000,366.1,335.5,1.0,2,2,2
184000,368.5,335.9,1.0,2,2,2
188000,373.4,336.3,1.0,2,2,2
192000,396.9,334.8,1.0,2,2,2
203000,443.5,344.2,1.0,2,2,2
207000,506.0,337.2,1.0,2,2,2
211000,555.8,341.7,1.0,2,2,2
215000,596.6,347.8,1.0,2,2,2
219000,631.5,348.8,1.0,2,2,2
223000,650.9,345.9,1.0,2,2,2
227000,651.9,349.4,1.0,2,2,2
231000,651.5,351.5,1.0,2,2,2
235000,651.0,352.8,1.0,2,2,2
239000,650.7,354.1,1.0,1,1,1
240000,650.5,356.6,1.0,1,1,1
241000,651.5,357.5,1.0,1,1,1
243000,651.6,357.9,1.0,1,1,1
247000,651.8,358.2,1.0,1,1,1
251000,651.4,358.3,1.0,1,1,1
266000,651.4,358.9,1.0,1,1,1
270000,651.3,359.3,1.0,1,1,1
274000,651.3,359.4,1.0,1,1,1
278000,651.3,359.2,1.0,1,1,1
282000,651.6,360.0,1.0,1,1,1
286000,651.4,360.8,1.0,1,1,1
301000,651.2,361.1,1.0,1,1,1
305000,650.9,361.2,1.0,1,1,1
309000,650.9,361.3,1.0,1,1,1
313000,650.8,361.4,1.0,1,1,1
317000,650.9,361.4,1.0,1,1,1
321000,651.1,362.2,1.0,1,1,1
325000,651.1,362.4,1.0,1,1,1
333000,651.1,362.4,1.0,1,1,1
337000,651.1,362.6,1.0,1,1,1
341000,651.4,362.7,1.0,1,1,1
345000,651.9,362.7,1.0,1,1,1
349000,652.3,362.6,1.0,1,1,1
353000,652.3,362.5,1.0,1,1,1
357000,652.2,362.7,1.0,1,1,1
370000,651.9,362.8,1.0,1,1,1
374000,651.8,362.9,1.0,1,1,1
378000,651.8,363.0,1.0,1,1,1
382000,651.9,363.2,1.0,1,1,1
386000,652.0,363.1,1.0,1,1,1
390000,652.6,363.0,1.0,1,1,1
401000,652.6,362.9,1.0,1,1,1
405000,652.4,362.9,1.0,1,1,1
409000,652.3,363.2,1.0,1,1,1
413000,652.3,363.4,1.0,1,1,1
417000,652.3,363.7,1.0,1,1,1
421000,652.2,363.8,1.0,1,1,1
425000,652.5,363.9,1.0,1,1,1
429000,652.2,363.7,1.0,1,1,1
433000,651.9,363.4,1.0,1,1,1
437000,652.0,363.3,1.0,1,1,1
438000,651.9,363.2,1.0,1,1,1
439000,651.8,363.5,1.0,1,1,1
443000,651.8,363.7,1.0,1,1,1
447000,652.0,364.3,1.0,1,1,1
451000,652.1,363.5,1.0,1,1,1
468000,652.1,362.6,1.0,1,1,1
472000,652.2,362.5,1.0,1,1,1
476000,651.4,362.7,1.0,1,1,1
480000,651.4,362.7,1.0,1,1,1
484000,651.1,362.8,1.0,1,1,1
488000,650.8,364.2,1.0,1,1,1
502000,650.4,364.3,1.0,1,1,1
506000,650.4,364.2,1.0,1,1,1
510000,650.5,364.0,1.0,1,1,1
514000,650.6,363.5,1.0,1,1,1
518000,650.7,363.2,1.0,1,1,1
522000,650.7,363.3,1.0,1,1,1
533000,650.9,363.5,1.0,1,1,1
537000,651.1,363.8,1.0,1,1,1
541000,651.2,364.0,1.0,1,1,1
545000,650.8,364.2,1.0,1,1,1
549000,650.9,364.8,1.0,1,1,1
553000,651.0,364.9,1.0,2,2,2
557000,651.6,365.0,1.0,2,2,2
