Index	Time	X_coord	Y_coord	Confidence
1	1000	654.3	393.9	1
2	5000	654.4	393.9	1
3	9000	654.4	393.9	1
4	13000	654.5	394.1	1
5	17000	654.7	394.2	1
6	21000	654.8	394.3	1
7	25000	654.9	394.4	1
8	29000	654.8	395.1	1
9	33000	654.7	395.4	1
10	37000	654.7	395.5	1
11	38000	655.1	395.5	1
12	39000	655.5	395.5	1
13	41000	655.6	395.5	1
14	45000	655.3	395.6	1
15	49000	655.1	395.8	1
16	53000	655.0	395.8	1
17	67000	655.0	395.8	1
18	71000	655.2	395.7	1
19	75000	655.1	395.9	1
20	79000	655.0	396.2	1
21	83000	654.9	395.8	1
22	87000	655.0	396.2	1
23	102000	655.1	396.1	1
24	106000	654.9	396.4	1
25	110000	654.7	396.0	1
26	114000	654.5	395.5	1
27	118000	654.5	395.5	1
28	122000	654.9	395.4	1
29	126000	655.0	394.7	1
30	134000	655.2	394.1	1
31	138000	655.3	394.2	1
32	142000	655.3	394.4	1
33	146000	655.5	394.6	1
34	150000	655.7	394.8	1
35	154000	656.1	395.3	1
36	158000	656.5	395.4	1
37	168000	656.7	395.2	1
38	172000	656.4	395.0	1
39	176000	656.1	394.8	1
40	180000	656.1	394.7	1
41	184000	656.1	394.8	1
42	188000	656.1	394.9	1
43	200000	656.1	394.4	1
44	204000	656.1	393.9	1
45	208000	655.8	394.1	1
46	212000	655.7	394.2	1
47	216000	655.7	394.4	1
48	220000	655.5	394.3	1
49	224000	655.5	394.2	1
50	228000	655.6	393.9	1
51	232000	655.6	393.6	1
52	236000	655.9	393.5	1
53	240000	656.1	393.8	1
54	241000	656.6	394.0	1
55	242000	656.8	394.3	1
56	244000	656.9	394.6	1
57	248000	658.1	394.9	1
58	252000	658.6	394.9	1
59	266000	659.2	395.1	1
60	270000	659.1	395.3	1
61	274000	659.0	395.3	1
62	278000	658.9	395.3	1
63	282000	658.4	395.4	1
64	286000	657.5	395.2	1
65	300000	657.5	395.0	1
66	304000	657.5	394.6	1
67	308000	657.6	394.1	1
68	312000	657.1	393.6	1
69	316000	656.6	393.2	1
70	320000	657.0	392.8	1
71	324000	657.4	392.7	1
72	328000	658.3	392.7	1
73	336000	658.2	392.7	1
74	340000	658.8	392.8	1
75	344000	659.4	392.8	1
76	348000	660.7	392.6	1
77	352000	660.8	392.4	1
78	356000	660.5	391.6	1
79	369000	660.6	391.5	1
80	373000	660.7	391.5	1
81	377000	661.2	391.6	1
82	381000	663.1	387.2	1
83	385000	664.9	382.9	1
84	389000	676.5	374.0	1
85	400000	686.7	364.7	1
86	404000	686.9	349.9	1
87	408000	687.1	342.2	1
88	412000	688.9	340.2	1
89	416000	689.4	338.3	1
90	420000	689.8	337.6	1
91	424000	690.3	337.4	1
92	428000	690.6	337.2	1
