Index	Time	X_coord	Y_coord	Confidence
1	1000	397.1	233.2	1
2	4000	392.1	232.7	1
3	8000	388.8	235.0	1
4	12000	389.8	237.5	1
5	16000	390.6	237.7	1
6	20000	392.6	239.9	1
7	24000	393.3	240.3	1
8	28000	393.6	240.6	1
9	32000	393.9	242.1	1
10	36000	395.3	242.2	1
11	40000	395.7	242.8	1
12	41000	396.4	243.2	1
13	42000	396.6	243.4	1
14	44000	396.6	243.5	1
15	48000	396.5	243.4	1
16	52000	396.6	243.6	1
17	67000	396.6	243.4	1
18	71000	396.6	243.5	1
19	75000	396.6	243.7	1
20	79000	396.5	244.2	1
21	83000	396.4	244.5	1
22	87000	396.3	243.9	1
23	101000	396.1	244.2	1
24	105000	395.8	244.4	1
25	109000	395.7	244.4	1
26	113000	395.6	244.2	1
27	117000	395.8	244.2	1
28	121000	395.7	244.2	1
29	125000	395.7	244.0	1
30	134000	395.8	244.2	1
31	138000	396.1	244.4	1
32	142000	396.9	245.0	1
33	146000	396.9	245.2	1
34	150000	396.9	245.4	1
35	154000	396.9	245.5	1
36	158000	397.0	245.5	1
37	168000	397.0	245.7	1
38	172000	397.6	245.8	1
39	176000	397.6	245.8	1
40	180000	397.7	245.5	1
41	184000	397.7	245.4	1
42	188000	398.0	245.4	1
43	200000	398.1	245.6	1
44	204000	398.1	245.7	1
45	208000	398.3	245.8	1
46	212000	398.5	245.9	1
47	216000	398.6	245.9	1
48	220000	398.8	247.5	1
49	224000	398.8	247.6	1
50	228000	398.9	247.7	1
51	232000	398.8	248.1	1
52	236000	398.8	248.6	1
53	240000	398.8	248.6	1
54	241000	398.8	248.6	1
55	242000	399.0	248.7	1
56	244000	400.0	247.9	1
57	248000	411.8	249.4	1
58	252000	447.9	252.4	1
59	267000	497.1	257.4	1
60	271000	549.0	258.9	1
61	275000	605.7	260.0	1
62	279000	659.1	258.7	1
63	283000	666.6	254.4	1
64	287000	663.5	249.9	1
65	302000	660.6	250.0	1
66	306000	631.8	250.0	1
67	310000	635.0	250.8	1
68	314000	638.2	252.9	1
69	318000	646.0	255.6	1
70	322000	656.8	262.0	1
71	326000	672.3	266.0	1
72	334000	680.7	266.8	1
73	338000	682.5	268.4	1
74	342000	682.8	268.7	1
75	346000	681.0	268.6	1
76	350000	679.2	268.6	1
77	354000	678.5	268.6	1
78	367000	674.2	268.5	1
79	371000	669.3	269.2	1
80	375000	666.1	270.0	1
81	379000	666.2	271.7	1
82	383000	666.2	271.7	1
83	387000	665.9	271.7	1
84	391000	666.5	273.1	1
85	403000	667.0	273.5	1
86	407000	667.1	274.0	1
87	411000	667.9	274.2	1
88	415000	668.0	274.4	1
89	419000	668.0	275.0	1
90	423000	668.2	275.3	1
91	427000	668.5	275.6	1
92	431000	668.5	275.6	1
93	435000	668.7	275.7	1
94	436000	668.9	275.7	1
95	437000	669.2	275.7	1
96	441000	670.2	276.0	1
97	445000	670.5	276.3	1
98	449000	670.9	277.3	1
99	453000	671.9	278.6	1
100	469000	672.7	279.3	1
101	473000	672.9	280.2	1
102	477000	673.0	280.1	1
103	481000	673.5	280.4	1
104	485000	673.7	280.5	1
105	500000	673.5	280.4	1
106	504000	673.7	280.3	1
107	508000	673.5	280.6	1
108	512000	673.1	280.4	1
109	516000	672.8	280.2	1
110	520000	672.4	280.1	1
111	524000	671.7	279.9	1
112	534000	672.0	280.4	1
113	538000	672.3	280.2	1
114	542000	672.5	280.1	1
115	546000	672.6	279.7	1
116	550000	673.0	279.6	1
117	554000	673.5	279.4	1
118	568000	673.9	279.3	1
119	572000	674.4	279.3	1
120	576000	674.5	278.5	1
121	580000	674.3	277.7	1
122	584000	674.1	276.2	1
123	588000	674.0	275.6	1
124	600000	674.0	275.1	1
125	604000	674.2	274.1	1
126	608000	674.5	274.1	1
127	612000	674.7	274.1	1
128	616000	674.7	274.2	1
129	620000	674.7	274.6	1
