Index	Time	X_coord	Y_coord	Confidence
1	2000	269.3	228.8	1
2	6000	270.0	229.5	1
3	10000	270.7	229.9	1
4	14000	270.9	229.0	1
5	18000	269.9	227.9	1
6	22000	270.1	227.2	1
7	26000	270.3	226.5	1
8	30000	269.0	227.0	1
9	34000	268.5	226.3	1
10	38000	268.6	227.2	1
11	39000	268.7	227.5	1
12	41000	269.0	227.5	1
13	45000	269.0	227.5	1
14	49000	268.9	227.4	1
15	53000	268.8	227.3	1
16	67000	268.8	227.2	1
17	71000	269.2	228.5	1
18	75000	269.4	228.0	1
19	79000	270.1	228.4	1
20	83000	269.7	228.6	1
21	87000	269.4	228.9	1
22	102000	268.6	228.7	1
23	106000	268.4	229.4	1
24	110000	268.2	229.5	1
25	114000	267.8	229.5	1
26	118000	267.7	229.6	1
27	122000	268.6	229.4	1
28	126000	269.5	229.9	1
29	130000	269.8	228.6	1
30	136000	269.2	227.3	1
31	140000	268.6	226.9	1
32	144000	268.5	227.1	1
33	148000	269.0	227.4	1
34	152000	269.6	229.1	1
35	167000	269.9	230.2	1
36	171000	269.7	230.1	1
37	175000	270.1	230.1	1
38	179000	270.5	229.6	1
39	183000	269.8	228.2	1
40	187000	270.5	227.2	1
41	191000	271.2	226.5	1
42	203000	271.3	226.3	1
43	207000	270.9	226.3	1
44	211000	270.4	226.2	1
45	215000	270.2	227.0	1
46	219000	270.3	228.7	1
47	223000	270.4	228.8	1
48	227000	270.8	229.0	1
49	231000	271.1	229.2	1
50	235000	271.3	228.0	1
51	239000	270.5	227.4	1
52	240000	269.6	227.3	1
53	241000	270.6	227.5	1
54	243000	271.5	226.9	1
55	247000	274.0	228.1	1
56	251000	282.7	230.3	1
57	255000	315.6	232.9	1
58	270000	351.1	235.7	1
59	274000	401.8	240.8	1
60	278000	435.7	243.6	1
61	282000	489.7	249.9	1
62	286000	525.7	255.4	1
63	301000	577.1	262.6	1
64	305000	611.7	266.0	1
65	309000	645.2	268.9	1
66	313000	646.3	267.8	1
67	317000	647.6	267.9	1
68	321000	647.7	267.9	1
69	325000	647.7	266.7	1
70	333000	655.7	266.4	1
71	337000	658.5	264.7	1
72	341000	661.7	263.9	1
73	345000	664.9	264.3	1
74	349000	665.7	264.4	1
75	353000	665.3	270.2	1
76	357000	664.7	270.1	1
77	370000	664.5	270.0	1
78	374000	664.8	270.6	1
79	378000	664.9	269.4	1
80	382000	664.9	268.3	1
81	386000	664.0	265.3	1
82	390000	664.0	266.0	1
83	402000	663.8	266.0	1
84	406000	664.0	266.1	1
85	410000	664.4	269.0	1
86	414000	664.3	267.9	1
87	418000	664.2	266.9	1
88	422000	663.6	265.8	1
89	426000	663.9	265.8	1
90	430000	663.9	265.7	1
91	434000	663.8	265.6	1
92	438000	664.6	265.8	1
93	439000	665.4	266.0	1
94	440000	665.5	266.0	1
95	444000	665.1	264.9	1
96	448000	664.8	264.8	1
97	452000	665.8	264.8	1
98	469000	666.8	264.9	1
99	473000	666.3	264.8	1
100	477000	667.2	267.2	1
101	481000	668.1	267.7	1
102	485000	668.5	268.2	1
103	489000	669.0	268.6	1
104	503000	668.4	269.4	1
105	507000	668.5	270.2	1
106	511000	668.6	269.8	1
107	515000	667.7	269.4	1
108	519000	668.2	267.7	1
109	523000	668.5	268.3	1
110	534000	668.6	269.0	1
111	538000	668.7	269.7	1
112	542000	668.3	269.9	1
113	546000	666.8	269.0	1
114	550000	666.9	268.9	1
115	554000	667.0	268.8	1
116	568000	667.2	267.6	1
117	572000	666.5	267.6	1
118	576000	666.9	267.6	1
119	580000	667.3	265.2	1
120	584000	666.8	265.9	1
121	588000	666.6	266.6	1
122	600000	666.3	266.6	1
123	604000	666.9	266.7	1
124	608000	667.6	268.3	1
125	612000	667.5	269.9	1
126	616000	667.4	268.7	1
127	620000	667.4	267.5	1
128	624000	667.7	267.8	1
129	628000	667.5	268.1	1
130	632000	667.6	268.8	1
131	636000	667.4	268.7	1
132	637000	668.5	268.9	1
133	638000	668.3	269.0	1
134	641000	668.1	269.0	1
135	645000	668.1	269.1	1
136	649000	667.5	269.0	1
137	653000	667.5	269.3	1
138	657000	667.4	268.4	1
139	667000	667.8	267.6	1
140	671000	668.7	267.6	1
141	675000	668.8	267.5	1
142	679000	669.0	267.8	1
