% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,334.9,275.3,1.0,1,1,1
4000,333.8,277.8,1.0,1,1,1
8000,332.9,280.9,1.0,1,1,1
12000,331.9,286.1,1.0,1,1,1
16000,330.1,287.3,1.0,1,1,1
20000,328.6,288.5,1.0,1,1,1
24000,328.5,291.1,1.0,1,1,1
28000,328.7,293.2,1.0,1,1,1
32000,328.7,293.4,1.0,1,1,1
36000,328.0,293.6,1.0,1,1,1
40000,327.4,294.7,1.0,1,1,1
41000,327.5,295.7,1.0,1,1,1
42000,327.7,296.9,1.0,1,1,1
44000,327.9,298.9,1.0,1,1,1
48000,327.8,299.0,1.0,1,1,1
52000,327.6,299.4,1.0,1,1,1
67000,327.3,299.4,1.0,1,1,1
71000,325.7,299.5,1.0,1,1,1
75000,313.7,300.1,1.0,1,1,1
79000,308.4,299.8,1.0,1,1,1
83000,308.4,299.9,1.0,1,1,1
87000,308.3,300.0,1.0,1,1,1
101000,308.2,300.7,1.0,1,1,1
105000,307.9,300.8,1.0,1,1,1
109000,306.9,301.0,1.0,1,1,1
113000,305.9,301.3,1.0,1,1,1
117000,305.4,301.5,1.0,1,1,1
121000,305.2,301.7,1.0,1,1,1
125000,305.1,301.9,1.0,1,1,1
134000,304.3,302.1,1.0,1,1,1
138000,303.6,302.1,1.0,1,1,1
142000,303.2,302.4,1.0,1,1,1
146000,302.7,302.7,1.0,1,1,1
150000,301.1,303.4,1.0,1,1,1
154000,300.7,304.7,1.0,1,1,1
158000,300.6,304.9,1.0,1,1,1
168000,300.6,305.0,1.0,1,1,1
172000,299.8,304.8,1.0,1,1,1
176000,299.8,305.1,1.0,1,1,1
180000,299.7,305.1,1.0,1,1,1
184000,299.4,305.4,1.0,1,1,1
188000,299.1,305.7,1.0,1,1,1
200000,298.9,306.4,1.0,1,1,1
204000,298.6,306.5,1.0,1,1,1
208000,298.0,306.7,1.0,1,1,1
212000,297.4,306.4,1.0,1,1,1
216000,297.0,306.4,1.0,1,1,1
220000,297.2,306.4,1.0,1,1,1
224000,297.0,306.1,1.0,1,1,1
228000,296.9,306.0,1.0,1,1,1
232000,296.6,306.3,1.0,1,1,1
236000,296.6,306.3,1.0,1,1,1
240000,296.7,306.7,1.0,1,1,1
241000,297.0,307.1,1.0,1,1,1
242000,297.3,307.3,1.0,1,1,1
244000,297.8,307.5,1.0,1,1,1
248000,306.6,308.1,1.0,2,2,2
252000,337.9,306.0,1.0,2,2,2
267000,389.6,308.0,1.0,2,2,2
271000,452.6,300.4,1.0,2,2,2
275000,519.5,295.0,1.0,2,2,2
279000,585.4,287.5,1.0,2,2,2
283000,644.9,292.8,1.0,2,2,2
287000,686.9,288.1,1.0,2,2,2
301000,682.6,290.1,1.0,2,2,2
305000,678.1,292.1,1.0,0,0,1
309000,673.7,293.5,1.0,1,1,1
313000,672.9,298.0,1.0,1,1,1
317000,676.7,299.1,1.0,1,1,1
321000,680.8,301.4,1.0,1,1,1
325000,680.2,301.8,1.0,1,1,1
334000,679.6,302.1,1.0,1,1,1
338000,678.0,302.0,1.0,1,1,1
342000,675.5,302.1,1.0,1,1,1
346000,674.9,302.2,1.0,1,1,1
350000,674.4,302.5,1.0,1,1,1
354000,674.2,302.7,1.0,1,1,1
367000,674.6,303.0,1.0,1,1,1
371000,675.1,304.5,1.0,1,1,1
375000,675.1,304.4,1.0,1,1,1
379000,674.9,304.8,1.0,1,1,1
383000,675.1,304.5,1.0,1,1,1
387000,675.3,304.4,1.0,1,1,1
391000,675.3,304.4,1.0,1,1,1
403000,675.3,304.4,1.0,1,1,1
407000,675.7,304.4,1.0,1,1,1
411000,675.7,304.4,1.0,1,1,1
415000,675.9,304.5,1.0,1,1,1
419000,675.9,304.7,1.0,1,1,1
423000,676.1,306.0,1.0,1,1,1
427000,676.3,307.4,1.0,1,1,1
431000,676.5,308.1,1.0,1,1,1
435000,676.5,308.4,1.0,1,1,1
436000,676.5,308.8,1.0,1,1,1
437000,676.4,308.6,1.0,1,1,1
441000,676.3,308.4,1.0,1,1,1
445000,675.9,308.0,1.0,1,1,1
449000,673.4,304.3,1.0,1,1,1
453000,670.4,292.4,1.0,1,1,1
469000,669.3,288.2,1.0,1,1,1
473000,667.7,288.1,1.0,1,1,1
477000,667.6,288.3,1.0,1,1,1
481000,665.9,288.8,1.0,1,1,1
485000,665.1,289.0,1.0,1,1,1
500000,664.4,289.3,1.0,1,1,1
504000,664.3,289.2,1.0,1,1,1
508000,664.2,289.1,1.0,1,1,1
512000,663.3,289.4,1.0,1,1,1
516000,663.4,289.4,1.0,1,1,1
520000,663.5,289.7,1.0,1,1,1
524000,663.5,289.8,1.0,1,1,1
534000,663.5,289.9,1.0,1,1,1
538000,663.6,289.9,1.0,1,1,1
542000,663.8,290.1,1.0,1,1,1
546000,664.3,289.9,1.0,1,1,1
550000,664.7,289.7,1.0,1,1,1
554000,664.8,289.4,1.0,1,1,1
567000,665.2,289.2,1.0,1,1,1
571000,665.3,289.1,1.0,1,1,1
575000,665.4,289.1,1.0,1,1,1
579000,666.0,289.0,1.0,1,1,1
583000,666.2,288.9,1.0,1,1,1
587000,666.4,289.0,1.0,1,1,1
591000,667.8,288.3,1.0,1,1,1
603000,667.8,287.9,1.0,1,1,1
607000,667.9,287.8,1.0,1,1,1
611000,667.9,287.8,1.0,1,1,1
615000,667.9,287.8,1.0,1,1,1
619000,668.2,287.8,1.0,1,1,1
623000,668.5,287.5,1.0,1,1,1
627000,668.4,287.6,1.0,1,1,1
631000,668.5,287.7,1.0,1,1,1
635000,668.6,287.8,1.0,1,1,1
639000,668.7,287.7,1.0,1,1,1
640000,668.8,287.9,1.0,1,1,1
641000,669.5,288.0,1.0,1,1,1
644000,669.4,288.4,1.0,1,1,1
648000,669.3,288.7,1.0,1,1,1
652000,669.3,288.7,1.0,1,1,1
668000,669.3,288.7,1.0,1,1,1
672000,669.2,288.7,1.0,1,1,1
676000,669.1,288.5,1.0,1,1,1
680000,669.1,288.4,1.0,1,1,1
684000,669.0,288.4,1.0,1,1,1
688000,669.1,288.5,1.0,1,1,1
692000,669.0,288.5,1.0,1,1,1
696000,669.1,288.5,1.0,1,1,1
700000,669.0,288.6,1.0,1,1,1
703000,669.1,288.6,1.0,1,1,1
707000,669.2,289.1,1.0,1,1,1
711000,668.8,289.0,1.0,1,1,1
715000,668.7,289.0,1.0,1,1,1
719000,668.7,289.1,1.0,1,1,1
723000,668.6,289.2,1.0,1,1,1
727000,668.4,289.3,1.0,1,1,1
731000,668.5,289.4,1.0,1,1,1
736000,668.5,289.5,1.0,1,1,1
740000,668.6,289.8,1.0,1,1,1
744000,668.6,289.8,1.0,1,1,1
748000,668.6,289.8,1.0,1,1,1
752000,668.5,289.9,1.0,1,1,1
756000,668.5,290.4,1.0,1,1,1
760000,668.2,290.4,1.0,1,1,1
764000,668.3,290.6,1.0,1,1,1
768000,668.3,290.9,1.0,1,1,1
772000,668.3,290.8,1.0,1,1,1
776000,668.4,290.8,1.0,1,1,1
780000,668.5,290.8,1.0,1,1,1
784000,668.2,291.0,1.0,1,1,1
788000,668.4,291.2,1.0,1,1,1
792000,668.2,291.3,1.0,1,1,1
796000,668.2,291.3,1.0,1,1,1
800000,668.2,291.2,1.0,1,1,1
803000,668.3,290.9,1.0,1,1,1
807000,668.3,290.5,1.0,1,1,1
811000,668.3,290.5,1.0,1,1,1
815000,668.3,290.4,1.0,1,1,1
819000,668.2,290.4,1.0,1,1,1
823000,668.2,290.3,1.0,1,1,1
827000,668.2,290.4,1.0,1,1,1
831000,668.2,290.3,1.0,1,1,1
835000,668.1,290.3,1.0,1,1,1
839000,668.1,290.4,1.0,1,1,1
843000,667.9,290.0,1.0,1,1,1
847000,667.5,290.1,1.0,1,1,1
851000,667.2,290.2,1.0,1,1,1
855000,667.1,290.1,1.0,1,1,1
859000,667.0,290.1,1.0,1,1,1
863000,666.7,290.1,1.0,1,1,1
867000,666.2,289.5,1.0,1,1,1
871000,666.1,289.5,1.0,1,1,1
875000,666.0,289.4,1.0,1,1,1
879000,665.5,289.1,1.0,1,1,1
883000,665.3,288.7,1.0,1,1,1
887000,665.3,288.9,1.0,1,1,1
891000,665.1,288.8,1.0,1,1,1
895000,664.9,288.6,1.0,1,1,1
899000,664.7,288.5,1.0,1,1,1
903000,664.5,288.8,1.0,1,1,1
907000,664.2,289.0,1.0,1,1,1
911000,664.1,289.2,1.0,1,1,1
915000,664.0,289.3,1.0,1,1,1
919000,664.1,289.3,1.0,1,1,1
923000,664.2,289.2,1.0,1,1,1
927000,664.5,289.5,1.0,1,1,1
931000,664.7,289.7,1.0,1,1,1
935000,665.3,290.1,1.0,1,1,1
939000,665.7,290.1,1.0,1,1,1
943000,665.8,290.1,1.0,1,1,1
947000,665.8,290.1,1.0,1,1,1
951000,665.8,290.2,1.0,1,1,1
955000,666.1,290.1,1.0,1,1,1
959000,666.4,290.5,1.0,1,1,1
963000,666.6,290.5,1.0,1,1,1
967000,666.7,290.6,1.0,1,1,1
971000,668.0,292.1,1.0,2,2,2
975000,668.8,293.8,1.0,2,2,2
979000,684.6,293.6,1.0,2,2,2
983000,715.2,285.9,1.0,2,2,2
987000,813.2,260.3,1.0,2,2,2
991000,834.5,253.1,1.0,2,2,2
995000,863.5,246.1,1.0,2,2,2
999000,899.8,236.6,1.0,2,2,2
1003000,941.0,227.5,1.0,2,2,2
1007000,973.0,219.0,1.0,2,2,2
1011000,976.2,220.5,1.0,2,2,2
1015000,976.7,223.0,1.0,2,2,2
1019000,976.9,223.6,1.0,2,2,2
1023000,979.3,223.5,1.0,1,1,1
1027000,981.7,223.1,1.0,1,1,1
1031000,990.2,220.6,1.0,1,1,1
1035000,991.3,224.8,1.0,1,1,1
1039000,991.6,225.6,1.0,1,1,1
1043000,990.8,226.1,1.0,1,1,1
1047000,989.9,226.5,1.0,1,1,1
1051000,989.5,226.7,1.0,1,1,1
1055000,989.4,226.6,1.0,1,1,1
1059000,987.5,227.2,1.0,1,1,1
1063000,987.2,227.2,1.0,1,1,1
1067000,986.9,227.2,1.0,1,1,1
1071000,986.7,227.1,1.0,1,1,1
1075000,986.6,227.5,1.0,1,1,1
1079000,986.2,227.6,1.0,1,1,1
1083000,985.8,227.8,1.0,1,1,1
1087000,985.5,227.9,1.0,1,1,1
1091000,985.2,227.7,1.0,1,1,1
1095000,984.0,227.9,1.0,1,1,1
1099000,983.6,228.3,1.0,1,1,1
1104000,983.2,228.8,1.0,1,1,1
1108000,982.6,229.0,1.0,1,1,1
1112000,982.1,229.2,1.0,1,1,1
1116000,981.0,229.6,1.0,1,1,1
1120000,980.7,229.6,1.0,1,1,1
